연도,경계코드,지표ID,시군구명,값
2020,31011,총종사자수,수원시 장안구,78681
2020,31012,총종사자수,수원시 권선구,127309
2020,31013,총종사자수,수원시 팔달구,102677
2020,31014,총종사자수,수원시 영통구,163778
2020,31021,총종사자수,성남시 수정구,78655
2020,31022,총종사자수,성남시 중원구,106858
2020,31023,총종사자수,성남시 분당구,326883
2020,31030,총종사자수,의정부시,129222
2020,31041,총종사자수,안양시 만안구,84770
2020,31042,총종사자수,안양시 동안구,180220
2020,31051,총종사자수,부천시 원미구,193831
2020,31052,총종사자수,부천시 소사구,49643
2020,31053,총종사자수,부천시 오정구,71340
2020,31060,총종사자수,광명시,100998
2020,31070,총종사자수,평택시,270658
2020,31080,총종사자수,동두천시,29827
2020,31091,총종사자수,안산시 상록구,93792
2020,31092,총종사자수,안산시 단원구,249074
2020,31101,총종사자수,고양시 덕양구,129686
2020,31103,총종사자수,고양시 일산동구,158571
2020,31104,총종사자수,고양시 일산서구,79400
2020,31110,총종사자수,과천시,37036
2020,31120,총종사자수,구리시,67594
2020,31130,총종사자수,남양주시,211078
2020,31140,총종사자수,오산시,74624
2020,31150,총종사자수,시흥시,238265
2020,31160,총종사자수,군포시,111548
2020,31170,총종사자수,의왕시,56855
2020,31180,총종사자수,하남시,105453
2020,31191,총종사자수,용인시 처인구,139589
2020,31192,총종사자수,용인시 기흥구,181055
2020,31193,총종사자수,용인시 수지구,84475
2020,31200,총종사자수,파주시,212432
2020,31210,총종사자수,이천시,135463
2020,31220,총종사자수,안성시,111198
2020,31230,총종사자수,김포시,203535
2020,31240,총종사자수,화성시,547619
2020,31250,총종사자수,광주시,153587
2020,31260,총종사자수,양주시,98461
2020,31270,총종사자수,포천시,104682
2020,31280,총종사자수,여주시,56981
2020,31550,총종사자수,연천군,21409
2020,31570,총종사자수,가평군,28104
2020,31580,총종사자수,양평군,36699
