연도,경계코드,지표ID,시군구명,값
2023,11010,총종사자수,종로구,269222
2023,11020,총종사자수,중구,417872
2023,11030,총종사자수,용산구,152238
2023,11040,총종사자수,성동구,198800
2023,11050,총종사자수,광진구,125466
2023,11060,총종사자수,동대문구,142184
2023,11070,총종사자수,중랑구,107042
2023,11080,총종사자수,성북구,122794
2023,11090,총종사자수,강북구,74778
2023,11100,총종사자수,도봉구,75268
2023,11110,총종사자수,노원구,124400
2023,11120,총종사자수,은평구,102041
2023,11130,총종사자수,서대문구,115177
2023,11140,총종사자수,마포구,281385
2023,11150,총종사자수,양천구,126239
2023,11160,총종사자수,강서구,299706
2023,11170,총종사자수,구로구,230392
2023,11180,총종사자수,금천구,253338
2023,11190,총종사자수,영등포구,430069
2023,11200,총종사자수,동작구,104719
2023,11210,총종사자수,관악구,122841
2023,11220,총종사자수,서초구,492156
2023,11230,총종사자수,강남구,769609
2023,11240,총종사자수,송파구,404657
2023,11250,총종사자수,강동구,157368
