"Date","전체"
"2020-01-11",6.3
"2020-01-18",4
"2020-01-25",-10.3
"2020-02-01",-5.1
"2020-02-08",17.2
"2020-02-15",16.5
"2020-02-22",22.3
"2020-02-29",14.3
"2020-03-07",6.4
"2020-03-14",16.2
"2020-03-21",5.6
"2020-03-28",12.5
"2020-04-04",6.8
"2020-04-11",2.2
"2020-04-18",-8.2
"2020-04-25",-3.8
"2020-05-02",-21.9
"2020-05-09",-4.5
"2020-05-16",-0.7
"2020-05-23",3.2
"2020-05-30",-2.6
"2020-06-06",-9.3
"2020-06-13",4.7
"2020-06-20",-0.4
"2020-06-27",-7.7
"2020-07-04",-2.5
"2020-07-11",-6.9
"2020-07-18",-14.2
"2020-07-25",-15.7
"2020-08-01",-8.1
"2020-08-08",-6.8
"2020-08-15",0.8
"2020-08-22",-9.5
"2020-08-29",14.2
"2020-09-05",13.9
"2020-09-12",19.2
"2020-09-19",36.2
"2020-09-26",18.8
"2020-10-03",-39.4
"2020-10-10",30.5
"2020-10-17",34.3
"2020-10-24",31.6
"2020-10-31",34.1
"2020-11-07",33
"2020-11-14",9.3
"2020-11-21",8.4
"2020-11-28",15.9
"2020-12-05",-0.8
"2020-12-12",10.2
"2020-12-19",1.5
"2020-12-26",-21.1
"2021-01-02",-23.4
"2021-01-09",4.2
"2021-01-16",11.6
"2021-01-23",9.7
"2021-01-30",1.5
"2021-02-06",22
"2021-02-13",-23.7
"2021-02-20",20.5
"2021-02-27",-5.1
"2021-03-06",0.7
"2021-03-13",10.6
"2021-03-20",16.9
"2021-03-27",7.8
"2021-04-03",20.9
"2021-04-10",60.7
"2021-04-17",83.8
"2021-04-24",54.6
"2021-05-01",54.3
"2021-05-08",39.1
"2021-05-15",25.9
"2021-05-22",6.3
"2021-05-29",61.5
"2021-06-05",60
"2021-06-12",62.9
"2021-06-19",51.6
"2021-06-26",69.7
"2021-07-03",85.5
"2021-07-10",79
"2021-07-17",58.6
"2021-07-24",69.4
"2021-07-31",221.8
"2021-08-07",127.5
"2021-08-14",103.1
"2021-08-21",92.9
"2021-08-28",77.6
"2021-09-04",105.1
"2021-09-11",35.7
"2021-09-18",15.3
"2021-09-25",4.8
"2021-10-02",85.2
"2021-10-09",57.6
"2021-10-16",55.1
"2021-10-23",67.6
"2021-10-30",67
"2021-11-06",76
"2021-11-13",41.2
"2021-11-20",17.8
"2021-11-27",64.1
"2021-12-04",71.9
"2021-12-11",53.7
"2021-12-18",58.2
"2021-12-25",24
"2022-01-01",14.1
"2022-01-08",69.1
"2022-01-15",53.4
"2022-01-22",81
"2022-01-29",41.3
"2022-02-05",-19.6
"2022-02-12",77.8
"2022-02-19",109.6
"2022-02-26",57.8
"2022-03-05",15.2
"2022-03-12",55.8
"2022-03-19",69.2
"2022-03-26",48.9
"2022-04-02",53.5
"2022-04-09",88.1
"2022-04-16",96.7
"2022-04-23",78.9
"2022-04-30",29.7
"2022-05-07",20.2
"2022-05-14",17.2
"2022-05-21",49.9
"2022-05-28",36.9
"2022-06-04",32.8
"2022-06-11",29.1
"2022-06-18",26.8
"2022-06-25",29.9
"2022-07-02",35.9
"2022-07-09",28.6
"2022-07-16",38.9
"2022-07-23",30.1
"2022-07-30",31.2
"2022-08-06",28.2
"2022-08-13",43.4
"2022-08-20",18.7
"2022-08-27",21
"2022-09-03",29.5
"2022-09-10",9.7
"2022-09-17",23.9
"2022-09-24",70.3
"2022-10-01",34.5
"2022-10-08",11.4
"2022-10-15",21.8
"2022-10-22",37.5
"2022-10-29",24.3
"2022-11-05",22.4
"2022-11-12",28.6
"2022-11-19",7.2
"2022-11-26",-1.2
"2022-12-03",12.7
"2022-12-10",5.2
"2022-12-17",13.5
"2022-12-24",5.6
"2022-12-31",-0.6
"2023-01-07",16.8
"2023-01-14",1.2
"2023-01-21",-3.4
"2023-01-28",-28.6
"2023-02-04",1.1
"2023-02-11",13.5
"2023-02-18",19.4
"2023-02-25",7.2
"2023-03-04",-3
"2023-03-11",7.3
"2023-03-18",18.9
"2023-03-25",39.9
"2023-04-01",57.5
"2023-04-08",49.3
"2023-04-15",39
"2023-04-22",84.1
"2023-04-29",92
"2023-05-06",-5
"2023-05-13",69.5
"2023-05-20",92
"2023-05-27",93.6
"2023-06-03",50.8
"2023-06-10",16.3
"2023-06-17",46.1
"2023-06-24",47.3
"2023-07-01",85.2
"2023-07-08",30.9
"2023-07-15",21
"2023-07-22",60.1
"2023-07-29",25.7
"2023-08-05",36.9
"2023-08-12",30.1
"2023-08-19",65.5
"2023-08-26",83.3
"2023-09-02",51.2
"2023-09-09",79.3
"2023-09-16",60.9
"2023-09-23",43.2
"2023-09-30",-29.6
"2023-10-07",6.3
"2023-10-14",32.6
"2023-10-21",15.7
"2023-10-28",11.1
"2023-11-04",24.7
"2023-11-11",28.7
"2023-11-18",66.8
"2023-11-25",27.5
"2023-12-02",58.1
"2023-12-09",55.4
"2023-12-16",64
"2023-12-23",23
"2023-12-30",-37
"2024-01-06",-34.5
"2024-01-13",-17
"2024-01-20",-29.7
"2024-01-27",-18.3
"2024-02-03",-17
"2024-02-10",-54.3
"2024-02-17",-21.1
"2024-02-24",-27
"2024-03-02",-17.5
"2024-03-09",-9.3
"2024-03-16",-35.7
"2024-03-23",-5.4
"2024-03-30",-26.1
"2024-04-06",-21
"2024-04-13",-15.7
"2024-04-20",14.1
"2024-04-27",11.2
"2024-05-04",-10.8
"2024-05-11",-6.9
"2024-05-18",19.9
"2024-05-25",18.1
"2024-06-01",-1.3
"2024-06-08",-11.9
"2024-06-15",-9.1
"2024-06-22",16.8
"2024-06-29",-17.3
"2024-07-06",13.3
"2024-07-13",-27.2
"2024-07-20",-22.7
"2024-07-27",-41.1
"2024-08-03",-37
"2024-08-10",-27.1
"2024-08-17",-8.5
"2024-08-24",-18.2
"2024-08-31",-30.4
"2024-09-07",-54
"2024-09-14",-36
"2024-09-21",-64.5
"2024-09-28",-23.5
"2024-10-05",-37
"2024-10-12",-34.3
"2024-10-19",-48.4
"2024-10-26",-40.7
"2024-11-02",-45.2
"2024-11-09",-50.4
"2024-11-16",-50.2
"2024-11-23",-56.9
"2024-11-30",-44.8
"2024-12-07",-44.9
"2024-12-14",-32.1
"2024-12-21",-30.7
"2024-12-28",-61.3
"2025-01-04",-80.4
"2025-01-11",-78.2
"2025-01-18",-55.5
"2025-01-25",-63.3
"2025-02-01",-86.9
"2025-02-08",-57
"2025-02-15",-51.9
"2025-02-22",-60.4
"2025-03-01",-69.9
"2025-03-08",-69.9
"2025-03-15",-63.6
"2025-03-22",-64.6
"2025-03-29",-60.6
"2025-04-05",-60.3
"2025-04-12",-49.1
"2025-04-19",-58.5
"2025-04-26",-56.2
"2025-05-03",-76.3
"2025-05-10",-64.2
"2025-05-17",-36.7
"2025-05-24",-65.3
"2025-05-31",-53.4
"2025-06-07",-66
