"Date","전체"
"2020-01-11",14.3
"2020-01-18",6.5
"2020-01-25",-20.8
"2020-02-01",-4.8
"2020-02-08",21.1
"2020-02-15",20.3
"2020-02-22",31.6
"2020-02-29",18.6
"2020-03-07",15.9
"2020-03-14",6.6
"2020-03-21",9.3
"2020-03-28",8.9
"2020-04-04",6.2
"2020-04-11",7.6
"2020-04-18",-0.1
"2020-04-25",1.2
"2020-05-02",-20.4
"2020-05-09",-12.6
"2020-05-16",11.1
"2020-05-23",22.7
"2020-05-30",10.5
"2020-06-06",12.6
"2020-06-13",12.3
"2020-06-20",23.4
"2020-06-27",26.1
"2020-07-04",6.6
"2020-07-11",1.1
"2020-07-18",3.4
"2020-07-25",-4.8
"2020-08-01",0.4
"2020-08-08",-5.4
"2020-08-15",7.7
"2020-08-22",3
"2020-08-29",9.4
"2020-09-05",13.3
"2020-09-12",11.4
"2020-09-19",11
"2020-09-26",11.3
"2020-10-03",-36.6
"2020-10-10",11.1
"2020-10-17",41.8
"2020-10-24",63
"2020-10-31",22.3
"2020-11-07",17.6
"2020-11-14",8.4
"2020-11-21",5.9
"2020-11-28",9
"2020-12-05",13.8
"2020-12-12",3.2
"2020-12-19",14.4
"2020-12-26",-10.8
"2021-01-02",-27.2
"2021-01-09",-3.4
"2021-01-16",5.1
"2021-01-23",0.7
"2021-01-30",-8.4
"2021-02-06",-5.2
"2021-02-13",-37.1
"2021-02-20",-3.5
"2021-02-27",1.4
"2021-03-06",-10.1
"2021-03-13",9.7
"2021-03-20",-0.1
"2021-03-27",3.7
"2021-04-03",14.7
"2021-04-10",27.1
"2021-04-17",34.1
"2021-04-24",10.9
"2021-05-01",12.9
"2021-05-08",-2.2
"2021-05-15",18.6
"2021-05-22",15.6
"2021-05-29",39.4
"2021-06-05",32.6
"2021-06-12",20.2
"2021-06-19",34.4
"2021-06-26",37
"2021-07-03",41.5
"2021-07-10",30.7
"2021-07-17",37.6
"2021-07-24",19.2
"2021-07-31",33.4
"2021-08-07",47.5
"2021-08-14",41.3
"2021-08-21",33.1
"2021-08-28",39.7
"2021-09-04",39.9
"2021-09-11",24.1
"2021-09-18",14.3
"2021-09-25",-28.3
"2021-10-02",29.6
"2021-10-09",12.2
"2021-10-16",15.2
"2021-10-23",35.1
"2021-10-30",28.7
