"Date","전체"
"2020-01-11",8.4
"2020-01-18",5
"2020-01-25",-13.4
"2020-02-01",5.1
"2020-02-08",2.9
"2020-02-15",-1
"2020-02-22",4
"2020-02-29",-2.5
"2020-03-07",-11.7
"2020-03-14",-23.3
"2020-03-21",-25.1
"2020-03-28",-12.7
"2020-04-04",-15.2
"2020-04-11",-23.9
"2020-04-18",-34.3
"2020-04-25",-28
"2020-05-02",-45.5
"2020-05-09",-30.6
"2020-05-16",-18.6
"2020-05-23",-7.7
"2020-05-30",-10.5
"2020-06-06",-22.3
"2020-06-13",-1.9
"2020-06-20",-5.6
"2020-06-27",-14.5
"2020-07-04",-16.9
"2020-07-11",-22.5
"2020-07-18",-27.5
"2020-07-25",-17.4
"2020-08-01",-28.6
"2020-08-08",-20.3
"2020-08-15",-24.6
"2020-08-22",-10.2
"2020-08-29",4
"2020-09-05",14.4
"2020-09-12",-7.7
"2020-09-19",13.7
"2020-09-26",10.4
"2020-10-03",-35.5
"2020-10-10",12.5
"2020-10-17",23.9
"2020-10-24",16.4
"2020-10-31",9.8
"2020-11-07",15.7
"2020-11-14",-2.6
"2020-11-21",-2.2
"2020-11-28",-9.2
"2020-12-05",-11.8
"2020-12-12",-13.7
"2020-12-19",-13.7
"2020-12-26",-24.5
"2021-01-02",-35
"2021-01-09",-14.1
"2021-01-16",-17.5
"2021-01-23",-10.2
"2021-01-30",-21.3
"2021-02-06",-20.3
"2021-02-13",-46.5
"2021-02-20",-4.7
"2021-02-27",-10.3
"2021-03-06",-21
"2021-03-13",-14.6
"2021-03-20",-13.1
"2021-03-27",-16.1
"2021-04-03",-13.5
"2021-04-10",-15.8
"2021-04-17",-6.8
"2021-04-24",-15.9
"2021-05-01",-18.2
"2021-05-08",-31.4
"2021-05-15",-21.4
"2021-05-22",-28.5
"2021-05-29",-11.7
"2021-06-05",-1.4
"2021-06-12",-20.5
"2021-06-19",-6.2
"2021-06-26",-7.1
"2021-07-03",2.7
"2021-07-10",-16.9
"2021-07-17",-10.3
"2021-07-24",-13
"2021-07-31",-2.1
"2021-08-07",14.1
"2021-08-14",-9.6
"2021-08-21",-3.8
"2021-08-28",0.1
"2021-09-04",11.2
"2021-09-11",-8.1
"2021-09-18",-12.3
"2021-09-25",-40.1
"2021-10-02",6
"2021-10-09",-5.8
"2021-10-16",-1.7
"2021-10-23",21.1
"2021-10-30",4.4
"2021-11-06",2.5
"2021-11-13",6.1
"2021-11-20",13.5
"2021-11-27",10
"2021-12-04",14.5
"2021-12-11",6.9
"2021-12-18",17.2
"2021-12-25",9.3
"2022-01-01",-1.2
"2022-01-08",21.8
"2022-01-15",-4.6
"2022-01-22",8.7
"2022-01-29",0.3
"2022-02-05",-32.3
"2022-02-12",2.7
"2022-02-19",50.3
"2022-02-26",58.4
"2022-03-05",41.1
"2022-03-12",53
"2022-03-19",63.5
"2022-03-26",96.7
"2022-04-02",85.9
"2022-04-09",109.8
"2022-04-16",87.9
"2022-04-23",98.6
"2022-04-30",83.3
"2022-05-07",68
"2022-05-14",61.3
"2022-05-21",75.7
"2022-05-28",133.6
"2022-06-04",68.3
"2022-06-11",92.9
"2022-06-18",104.9
"2022-06-25",61.1
"2022-07-02",57
"2022-07-09",62.3
"2022-07-16",40.9
"2022-07-23",30.3
"2022-07-30",24.7
"2022-08-06",22.2
"2022-08-13",36.3
