"Date","전체"
"2020-01-11",0.4
"2020-01-18",10.6
"2020-01-25",-11
"2020-02-01",0.4
"2020-02-08",15.9
"2020-02-15",8.8
"2020-02-22",23.4
"2020-02-29",2.8
"2020-03-07",13.3
"2020-03-14",36.3
"2020-03-21",35.1
"2020-03-28",15.7
"2020-04-04",-11
"2020-04-11",-17.7
"2020-04-18",-31.4
"2020-04-25",-24.5
"2020-05-02",-39.8
"2020-05-09",-24.3
"2020-05-16",-4.3
"2020-05-23",-3.7
"2020-05-30",-4
"2020-06-06",6.5
"2020-06-13",1.7
"2020-06-20",35.9
"2020-06-27",42.6
"2020-07-04",1.5
"2020-07-11",10.3
"2020-07-18",6.8
"2020-07-25",-6.4
"2020-08-01",1.1
"2020-08-08",8.1
"2020-08-15",7.6
"2020-08-22",-3.1
"2020-08-29",4.6
"2020-09-05",5.1
"2020-09-12",-2.4
"2020-09-19",-8
"2020-09-26",-1.7
"2020-10-03",-30.9
"2020-10-10",2.9
"2020-10-17",74.6
"2020-10-24",105.9
"2020-10-31",32.2
"2020-11-07",25.8
"2020-11-14",23.1
"2020-11-21",19.1
"2020-11-28",14
"2020-12-05",0.6
"2020-12-12",-0.8
"2020-12-19",12.7
"2020-12-26",4.3
"2021-01-02",-33.9
"2021-01-09",0
"2021-01-16",5.3
"2021-01-23",-7.1
"2021-01-30",-6.2
"2021-02-06",9.2
"2021-02-13",-29.8
"2021-02-20",4.4
"2021-02-27",13.5
"2021-03-06",-6.4
"2021-03-13",14.8
"2021-03-20",23.7
"2021-03-27",24.8
"2021-04-03",19.5
"2021-04-10",19.2
"2021-04-17",33.2
"2021-04-24",32.7
"2021-05-01",38.2
"2021-05-08",19.8
"2021-05-15",45.5
"2021-05-22",33.7
"2021-05-29",49.8
"2021-06-05",67.2
"2021-06-12",59.3
"2021-06-19",56.1
"2021-06-26",77.8
"2021-07-03",98.5
"2021-07-10",74.7
"2021-07-17",61.2
"2021-07-24",52.9
"2021-07-31",107.1
"2021-08-07",77.5
"2021-08-14",82.2
"2021-08-21",60.2
"2021-08-28",57
"2021-09-04",55.5
"2021-09-11",45.1
"2021-09-18",28.5
"2021-09-25",-20
"2021-10-02",63.1
"2021-10-09",39
"2021-10-16",36.7
"2021-10-23",82.4
"2021-10-30",50.2
"2021-11-06",32.5
"2021-11-13",66.7
"2021-11-20",61.2
"2021-11-27",52.5
"2021-12-04",64.8
"2021-12-11",49.8
"2021-12-18",50.2
"2021-12-25",31.1
"2022-01-01",24.1
"2022-01-08",22.9
"2022-01-15",26.4
"2022-01-22",44.2
"2022-01-29",44.7
"2022-02-05",-19.8
"2022-02-12",97.5
"2022-02-19",63.6
"2022-02-26",43.8
"2022-03-05",18.9
"2022-03-12",26.9
"2022-03-19",28.9
"2022-03-26",35
"2022-04-02",25.4
"2022-04-09",34
"2022-04-16",45.8
"2022-04-23",28.8
"2022-04-30",29.6
"2022-05-07",7.5
"2022-05-14",11.5
"2022-05-21",9.3
"2022-05-28",15.9
"2022-06-04",13.4
"2022-06-11",26.5
"2022-06-18",43.8
"2022-06-25",24.7
"2022-07-02",46.7
"2022-07-09",37.8
"2022-07-16",26.6
"2022-07-23",13.9
"2022-07-30",12.4
"2022-08-06",22.8
"2022-08-13",27.4
"2022-08-20",30.5
"2022-08-27",21.7
"2022-09-03",11.3
"2022-09-10",15.8
"2022-09-17",11.2
"2022-09-24",50.4
"2022-10-01",29.6
"2022-10-08",12.5
"2022-10-15",17.1
"2022-10-22",21
"2022-10-29",23.7
"2022-11-05",9.7
"2022-11-12",-4.2
"2022-11-19",-0.5
"2022-11-26",-10.6
"2022-12-03",-10.7
"2022-12-10",-0.6
"2022-12-17",16.3
"2022-12-24",5
"2022-12-31",-6.1
"2023-01-07",3.9
"2023-01-14",-5
"2023-01-21",-5.9
"2023-01-28",-25.1
"2023-02-04",-16.7
"2023-02-11",6.9
"2023-02-18",16.8
"2023-02-25",-21.4
"2023-03-04",-35.3
"2023-03-11",-10.8
"2023-03-18",27.5
"2023-03-25",61
"2023-04-01",21.6
"2023-04-08",29.2
"2023-04-15",40.9
"2023-04-22",98
"2023-04-29",106.8
"2023-05-06",3
"2023-05-13",48.9
"2023-05-20",113.1
"2023-05-27",84.6
"2023-06-03",38.5
"2023-06-10",16.5
"2023-06-17",45.2
"2023-06-24",63.8
"2023-07-01",51.9
"2023-07-08",3.3
"2023-07-15",17.3
"2023-07-22",37.4
"2023-07-29",15
"2023-08-05",16.4
"2023-08-12",22.4
"2023-08-19",58
"2023-08-26",50.7
"2023-09-02",17.1
"2023-09-09",51.4
"2023-09-16",57.9
"2023-09-23",23.7
"2023-09-30",-28.1
"2023-10-07",17.5
"2023-10-14",36.3
"2023-10-21",45.6
"2023-10-28",13.1
"2023-11-04",16.2
"2023-11-11",12.1
"2023-11-18",48.5
"2023-11-25",46.1
"2023-12-02",53.1
"2023-12-09",49.1
"2023-12-16",49.3
"2023-12-23",17.7
"2023-12-30",-56.2
"2024-01-06",-55.9
"2024-01-13",-34
"2024-01-20",-34.8
"2024-01-27",-35.7
"2024-02-03",-53.2
