"Date","전체"
"2020-01-11",16
"2020-01-18",5.2
"2020-01-25",-21.2
"2020-02-01",-15.7
"2020-02-08",3.9
"2020-02-15",2.4
"2020-02-22",2.4
"2020-02-29",-9.7
"2020-03-07",-10
"2020-03-14",-11.4
"2020-03-21",-13.2
"2020-03-28",-15.2
"2020-04-04",-20.4
"2020-04-11",-15.1
"2020-04-18",-25.5
"2020-04-25",-21.3
"2020-05-02",-38.1
"2020-05-09",-30.6
"2020-05-16",-19.1
"2020-05-23",-14.6
"2020-05-30",-16.6
"2020-06-06",-16.1
"2020-06-13",-10.4
"2020-06-20",-10.6
"2020-06-27",-9.6
"2020-07-04",-12.8
"2020-07-11",-22.5
"2020-07-18",-18.9
"2020-07-25",-16.8
"2020-08-01",-17.8
"2020-08-08",-14.6
"2020-08-15",-11.4
"2020-08-22",-12.4
"2020-08-29",-1.8
"2020-09-05",-3
"2020-09-12",-1.2
"2020-09-19",1.8
"2020-09-26",-3.9
"2020-10-03",-52.8
"2020-10-10",-18.9
"2020-10-17",-7.4
"2020-10-24",-0.6
"2020-10-31",-7.1
"2020-11-07",-9.1
"2020-11-14",-18.1
"2020-11-21",-24.6
"2020-11-28",-19
"2020-12-05",-25.1
"2020-12-12",-23.2
"2020-12-19",-23.5
"2020-12-26",-41
"2021-01-02",-42.9
"2021-01-09",-24.3
"2021-01-16",-33.7
"2021-01-23",-26.4
"2021-01-30",-32.7
"2021-02-06",-15
"2021-02-13",-44
"2021-02-20",-2.8
"2021-02-27",-11.3
"2021-03-06",-21.4
"2021-03-13",-15.5
"2021-03-20",-9.5
"2021-03-27",-21
"2021-04-03",-11.2
"2021-04-10",-14.1
"2021-04-17",-0.2
"2021-04-24",-8.9
"2021-05-01",-6.2
"2021-05-08",-17.1
"2021-05-15",-16.4
"2021-05-22",-24.7
"2021-05-29",-7.3
"2021-06-05",-5.9
"2021-06-12",-9.8
"2021-06-19",-3
"2021-06-26",0.9
"2021-07-03",3.7
"2021-07-10",0.5
"2021-07-17",-3
"2021-07-24",-4.7
"2021-07-31",45.8
"2021-08-07",41.5
"2021-08-14",31.9
"2021-08-21",15.1
"2021-08-28",21.9
"2021-09-04",15.7
"2021-09-11",-0.3
"2021-09-18",-3.5
"2021-09-25",-39.8
"2021-10-02",11.1
"2021-10-09",0.6
"2021-10-16",5.1
"2021-10-23",21.1
"2021-10-30",15.2
"2021-11-06",15.9
"2021-11-13",8
"2021-11-20",5.3
"2021-11-27",19.5
"2021-12-04",27.2
"2021-12-11",15.6
"2021-12-18",13.1
"2021-12-25",3.7
"2022-01-01",-2.6
"2022-01-08",20.1
"2022-01-15",6
"2022-01-22",12
"2022-01-29",1.4
"2022-02-05",-40.8
"2022-02-12",9.7
"2022-02-19",56.5
"2022-02-26",49.7
"2022-03-05",3.2
"2022-03-12",15.5
"2022-03-19",29.3
"2022-03-26",43.8
"2022-04-02",32.8
"2022-04-09",56.3
"2022-04-16",64.7
"2022-04-23",50
"2022-04-30",39.1
"2022-05-07",24.4
"2022-05-14",24.8
"2022-05-21",39.7
"2022-05-28",47.5
"2022-06-04",25.3
"2022-06-11",37.2
"2022-06-18",40
"2022-06-25",26
"2022-07-02",27.5
"2022-07-09",24.7
"2022-07-16",22.4
"2022-07-23",2.6
"2022-07-30",10
"2022-08-06",14.4
"2022-08-13",20
"2022-08-20",3.9
"2022-08-27",6.9
"2022-09-03",3.9
"2022-09-10",-7.2
"2022-09-17",0.6
"2022-09-24",30.1
"2022-10-01",12.4
"2022-10-08",-8.1
"2022-10-15",-0.7
"2022-10-22",14.4
"2022-10-29",3.9
"2022-11-05",3.6
"2022-11-12",5
"2022-11-19",-7.8
"2022-11-26",-12.3
"2022-12-03",-4.8
"2022-12-10",-13.4
"2022-12-17",-11.3
"2022-12-24",-14.8
"2022-12-31",-20.8
"2023-01-07",-3.4
"2023-01-14",-16.4
"2023-01-21",-29.5
"2023-01-28",-38.2
"2023-02-04",-14.9
"2023-02-11",-14.1
"2023-02-18",-14.4
"2023-02-25",-22.5
"2023-03-04",-28.2
"2023-03-11",-24.4
"2023-03-18",-18.2
"2023-03-25",12.2
"2023-04-01",-2.3
"2023-04-08",4.4
"2023-04-15",8.3
"2023-04-22",31.4
"2023-04-29",24.6
"2023-05-06",-32.3
"2023-05-13",29.4
"2023-05-20",26.2
"2023-05-27",24.9
"2023-06-03",6.8
"2023-06-10",-15.1
"2023-06-17",19.9
"2023-06-24",18.4
"2023-07-01",37.4
"2023-07-08",-3.4
"2023-07-15",6.6
"2023-07-22",26.8
"2023-07-29",3.8
"2023-08-05",3.2
"2023-08-12",12.5
"2023-08-19",31.9
"2023-08-26",50.5
"2023-09-02",15.9
"2023-09-09",45.6
"2023-09-16",52.1
"2023-09-23",30.2
"2023-09-30",-37
"2023-10-07",-8.3
"2023-10-14",26.5
"2023-10-21",15
"2023-10-28",6.3
"2023-11-04",3.8
"2023-11-11",11.7
"2023-11-18",45.8
"2023-11-25",15.2
"2023-12-02",29.5
"2023-12-09",28.9
"2023-12-16",36.3
"2023-12-23",14.5
"2023-12-30",-40
"2024-01-06",-45.1
"2024-01-13",-21.5
"2024-01-20",-33.8
"2024-01-27",-19.4
"2024-02-03",-23.5
"2024-02-10",-50.1
"2024-02-17",-30.7
"2024-02-24",-25.2
"2024-03-02",-21.6
"2024-03-09",-4.1
"2024-03-16",-26.6
"2024-03-23",0.2
"2024-03-30",-20.9
"2024-04-06",-15
"2024-04-13",-11.4
