"Date","전체"
"2020-01-11",5
"2020-01-18",2.8
"2020-01-25",-7.8
"2020-02-01",-0.7
"2020-02-08",27.4
"2020-02-15",15.7
"2020-02-22",21.8
"2020-02-29",16.2
"2020-03-07",31.9
"2020-03-14",12.6
"2020-03-21",-0.8
"2020-03-28",7.9
"2020-04-04",9.2
"2020-04-11",1.5
"2020-04-18",10.7
"2020-04-25",13.3
"2020-05-02",-27.5
"2020-05-09",-11
"2020-05-16",17
"2020-05-23",6.2
"2020-05-30",-3.4
"2020-06-06",7.9
"2020-06-13",4.4
"2020-06-20",1.3
"2020-06-27",27.4
"2020-07-04",2.5
"2020-07-11",-8.5
"2020-07-18",0.4
"2020-07-25",-5.3
"2020-08-01",-9.5
"2020-08-08",-8.4
"2020-08-15",-6.7
"2020-08-22",-18.6
"2020-08-29",-8.1
"2020-09-05",-7.9
"2020-09-12",-8.2
"2020-09-19",-3.6
"2020-09-26",-0.2
"2020-10-03",-43.5
"2020-10-10",2.4
"2020-10-17",30.9
"2020-10-24",24.7
"2020-10-31",26.8
"2020-11-07",25.8
"2020-11-14",15.7
"2020-11-21",11.3
"2020-11-28",34.7
"2020-12-05",25.4
"2020-12-12",18.8
"2020-12-19",17.6
"2020-12-26",-23
"2021-01-02",-39.6
"2021-01-09",-24.4
"2021-01-16",-17.8
"2021-01-23",-16.3
"2021-01-30",4.4
"2021-02-06",49.7
"2021-02-13",17.7
"2021-02-20",61.4
"2021-02-27",46.1
"2021-03-06",16.7
"2021-03-13",45.8
"2021-03-20",35.7
"2021-03-27",19.6
"2021-04-03",10.2
"2021-04-10",23.5
"2021-04-17",76.8
"2021-04-24",15.9
"2021-05-01",9.8
"2021-05-08",1.1
"2021-05-15",21.5
"2021-05-22",13.8
"2021-05-29",36.6
"2021-06-05",31.9
"2021-06-12",11
"2021-06-19",33.2
"2021-06-26",28
"2021-07-03",31.4
"2021-07-10",57.9
"2021-07-17",44.7
"2021-07-24",5.7
"2021-07-31",71
"2021-08-07",79.1
"2021-08-14",76.3
"2021-08-21",63.9
"2021-08-28",66.5
"2021-09-04",36.2
"2021-09-11",32.6
"2021-09-18",50.7
"2021-09-25",5.6
"2021-10-02",66
"2021-10-09",33.3
"2021-10-16",8.2
"2021-10-23",34.8
"2021-10-30",91
"2021-11-06",58.1
"2021-11-13",37.9
"2021-11-20",73.9
"2021-11-27",122.1
"2021-12-04",104.2
"2021-12-11",97.2
"2021-12-18",90.7
"2021-12-25",63
"2022-01-01",64.1
"2022-01-08",117.7
"2022-01-15",86.9
"2022-01-22",90.8
"2022-01-29",63.8
"2022-02-05",-6.8
"2022-02-12",51.1
"2022-02-19",121.7
"2022-02-26",82.2
"2022-03-05",76
"2022-03-12",164
"2022-03-19",120
"2022-03-26",94.6
"2022-04-02",103.5
"2022-04-09",158.9
"2022-04-16",150.7
"2022-04-23",155.9
"2022-04-30",136
"2022-05-07",103.3
"2022-05-14",92.7
"2022-05-21",107.7
"2022-05-28",113.2
"2022-06-04",80.4
"2022-06-11",83.7
"2022-06-18",94.3
"2022-06-25",75.9
"2022-07-02",75.6
"2022-07-09",130.3
"2022-07-16",96.9
"2022-07-23",73.1
"2022-07-30",68.2
"2022-08-06",68.4
"2022-08-13",61.5
"2022-08-20",44
"2022-08-27",50.4
"2022-09-03",55.8
"2022-09-10",29.9
"2022-09-17",47.9
"2022-09-24",102.1
"2022-10-01",68.6
"2022-10-08",44
"2022-10-15",45.1
"2022-10-22",41.3
"2022-10-29",59.5
"2022-11-05",53.1
"2022-11-12",30.2
"2022-11-19",9.6
"2022-11-26",7.9
"2022-12-03",12.6
"2022-12-10",28.2
"2022-12-17",19.7
"2022-12-24",8.5
"2022-12-31",11
"2023-01-07",27.8
"2023-01-14",19.3
"2023-01-21",8.9
"2023-01-28",-20.3
"2023-02-04",23
"2023-02-11",25.6
"2023-02-18",12.3
"2023-02-25",1.5
"2023-03-04",-12.1
"2023-03-11",1.6
"2023-03-18",7.7
"2023-03-25",24
"2023-04-01",40.5
"2023-04-08",43.1
"2023-04-15",42.6
"2023-04-22",60.7
"2023-04-29",62.3
"2023-05-06",7.6
"2023-05-13",72.5
"2023-05-20",68.6
"2023-05-27",52.1
"2023-06-03",36.4
"2023-06-10",11.6
"2023-06-17",48.5
"2023-06-24",31
"2023-07-01",57.5
"2023-07-08",43.8
"2023-07-15",32.2
"2023-07-22",50.6
"2023-07-29",23.4
"2023-08-05",24.5
"2023-08-12",9.4
"2023-08-19",14.3
"2023-08-26",49
"2023-09-02",36.8
"2023-09-09",55.5
"2023-09-16",38.1
"2023-09-23",16.5
"2023-09-30",-22.1
"2023-10-07",4.4
"2023-10-14",32.4
"2023-10-21",13
"2023-10-28",18.6
"2023-11-04",24.6
"2023-11-11",15.5
"2023-11-18",30.9
"2023-11-25",35.6
"2023-12-02",26.6
"2023-12-09",50.9
"2023-12-16",35.3
"2023-12-23",16.3
"2023-12-30",-50.5
"2024-01-06",-55.8
"2024-01-13",-33.6
"2024-01-20",-40.3
"2024-01-27",-32.2
"2024-02-03",-35.7
"2024-02-10",-43.2
"2024-02-17",-43.1
"2024-02-24",-35.9
"2024-03-02",-29.9
"2024-03-09",-19.5
"2024-03-16",-28.9
"2024-03-23",-14.7
"2024-03-30",-35.5
"2024-04-06",-35
"2024-04-13",-23.6
"2024-04-20",-4.7
"2024-04-27",-12.4
"2024-05-04",-18
"2024-05-11",-11.7
"2024-05-18",1.1
"2024-05-25",6.5
"2024-06-01",2.2
"2024-06-08",-19.3
"2024-06-15",-13.7
"2024-06-22",-4.5
"2024-06-29",-19.9
"2024-07-06",-6.6
"2024-07-13",-16.4
"2024-07-20",2.6
"2024-07-27",-22.7
"2024-08-03",-8.7
"2024-08-10",-2.4
"2024-08-17",-11.1
"2024-08-24",17.4
"2024-08-31",-8.4
"2024-09-07",-48.7
"2024-09-14",-13
"2024-09-21",-65.6
"2024-09-28",-34.6
"2024-10-05",-48.4
"2024-10-12",-47.5
"2024-10-19",-40.6
"2024-10-26",-46.7
"2024-11-02",-33
"2024-11-09",-50.4
"2024-11-16",-45.8
"2024-11-23",-49.6
"2024-11-30",-35.8
"2024-12-07",-35.5
"2024-12-14",-39.9
"2024-12-21",-42.6
"2024-12-28",-61.9
"2025-01-04",-80.8
"2025-01-11",-78.3
"2025-01-18",-61.2
"2025-01-25",-62.4
"2025-02-01",-87.9
"2025-02-08",-53.2
"2025-02-15",-60.1
"2025-02-22",-58.6
"2025-03-01",-61
"2025-03-08",-66.2
"2025-03-15",-60.6
"2025-03-22",-62.9
"2025-03-29",-65.8
"2025-04-05",-61.7
"2025-04-12",-59.2
"2025-04-19",-66.9
"2025-04-26",-65.4
"2025-05-03",-75.8
"2025-05-10",-75
"2025-05-17",-47
"2025-05-24",-67.1
"2025-05-31",-59.2
"2025-06-07",-73.6
