"Date","전체"
"2020-01-11",18.4
"2020-01-18",8.8
"2020-01-25",-27.3
"2020-02-01",-20.3
"2020-02-08",5.9
"2020-02-15",1.3
"2020-02-22",-7.6
"2020-02-29",-13.1
"2020-03-07",-16.2
"2020-03-14",-2.7
"2020-03-21",6.3
"2020-03-28",-0.7
"2020-04-04",6.8
"2020-04-11",-1.8
"2020-04-18",-8.5
"2020-04-25",17.5
"2020-05-02",9.7
"2020-05-09",-12.1
"2020-05-16",17.9
"2020-05-23",63.1
"2020-05-30",24.1
"2020-06-06",20.6
"2020-06-13",27.1
"2020-06-20",14.9
"2020-06-27",8
"2020-07-04",3.7
"2020-07-11",7.8
"2020-07-18",15.5
"2020-07-25",11.9
"2020-08-01",32.8
"2020-08-08",29.6
"2020-08-15",38.7
"2020-08-22",37.9
"2020-08-29",36.9
"2020-09-05",66.6
"2020-09-12",42.4
"2020-09-19",20.9
"2020-09-26",17.7
"2020-10-03",-38.3
"2020-10-10",27.5
"2020-10-17",32.9
"2020-10-24",80.1
"2020-10-31",32.9
"2020-11-07",27.4
"2020-11-14",30.6
"2020-11-21",38.8
"2020-11-28",28.2
"2020-12-05",24.7
"2020-12-12",10.2
"2020-12-19",7.5
"2020-12-26",-6.4
"2021-01-02",-21.5
"2021-01-09",13.8
"2021-01-16",20.5
"2021-01-23",17.1
"2021-01-30",-4.8
"2021-02-06",7.8
"2021-02-13",-23.1
"2021-02-20",14.5
"2021-02-27",1.7
"2021-03-06",-12.7
"2021-03-13",28.8
"2021-03-20",38.2
"2021-03-27",123.2
"2021-04-03",56.2
"2021-04-10",32.5
"2021-04-17",96.8
"2021-04-24",54.8
"2021-05-01",56.2
"2021-05-08",40.9
"2021-05-15",45.1
"2021-05-22",48.1
"2021-05-29",79.4
"2021-06-05",52.5
"2021-06-12",32.6
"2021-06-19",44.2
"2021-06-26",48
"2021-07-03",51.6
"2021-07-10",43.4
"2021-07-17",40.9
"2021-07-24",39
"2021-07-31",41
"2021-08-07",56.6
"2021-08-14",29.3
"2021-08-21",25.5
"2021-08-28",45.8
"2021-09-04",43.9
"2021-09-11",36.6
"2021-09-18",18.1
"2021-09-25",-27.8
"2021-10-02",31.9
"2021-10-09",12.1
"2021-10-16",12.1
"2021-10-23",32.3
"2021-10-30",21.2
"2021-11-06",30.2
"2021-11-13",34.8
"2021-11-20",22.3
"2021-11-27",38.3
"2021-12-04",34.4
"2021-12-11",38.2
"2021-12-18",42.1
"2021-12-25",38.3
"2022-01-01",24.5
"2022-01-08",55.4
"2022-01-15",34.1
"2022-01-22",30.4
"2022-01-29",18.7
"2022-02-05",-30.2
"2022-02-12",21.9
"2022-02-19",32.8
"2022-02-26",23.6
"2022-03-05",18.3
"2022-03-12",23
"2022-03-19",50.2
"2022-03-26",38.3
"2022-04-02",47.7
"2022-04-09",42.5
"2022-04-16",47.6
"2022-04-23",47.7
"2022-04-30",48.8
"2022-05-07",41.6
"2022-05-14",47.4
"2022-05-21",63.2
"2022-05-28",46.7
"2022-06-04",43.4
"2022-06-11",46.3
"2022-06-18",54.2
"2022-06-25",49.8
"2022-07-02",63.2
"2022-07-09",45.3
"2022-07-16",52
"2022-07-23",26.5
"2022-07-30",31.5
"2022-08-06",38.6
"2022-08-13",43.7
"2022-08-20",17.3
"2022-08-27",48.9
"2022-09-03",49.5
"2022-09-10",18.1
"2022-09-17",34.9
"2022-09-24",78.5
"2022-10-01",43
"2022-10-08",31.1
"2022-10-15",23.8
"2022-10-22",23.3
"2022-10-29",22.7
"2022-11-05",34.6
"2022-11-12",8.9
"2022-11-19",3.2
"2022-11-26",14.1
"2022-12-03",4.1
"2022-12-10",1
"2022-12-17",-9.4
"2022-12-24",-21.3
"2022-12-31",-22.1
"2023-01-07",12.2
"2023-01-14",-6.5
"2023-01-21",-16.2
"2023-01-28",-42.8
"2023-02-04",-1.8
"2023-02-11",8.2
"2023-02-18",-1.2
"2023-02-25",-12.9
"2023-03-04",-16.4
"2023-03-11",-9.5
"2023-03-18",-3.9
"2023-03-25",4.1
"2023-04-01",4.7
"2023-04-08",3.7
"2023-04-15",10.6
"2023-04-22",22.1
"2023-04-29",17.2
"2023-05-06",-5.2
"2023-05-13",63
"2023-05-20",58.8
"2023-05-27",8.4
"2023-06-03",-1.5
"2023-06-10",-9.6
"2023-06-17",11
"2023-06-24",15.1
"2023-07-01",12.6
"2023-07-08",5.6
"2023-07-15",-4.7
"2023-07-22",17.8
"2023-07-29",6.2
"2023-08-05",9
"2023-08-12",12.6
"2023-08-19",14.7
"2023-08-26",39.2
"2023-09-02",23
"2023-09-09",43.4
"2023-09-16",46.6
"2023-09-23",27.7
"2023-09-30",-32.2
"2023-10-07",2.1
"2023-10-14",21
"2023-10-21",4.1
"2023-10-28",9.8
"2023-11-04",11.8
"2023-11-11",3.8
"2023-11-18",28.7
"2023-11-25",12.3
"2023-12-02",25.1
"2023-12-09",22.5
"2023-12-16",38.8
"2023-12-23",2.3
"2023-12-30",-59.6
"2024-01-06",-66.4
"2024-01-13",-45.9
"2024-01-20",-56.1
"2024-01-27",-47.1
"2024-02-03",-53.8
"2024-02-10",-64.3
"2024-02-17",-59.5
"2024-02-24",-54.8
"2024-03-02",-51
"2024-03-09",-43.5
"2024-03-16",-52.1
"2024-03-23",-40.4
"2024-03-30",-53.2
"2024-04-06",-51.3
"2024-04-13",-46.5
"2024-04-20",-31.9
"2024-04-27",-30.3
"2024-05-04",-39.4
"2024-05-11",-23.7
"2024-05-18",-20.2
"2024-05-25",-17.1
"2024-06-01",-32.7
"2024-06-08",-51.7
"2024-06-15",-55.5
"2024-06-22",-48.6
"2024-06-29",-47.3
"2024-07-06",-45.7
"2024-07-13",-49.7
"2024-07-20",-43.5
"2024-07-27",-54
"2024-08-03",-53.2
"2024-08-10",-43.4
"2024-08-17",-44.5
"2024-08-24",-31
"2024-08-31",-44.5
"2024-09-07",-73.2
"2024-09-14",-57.1
"2024-09-21",-86.6
"2024-09-28",-60.9
"2024-10-05",-64.9
"2024-10-12",-64.2
"2024-10-19",-59.9
"2024-10-26",-62.9
"2024-11-02",-71.4
"2024-11-09",-79.1
"2024-11-16",-74.6
"2024-11-23",-72.7
"2024-11-30",-69
"2024-12-07",-69
"2024-12-14",-59.6
"2024-12-21",-62
"2024-12-28",-75.4
"2025-01-04",-88.7
"2025-01-11",-87.4
"2025-01-18",-80.7
"2025-01-25",-81.5
"2025-02-01",-94.6
"2025-02-08",-74.9
"2025-02-15",-80.2
"2025-02-22",-81.3
"2025-03-01",-80.4
"2025-03-08",-85.8
"2025-03-15",-81.9
"2025-03-22",-79.9
"2025-03-29",-82.7
"2025-04-05",-82
"2025-04-12",-77.8
"2025-04-19",-78.1
"2025-04-26",-79.4
"2025-05-03",-89
"2025-05-10",-86.2
"2025-05-17",-71.7
"2025-05-24",-79.6
"2025-05-31",-74.3
"2025-06-07",-85.6
