"Date","전체"
"2020-01-11",27.4
"2020-01-18",-3.7
"2020-01-25",-23.8
"2020-02-01",-7.2
"2020-02-08",13.8
"2020-02-15",29.2
"2020-02-22",-0.1
"2020-02-29",-7.2
"2020-03-07",-11.1
"2020-03-14",1.1
"2020-03-21",11.3
"2020-03-28",12.1
"2020-04-04",21
"2020-04-11",-3.5
"2020-04-18",-8.3
"2020-04-25",25.4
"2020-05-02",10.8
"2020-05-09",22.7
"2020-05-16",42.4
"2020-05-23",71.8
"2020-05-30",31.3
"2020-06-06",51.8
"2020-06-13",54.7
"2020-06-20",48.8
"2020-06-27",37.4
"2020-07-04",31
"2020-07-11",48.6
"2020-07-18",67.2
"2020-07-25",40.5
"2020-08-01",29.1
"2020-08-08",36.4
"2020-08-15",33
"2020-08-22",19.9
"2020-08-29",17.8
"2020-09-05",28.3
"2020-09-12",47
"2020-09-19",23.5
"2020-09-26",15.7
"2020-10-03",-37.6
"2020-10-10",20.3
"2020-10-17",58.6
"2020-10-24",36.8
"2020-10-31",53.7
"2020-11-07",33.8
"2020-11-14",35.3
"2020-11-21",37.3
"2020-11-28",63.3
"2020-12-05",54.6
"2020-12-12",22.7
"2020-12-19",20.4
"2020-12-26",7.6
"2021-01-02",0.1
"2021-01-09",13.8
"2021-01-16",34.7
"2021-01-23",41.2
"2021-01-30",16.8
"2021-02-06",57.2
"2021-02-13",31.1
"2021-02-20",43.9
"2021-02-27",59.6
"2021-03-06",26.8
"2021-03-13",27
"2021-03-20",46.4
"2021-03-27",51.6
"2021-04-03",53.1
"2021-04-10",72.1
"2021-04-17",105.5
"2021-04-24",41
"2021-05-01",31.9
"2021-05-08",30.5
"2021-05-15",54
"2021-05-22",45.1
"2021-05-29",98.5
"2021-06-05",64.6
"2021-06-12",50.2
"2021-06-19",73.3
"2021-06-26",65.5
"2021-07-03",79.1
"2021-07-10",69.6
"2021-07-17",67.4
"2021-07-24",44.7
"2021-07-31",34
"2021-08-07",46.4
"2021-08-14",43.6
"2021-08-21",20.2
"2021-08-28",44
"2021-09-04",70.7
"2021-09-11",46.3
"2021-09-18",49.5
"2021-09-25",-31.9
"2021-10-02",57
"2021-10-09",28.3
"2021-10-16",51.9
"2021-10-23",71.9
"2021-10-30",43.7
"2021-11-06",79.9
"2021-11-13",77.7
"2021-11-20",49
"2021-11-27",72.5
"2021-12-04",52.7
"2021-12-11",61.3
"2021-12-18",54.1
"2021-12-25",49.4
"2022-01-01",6.9
"2022-01-08",80.9
"2022-01-15",50.3
"2022-01-22",48.1
"2022-01-29",46.6
"2022-02-05",-26.5
"2022-02-12",34.1
"2022-02-19",58.2
"2022-02-26",55.9
"2022-03-05",18.9
"2022-03-12",19.1
"2022-03-19",81.4
"2022-03-26",39.9
"2022-04-02",35.7
"2022-04-09",68.4
"2022-04-16",48.4
"2022-04-23",75.3
"2022-04-30",76.9
"2022-05-07",47.5
"2022-05-14",33.9
"2022-05-21",57.7
"2022-05-28",63.5
"2022-06-04",72.4
"2022-06-11",50.3
"2022-06-18",77.1
"2022-06-25",49.4
"2022-07-02",75
"2022-07-09",41.4
