"Date","전체"
"2020-01-11",15.8
"2020-01-18",3.7
"2020-01-25",-19.4
"2020-02-01",-8.4
"2020-02-08",6.5
"2020-02-15",2.8
"2020-02-22",-2.2
"2020-02-29",-16.2
"2020-03-07",-18.6
"2020-03-14",-9
"2020-03-21",5
"2020-03-28",7.2
"2020-04-04",-4.3
"2020-04-11",-15
"2020-04-18",-5.1
"2020-04-25",17.8
"2020-05-02",1.5
"2020-05-09",6.7
"2020-05-16",28.6
"2020-05-23",29.1
"2020-05-30",9.2
"2020-06-06",20
"2020-06-13",15.4
"2020-06-20",22
"2020-06-27",19.8
"2020-07-04",25.1
"2020-07-11",28.4
"2020-07-18",18.6
"2020-07-25",4.7
"2020-08-01",-1.9
"2020-08-08",5.6
"2020-08-15",9.1
"2020-08-22",-3.6
"2020-08-29",0.2
"2020-09-05",20.4
"2020-09-12",5
"2020-09-19",2.6
"2020-09-26",1.6
"2020-10-03",-31.1
"2020-10-10",-3.5
"2020-10-17",12.8
"2020-10-24",20.1
"2020-10-31",29.6
"2020-11-07",22.2
"2020-11-14",20.1
"2020-11-21",9
"2020-11-28",14.9
"2020-12-05",28.2
"2020-12-12",15.7
"2020-12-19",37.4
"2020-12-26",9.3
"2021-01-02",-15.6
"2021-01-09",0.6
"2021-01-16",0.6
"2021-01-23",2
"2021-01-30",14
"2021-02-06",148.2
"2021-02-13",140.2
"2021-02-20",204.7
"2021-02-27",242.7
"2021-03-06",161.1
"2021-03-13",177.3
"2021-03-20",152.8
"2021-03-27",214.9
"2021-04-03",241.9
"2021-04-10",248.3
"2021-04-17",271.6
"2021-04-24",173
"2021-05-01",156.8
"2021-05-08",137.7
"2021-05-15",140.3
"2021-05-22",159.1
"2021-05-29",183
"2021-06-05",169.5
"2021-06-12",177.4
"2021-06-19",183.1
"2021-06-26",181.6
"2021-07-03",176.4
"2021-07-10",175.7
"2021-07-17",183.8
"2021-07-24",184.7
"2021-07-31",339.4
"2021-08-07",342.7
"2021-08-14",240
"2021-08-21",232.2
"2021-08-28",247.4
"2021-09-04",256.4
"2021-09-11",147.5
"2021-09-18",153.3
"2021-09-25",159.9
"2021-10-02",160.8
"2021-10-09",157.7
"2021-10-16",167
"2021-10-23",215.2
"2021-10-30",70.9
"2021-11-06",95.3
"2021-11-13",86.4
"2021-11-20",74.4
"2021-11-27",72.4
"2021-12-04",67.7
"2021-12-11",66.7
"2021-12-18",58.9
"2021-12-25",44
"2022-01-01",28.8
"2022-01-08",63.6
"2022-01-15",34.2
"2022-01-22",36.8
"2022-01-29",29.1
"2022-02-05",2.4
"2022-02-12",53.3
"2022-02-19",74.8
"2022-02-26",94.1
"2022-03-05",51.3
"2022-03-12",69.4
"2022-03-19",68.9
"2022-03-26",48.2
"2022-04-02",59.2
"2022-04-09",166.9
"2022-04-16",150.3
"2022-04-23",139.6
"2022-04-30",140.5
"2022-05-07",124.1
"2022-05-14",99.2
"2022-05-21",122.8
"2022-05-28",144
"2022-06-04",127.7
"2022-06-11",115.6
"2022-06-18",119.4
"2022-06-25",82.5
"2022-07-02",96.4
"2022-07-09",134
"2022-07-16",132.5
"2022-07-23",91.6
"2022-07-30",80.7
"2022-08-06",85.3
"2022-08-13",85.8
"2022-08-20",64.8
"2022-08-27",75.7
"2022-09-03",88.8
"2022-09-10",76.9
"2022-09-17",73.7
"2022-09-24",113.7
"2022-10-01",84.1
"2022-10-08",89.1
"2022-10-15",66.5
"2022-10-22",77.4
"2022-10-29",117.5
"2022-11-05",85.5
"2022-11-12",66
"2022-11-19",67
"2022-11-26",70.7
"2022-12-03",49.8
"2022-12-10",32.5
"2022-12-17",11.9
"2022-12-24",-6.6
"2022-12-31",6.7
"2023-01-07",14.9
"2023-01-14",-8.9
"2023-01-21",-4.5
"2023-01-28",-41.4
"2023-02-04",-23.5
"2023-02-11",-13.2
"2023-02-18",-28.3
"2023-02-25",-21.8
"2023-03-04",-28.8
"2023-03-11",-22
"2023-03-18",-24.3
"2023-03-25",1.1
"2023-04-01",-8.3
"2023-04-08",-9.7
"2023-04-15",-4.7
"2023-04-22",26.6
"2023-04-29",19.1
"2023-05-06",-19
"2023-05-13",31.4
"2023-05-20",28.4
"2023-05-27",1.4
"2023-06-03",-15.9
"2023-06-10",-22.5
"2023-06-17",9.2
"2023-06-24",-3.3
"2023-07-01",9.7
"2023-07-08",-16.4
"2023-07-15",-16.8
"2023-07-22",-6.8
"2023-07-29",-15.7
"2023-08-05",-12.9
"2023-08-12",-7.6
"2023-08-19",-9
"2023-08-26",28.4
"2023-09-02",-9
"2023-09-09",9.7
"2023-09-16",8.6
"2023-09-23",-3.9
"2023-09-30",-41.4
"2023-10-07",-14.2
"2023-10-14",16.3
"2023-10-21",-7.9
"2023-10-28",-15.7
"2023-11-04",-16
"2023-11-11",-19.7
"2023-11-18",-1.7
"2023-11-25",-11.3
"2023-12-02",5.2
"2023-12-09",14.6
"2023-12-16",-1.8
"2023-12-23",-8.7
"2023-12-30",-54.5
"2024-01-06",-57.6
"2024-01-13",-37.4
"2024-01-20",-49.8
"2024-01-27",-42.3
"2024-02-03",-42.1
"2024-02-10",-54.5
"2024-02-17",-49
"2024-02-24",-50.5
"2024-03-02",-40.8
"2024-03-09",-34
"2024-03-16",-51
"2024-03-23",-31
"2024-03-30",-44.7
"2024-04-06",-41.4
"2024-04-13",-41.3
"2024-04-20",-27.9
"2024-04-27",-26.8
"2024-05-04",-33.2
"2024-05-11",-39.9
"2024-05-18",-32.5
"2024-05-25",-27.6
"2024-06-01",-29.5
"2024-06-08",-45.6
"2024-06-15",-52.6
"2024-06-22",-56.7
"2024-06-29",-47.2
"2024-07-06",-60
"2024-07-13",-54.8
