"Date","전체"
"2020-01-11",3.1
"2020-01-18",14.2
"2020-01-25",-17.4
"2020-02-01",-10.8
"2020-02-08",17.4
"2020-02-15",13.6
"2020-02-22",18.5
"2020-02-29",4.3
"2020-03-07",7.1
"2020-03-14",14.3
"2020-03-21",15.2
"2020-03-28",15.1
"2020-04-04",10.2
"2020-04-11",21.7
"2020-04-18",9.1
"2020-04-25",20.4
"2020-05-02",-1.3
"2020-05-09",-9.3
"2020-05-16",23.7
"2020-05-23",23.7
"2020-05-30",3.4
"2020-06-06",6.8
"2020-06-13",8.1
"2020-06-20",11.8
"2020-06-27",25.2
"2020-07-04",11.4
"2020-07-11",7.1
"2020-07-18",6.3
"2020-07-25",3.5
"2020-08-01",21.7
"2020-08-08",16.3
"2020-08-15",19.3
"2020-08-22",0.8
"2020-08-29",22.5
"2020-09-05",21.6
"2020-09-12",28
"2020-09-19",24
"2020-09-26",21.7
"2020-10-03",-44.7
"2020-10-10",22.7
"2020-10-17",28.9
"2020-10-24",29.1
"2020-10-31",29.6
"2020-11-07",26.4
"2020-11-14",11.4
"2020-11-21",18.5
"2020-11-28",26.9
"2020-12-05",14.6
"2020-12-12",3.6
"2020-12-19",8.5
"2020-12-26",5.7
"2021-01-02",-10.9
"2021-01-09",32.8
"2021-01-16",42.9
"2021-01-23",29.9
"2021-01-30",16.4
"2021-02-06",17.9
"2021-02-13",-19.6
"2021-02-20",28
"2021-02-27",8.5
"2021-03-06",-1.5
"2021-03-13",25.9
"2021-03-20",50.7
"2021-03-27",88.3
"2021-04-03",61.4
"2021-04-10",30.8
"2021-04-17",114.8
"2021-04-24",39.1
"2021-05-01",42.7
"2021-05-08",14.6
"2021-05-15",40
"2021-05-22",44
"2021-05-29",87.7
"2021-06-05",58.5
"2021-06-12",20.5
"2021-06-19",27.6
"2021-06-26",28.3
"2021-07-03",52.2
"2021-07-10",79.7
"2021-07-17",71.3
"2021-07-24",38.8
"2021-07-31",114.3
"2021-08-07",144.7
"2021-08-14",95.5
"2021-08-21",96.5
"2021-08-28",81.3
"2021-09-04",65.1
"2021-09-11",47.5
"2021-09-18",66
"2021-09-25",11.3
"2021-10-02",101.7
"2021-10-09",71.5
"2021-10-16",52.7
"2021-10-23",57.4
"2021-10-30",104.6
"2021-11-06",78.5
"2021-11-13",60.9
"2021-11-20",98.1
"2021-11-27",116.3
"2021-12-04",105.3
"2021-12-11",104.9
"2021-12-18",97.9
"2021-12-25",63.4
"2022-01-01",65.3
"2022-01-08",126.8
"2022-01-15",95
"2022-01-22",101.5
"2022-01-29",81.4
"2022-02-05",-4.5
"2022-02-12",59
"2022-02-19",118.9
"2022-02-26",80.8
"2022-03-05",57.8
"2022-03-12",93.4
"2022-03-19",111.2
"2022-03-26",85.9
"2022-04-02",93.8
"2022-04-09",138.3
"2022-04-16",117.2
"2022-04-23",107.5
"2022-04-30",93.2
"2022-05-07",61.5
"2022-05-14",89.5
"2022-05-21",95.2
"2022-05-28",85.8
"2022-06-04",64.6
"2022-06-11",65.3
"2022-06-18",83.1
"2022-06-25",79
"2022-07-02",87.5
"2022-07-09",104.1
"2022-07-16",101.4
"2022-07-23",83.5
"2022-07-30",85.8
"2022-08-06",80.2
"2022-08-13",81.8
"2022-08-20",54
"2022-08-27",64.7
"2022-09-03",71.6
"2022-09-10",37.3
"2022-09-17",58.8
"2022-09-24",112.6
"2022-10-01",60.7
"2022-10-08",37.3
"2022-10-15",36.9
"2022-10-22",36.9
"2022-10-29",30.1
"2022-11-05",34
"2022-11-12",19.9
"2022-11-19",21
"2022-11-26",16.9
"2022-12-03",21.7
"2022-12-10",21.1
"2022-12-17",19.7
"2022-12-24",8.2
"2022-12-31",0.3
"2023-01-07",20
"2023-01-14",2.6
"2023-01-21",-14
"2023-01-28",-35.9
"2023-02-04",7.1
"2023-02-11",11.6
"2023-02-18",11.5
"2023-02-25",8.8
"2023-03-04",-11
"2023-03-11",16.3
"2023-03-18",21.4
"2023-03-25",33.6
"2023-04-01",42.2
"2023-04-08",50.1
"2023-04-15",42.3
"2023-04-22",67.2
"2023-04-29",51.3
"2023-05-06",16.3
"2023-05-13",128.7
"2023-05-20",117.9
"2023-05-27",54.9
"2023-06-03",38.3
"2023-06-10",9.6
"2023-06-17",53.7
"2023-06-24",41.6
"2023-07-01",30
"2023-07-08",24.5
"2023-07-15",23
"2023-07-22",46.3
"2023-07-29",19.9
"2023-08-05",22.8
"2023-08-12",28.1
"2023-08-19",38.6
"2023-08-26",51.8
"2023-09-02",40.5
"2023-09-09",54.4
"2023-09-16",56.2
"2023-09-23",47.1
"2023-09-30",-12
"2023-10-07",21.8
"2023-10-14",38.4
"2023-10-21",38
"2023-10-28",37.9
"2023-11-04",36.7
"2023-11-11",32.2
"2023-11-18",66.8
"2023-11-25",31.6
"2023-12-02",43.2
"2023-12-09",49.8
"2023-12-16",48.5
"2023-12-23",34.2
"2023-12-30",-37.7
"2024-01-06",-38.4
"2024-01-13",-20.9
"2024-01-20",-33.5
"2024-01-27",-21.2
"2024-02-03",-25.9
"2024-02-10",-41.3
"2024-02-17",-35.9
"2024-02-24",-35.9
"2024-03-02",-6.3
"2024-03-09",16.2
"2024-03-16",-18.4
"2024-03-23",-4
"2024-03-30",-26.1
"2024-04-06",-19.8
"2024-04-13",-14.3
"2024-04-20",25
"2024-04-27",10.5
"2024-05-04",3.9
"2024-05-11",25
"2024-05-18",30
"2024-05-25",20.6
"2024-06-01",19
"2024-06-08",-6.1
"2024-06-15",-20.6
"2024-06-22",-23.7
"2024-06-29",-21.6
"2024-07-06",-7.7
"2024-07-13",-13.8
"2024-07-20",-16.2
"2024-07-27",-30.7
"2024-08-03",-22.5
"2024-08-10",-23.5
"2024-08-17",-10.2
"2024-08-24",13
"2024-08-31",-1.1
"2024-09-07",-51.1
"2024-09-14",-26.9
"2024-09-21",-73.2
"2024-09-28",-48.8
"2024-10-05",-49.7
"2024-10-12",-47.8
"2024-10-19",-51.8
"2024-10-26",-54.1
"2024-11-02",-48.1
"2024-11-09",-64.9
"2024-11-16",-55.7
"2024-11-23",-63
"2024-11-30",-46.8
"2024-12-07",-46.4
"2024-12-14",-39.8
"2024-12-21",-55.6
"2024-12-28",-72.1
"2025-01-04",-86.4
"2025-01-11",-81.6
"2025-01-18",-73.7
"2025-01-25",-72.5
"2025-02-01",-91.9
"2025-02-08",-59.6
"2025-02-15",-60.6
"2025-02-22",-65.9
"2025-03-01",-64.7
"2025-03-08",-72.4
"2025-03-15",-68.5
"2025-03-22",-70.3
"2025-03-29",-70.6
"2025-04-05",-66.9
"2025-04-12",-60.7
"2025-04-19",-63.8
"2025-04-26",-69.9
"2025-05-03",-77
"2025-05-10",-75.8
"2025-05-17",-50
"2025-05-24",-63
"2025-05-31",-66.4
"2025-06-07",-71.6
