"Date","전체"
"2020-01-11",27.4
"2020-01-18",7.4
"2020-01-25",-34.8
"2020-02-01",-9.5
"2020-02-08",9.5
"2020-02-15",0.5
"2020-02-22",-8.2
"2020-02-29",-9.9
"2020-03-07",-4.9
"2020-03-14",2.2
"2020-03-21",2.5
"2020-03-28",15.8
"2020-04-04",9.2
"2020-04-11",3.6
"2020-04-18",-4.8
"2020-04-25",-5.5
"2020-05-02",-37.7
"2020-05-09",-20.4
"2020-05-16",4.2
"2020-05-23",27.9
"2020-05-30",15.8
"2020-06-06",26.9
"2020-06-13",37.8
"2020-06-20",21.9
"2020-06-27",29.4
"2020-07-04",17.1
"2020-07-11",9
"2020-07-18",6
"2020-07-25",9.1
"2020-08-01",15.3
"2020-08-08",2.5
"2020-08-15",25.9
"2020-08-22",13.4
"2020-08-29",34.5
"2020-09-05",24.2
"2020-09-12",18.8
"2020-09-19",-1.3
"2020-09-26",0.7
"2020-10-03",-53.7
"2020-10-10",30.7
"2020-10-17",68
"2020-10-24",111.3
"2020-10-31",70.6
"2020-11-07",37.4
"2020-11-14",35.5
"2020-11-21",38.3
"2020-11-28",87.4
"2020-12-05",43.3
"2020-12-12",15.7
"2020-12-19",5.1
"2020-12-26",-14.9
"2021-01-02",-15.6
"2021-01-09",4.1
"2021-01-16",14.7
"2021-01-23",5.4
"2021-01-30",-12.3
"2021-02-06",2.5
"2021-02-13",-39.2
"2021-02-20",-7.9
"2021-02-27",-8.2
"2021-03-06",-9.8
"2021-03-13",4.2
"2021-03-20",0.7
"2021-03-27",31
"2021-04-03",26.9
"2021-04-10",30.7
"2021-04-17",36.1
"2021-04-24",29.6
"2021-05-01",12.9
"2021-05-08",-14.3
"2021-05-15",7.7
"2021-05-22",0.6
"2021-05-29",40.4
"2021-06-05",7
"2021-06-12",-0.8
"2021-06-19",10.4
"2021-06-26",23.5
"2021-07-03",24.1
"2021-07-10",29.9
"2021-07-17",33.3
"2021-07-24",24.7
"2021-07-31",34.8
"2021-08-07",35.1
"2021-08-14",25.8
"2021-08-21",15.9
"2021-08-28",40.3
"2021-09-04",51.8
"2021-09-11",39.4
"2021-09-18",23.5
"2021-09-25",-8.7
"2021-10-02",39.4
"2021-10-09",12.5
"2021-10-16",23.8
"2021-10-23",35
"2021-10-30",27.1
"2021-11-06",50.8
"2021-11-13",51.8
"2021-11-20",32.3
"2021-11-27",46.9
"2021-12-04",39.2
"2021-12-11",53.4
"2021-12-18",29.9
"2021-12-25",37.6
"2022-01-01",23.1
"2022-01-08",70.4
"2022-01-15",57.9
"2022-01-22",57
"2022-01-29",51.8
"2022-02-05",-21.3
"2022-02-12",57.7
"2022-02-19",54.5
"2022-02-26",50.6
"2022-03-05",38.7
"2022-03-12",39.5
"2022-03-19",76.2
"2022-03-26",46
"2022-04-02",54.4
"2022-04-09",54.5
"2022-04-16",42.9
"2022-04-23",73.3
"2022-04-30",69.9
"2022-05-07",48
"2022-05-14",71.5
"2022-05-21",106.1
"2022-05-28",64.8
"2022-06-04",73.5
"2022-06-11",67.6
"2022-06-18",77.9
"2022-06-25",52.5
"2022-07-02",59.7
"2022-07-09",74.6
"2022-07-16",85.5
"2022-07-23",55
"2022-07-30",54.1
"2022-08-06",46.3
"2022-08-13",50.8
"2022-08-20",36.6
"2022-08-27",49.6
"2022-09-03",50.8
"2022-09-10",17.8
"2022-09-17",33.7
"2022-09-24",66.6
"2022-10-01",30.4
"2022-10-08",14.9
"2022-10-15",26
"2022-10-22",26.6
"2022-10-29",29.6
"2022-11-05",27.8
"2022-11-12",16.6
"2022-11-19",12.2
"2022-11-26",-0.3
"2022-12-03",16
"2022-12-10",-3.5
"2022-12-17",-5.3
"2022-12-24",-4.6
"2022-12-31",-10.7
"2023-01-07",8.7
"2023-01-14",-5.9
"2023-01-21",-22.4
"2023-01-28",-33.9
"2023-02-04",-7.4
"2023-02-11",-13.1
"2023-02-18",-14.8
"2023-02-25",-20.3
"2023-03-04",-24.7
"2023-03-11",-5
"2023-03-18",5.1
"2023-03-25",9.1
"2023-04-01",14.6
"2023-04-08",12.6
