"Date","전체"
"2020-01-11",19.4
"2020-01-18",9.8
"2020-01-25",-29.1
"2020-02-01",-23.2
"2020-02-08",-7.3
"2020-02-15",-9.2
"2020-02-22",-14.6
"2020-02-29",-22.7
"2020-03-07",-18.2
"2020-03-14",-11.2
"2020-03-21",-5.8
"2020-03-28",-5.3
"2020-04-04",-4.1
"2020-04-11",-4.4
"2020-04-18",-20.6
"2020-04-25",-16.8
"2020-05-02",-39.3
"2020-05-09",-20.1
"2020-05-16",0.1
"2020-05-23",11.7
"2020-05-30",6
"2020-06-06",-3.1
"2020-06-13",-0.8
"2020-06-20",-10
"2020-06-27",2.5
"2020-07-04",2.6
"2020-07-11",-4.6
"2020-07-18",-8.3
"2020-07-25",4.4
"2020-08-01",24.6
"2020-08-08",17.1
"2020-08-15",33.4
"2020-08-22",2.4
"2020-08-29",20.3
"2020-09-05",27.1
"2020-09-12",21.3
"2020-09-19",11.9
"2020-09-26",5.6
"2020-10-03",-51.9
"2020-10-10",17.2
"2020-10-17",17.8
"2020-10-24",23
"2020-10-31",26
"2020-11-07",21.4
"2020-11-14",28.1
"2020-11-21",24.2
"2020-11-28",32.6
"2020-12-05",16.5
"2020-12-12",-4.7
"2020-12-19",-3
"2020-12-26",-22.3
"2021-01-02",-24.2
"2021-01-09",11.1
"2021-01-16",24.6
"2021-01-23",16.3
"2021-01-30",7.3
"2021-02-06",9.1
"2021-02-13",-25.2
"2021-02-20",10.5
"2021-02-27",0
"2021-03-06",-7.4
"2021-03-13",26.2
"2021-03-20",38.1
"2021-03-27",55.4
"2021-04-03",35.2
"2021-04-10",17.5
"2021-04-17",30.6
"2021-04-24",11.9
"2021-05-01",11.4
"2021-05-08",-5.9
"2021-05-15",4.2
"2021-05-22",0.2
"2021-05-29",35.2
"2021-06-05",16.3
"2021-06-12",10.4
"2021-06-19",31.4
"2021-06-26",33.7
"2021-07-03",27.2
"2021-07-10",39.3
"2021-07-17",49.8
"2021-07-24",39
"2021-07-31",46.9
"2021-08-07",56
"2021-08-14",40.3
"2021-08-21",23.7
"2021-08-28",65.9
"2021-09-04",68
"2021-09-11",49.7
"2021-09-18",22.6
"2021-09-25",-14.7
"2021-10-02",37.2
"2021-10-09",31
"2021-10-16",31.2
"2021-10-23",52.5
"2021-10-30",35.9
"2021-11-06",40.8
"2021-11-13",33
"2021-11-20",28.2
"2021-11-27",45.4
"2021-12-04",55
"2021-12-11",53.7
"2021-12-18",50
"2021-12-25",44.7
"2022-01-01",37.1
"2022-01-08",78.9
"2022-01-15",74.9
"2022-01-22",62.6
"2022-01-29",41.8
"2022-02-05",-18.6
"2022-02-12",57.8
"2022-02-19",102.1
"2022-02-26",100.3
"2022-03-05",42.6
"2022-03-12",42.2
"2022-03-19",70.6
"2022-03-26",48.7
"2022-04-02",55.5
"2022-04-09",60.1
"2022-04-16",79.4
"2022-04-23",65.5
"2022-04-30",52.3
"2022-05-07",27.8
"2022-05-14",61.2
"2022-05-21",58.6
"2022-05-28",63.6
"2022-06-04",65.3
"2022-06-11",58.5
"2022-06-18",57.5
"2022-06-25",58.9
"2022-07-02",67.5
"2022-07-09",85.5
"2022-07-16",71.8
"2022-07-23",50.4
"2022-07-30",45.4
"2022-08-06",36
"2022-08-13",58.6
"2022-08-20",34.1
"2022-08-27",65.1
"2022-09-03",61.4
"2022-09-10",30.5
"2022-09-17",40
"2022-09-24",81.1
"2022-10-01",52.2
"2022-10-08",45.6
"2022-10-15",49
"2022-10-22",53.9
"2022-10-29",55.5
"2022-11-05",59.7
"2022-11-12",47.2
"2022-11-19",29.8
"2022-11-26",43.7
"2022-12-03",35.8
"2022-12-10",26.5
"2022-12-17",25
"2022-12-24",13.8
"2022-12-31",0.6
"2023-01-07",37.8
"2023-01-14",11.1
"2023-01-21",-1.2
"2023-01-28",-23.2
"2023-02-04",17.1
"2023-02-11",28.9
"2023-02-18",3.4
"2023-02-25",0.3
"2023-03-04",-4.1
"2023-03-11",8.7
"2023-03-18",18.1
"2023-03-25",27.7
"2023-04-01",27.5
"2023-04-08",29.5
"2023-04-15",35.7
"2023-04-22",58.1
"2023-04-29",45.6
"2023-05-06",-5
"2023-05-13",51
"2023-05-20",57.7
"2023-05-27",29.5
"2023-06-03",37.1
"2023-06-10",2.5
"2023-06-17",49.3
"2023-06-24",36.1
"2023-07-01",56.8
"2023-07-08",35.5
"2023-07-15",23.8
"2023-07-22",37.9
"2023-07-29",16.5
"2023-08-05",13.6
"2023-08-12",30.2
"2023-08-19",41.3
"2023-08-26",68.6
"2023-09-02",36
"2023-09-09",52.3
"2023-09-16",58.6
"2023-09-23",46.4
"2023-09-30",-17.8
"2023-10-07",21.6
"2023-10-14",46
"2023-10-21",33.8
"2023-10-28",29.2
"2023-11-04",34.8
"2023-11-11",26.2
"2023-11-18",62.3
"2023-11-25",36.6
"2023-12-02",64.3
"2023-12-09",62.6
"2023-12-16",63
"2023-12-23",26.9
"2023-12-30",-31.5
"2024-01-06",-25.1
"2024-01-13",-2.7
"2024-01-20",-23.7
"2024-01-27",-12.3
"2024-02-03",-18
"2024-02-10",-42.3
"2024-02-17",-26.9
"2024-02-24",-17.9
"2024-03-02",-13.5
"2024-03-09",9.5
"2024-03-16",-5.1
"2024-03-23",-4.7
"2024-03-30",-15.9
"2024-04-06",-16.7
"2024-04-13",-15.6
"2024-04-20",8.8
"2024-04-27",16.7
"2024-05-04",-4.9
"2024-05-11",14.6
"2024-05-18",10.9
"2024-05-25",2.1
"2024-06-01",6.1
"2024-06-08",-12.3
"2024-06-15",-7.8
"2024-06-22",-9.5
"2024-06-29",-2.6
"2024-07-06",-3
"2024-07-13",-11
"2024-07-20",2.6
"2024-07-27",-10.5
"2024-08-03",-24
"2024-08-10",-13.4
"2024-08-17",-11.7
"2024-08-24",14.1
"2024-08-31",1.6
"2024-09-07",-54.8
"2024-09-14",-54
"2024-09-21",-67.6
"2024-09-28",-52.1
"2024-10-05",-57.7
"2024-10-12",-52.9
"2024-10-19",-64.8
"2024-10-26",-54.9
"2024-11-02",-58.6
"2024-11-09",-61.9
"2024-11-16",-65.4
"2024-11-23",-64.9
"2024-11-30",-59.7
"2024-12-07",-59.7
"2024-12-14",-56.3
"2024-12-21",-50.9
"2024-12-28",-73.8
"2025-01-04",-87.1
"2025-01-11",-86
"2025-01-18",-70.6
"2025-01-25",-71.1
"2025-02-01",-91.6
"2025-02-08",-61.6
"2025-02-15",-63.4
"2025-02-22",-67.7
"2025-03-01",-67
"2025-03-08",-73.3
"2025-03-15",-67.6
"2025-03-22",-69.1
"2025-03-29",-68
"2025-04-05",-63.7
"2025-04-12",-59.8
"2025-04-19",-67
"2025-04-26",-64.9
"2025-05-03",-81.1
"2025-05-10",-76.2
"2025-05-17",-62
"2025-05-24",-66.8
"2025-05-31",-62.3
"2025-06-07",-73.2
