"Date","전체"
"2020-01-11",2.8
"2020-01-18",8.9
"2020-01-25",-11.7
"2020-02-01",-2.7
"2020-02-08",-10.1
"2020-02-15",-8.9
"2020-02-22",-2.7
"2020-02-29",-20.1
"2020-03-07",-28.2
"2020-03-14",-42.8
"2020-03-21",-53
"2020-03-28",-59.1
"2020-04-04",-55.1
"2020-04-11",-53.6
"2020-04-18",-59.9
"2020-04-25",-57.7
"2020-05-02",-67.9
"2020-05-09",-65.2
"2020-05-16",-60.6
"2020-05-23",-58.4
"2020-05-30",-59
"2020-06-06",-56.9
"2020-06-13",-57
"2020-06-20",-58.4
"2020-06-27",-57.8
"2020-07-04",-59.6
"2020-07-11",-62.7
"2020-07-18",-61.1
"2020-07-25",-57.8
"2020-08-01",-58.9
"2020-08-08",-59.6
"2020-08-15",-60.9
"2020-08-22",-64.7
"2020-08-29",-58
"2020-09-05",-57.5
"2020-09-12",-55.5
"2020-09-19",-58.7
"2020-09-26",-57
"2020-10-03",-77.3
"2020-10-10",-57.5
"2020-10-17",-49.4
"2020-10-24",-50.2
"2020-10-31",-49.7
"2020-11-07",-52.2
"2020-11-14",-52.7
"2020-11-21",-55.8
"2020-11-28",-50.9
"2020-12-05",-48.6
"2020-12-12",-56.6
"2020-12-19",-56.2
"2020-12-26",-66.2
"2021-01-02",-71.5
"2021-01-09",-59.3
"2021-01-16",-60.6
"2021-01-23",-59.3
"2021-01-30",-53.6
"2021-02-06",-44.5
"2021-02-13",-59.7
"2021-02-20",-32.1
"2021-02-27",-33.9
"2021-03-06",-50.4
"2021-03-13",-43.4
"2021-03-20",-41.8
"2021-03-27",-46.4
"2021-04-03",-52.4
"2021-04-10",-42.5
"2021-04-17",-38.2
"2021-04-24",-46.2
"2021-05-01",-45.4
"2021-05-08",-49.9
"2021-05-15",-43.9
"2021-05-22",-47.6
"2021-05-29",-43.6
"2021-06-05",-41.1
"2021-06-12",-41.4
"2021-06-19",-39.5
"2021-06-26",-37.4
"2021-07-03",-38.8
"2021-07-10",-43.5
"2021-07-17",-40.6
"2021-07-24",-41.1
"2021-07-31",-25.5
"2021-08-07",-30.8
"2021-08-14",-43
"2021-08-21",-55.1
"2021-08-28",-51.4
"2021-09-04",-46.3
"2021-09-11",-49.6
"2021-09-18",-50.6
"2021-09-25",-69.9
"2021-10-02",-48.8
"2021-10-09",-59.3
"2021-10-16",-48.2
"2021-10-23",-26.6
"2021-10-30",-12.5
"2021-11-06",-7.6
"2021-11-13",-15.7
"2021-11-20",-19.6
"2021-11-27",-16.2
"2021-12-04",-16.7
"2021-12-11",-17.5
"2021-12-18",-20.9
"2021-12-25",-24
"2022-01-01",-26.7
"2022-01-08",-4.8
"2022-01-15",-21.9
"2022-01-22",-23.9
"2022-01-29",-25.3
"2022-02-05",-46.5
"2022-02-12",-16.2
"2022-02-19",-17.1
"2022-02-26",-17.7
"2022-03-05",-23.2
"2022-03-12",5.8
"2022-03-19",-12.9
"2022-03-26",-21.4
"2022-04-02",-21.6
"2022-04-09",1
"2022-04-16",-2.7
"2022-04-23",-6.4
"2022-04-30",-8.9
"2022-05-07",-14.7
"2022-05-14",-16.5
"2022-05-21",-6
"2022-05-28",2
"2022-06-04",-5.3
"2022-06-11",-1.8
"2022-06-18",2
"2022-06-25",-10
"2022-07-02",-6.6
"2022-07-09",12.3
"2022-07-16",-1.6
"2022-07-23",-14.1
"2022-07-30",-18
"2022-08-06",-20.1
"2022-08-13",-13.6
"2022-08-20",-20.1
"2022-08-27",-22.1
"2022-09-03",-12.7
"2022-09-10",-17.7
"2022-09-17",-17.5
"2022-09-24",-2.3
"2022-10-01",-14.8
"2022-10-08",-20.8
"2022-10-15",-27
"2022-10-22",-27.9
"2022-10-29",-19
"2022-11-05",-31.6
"2022-11-12",-32.7
"2022-11-19",-34.9
"2022-11-26",-40.2
"2022-12-03",-45.9
"2022-12-10",-48.4
"2022-12-17",-50.1
"2022-12-24",-54.9
"2022-12-31",-56.6
"2023-01-07",-48.2
"2023-01-14",-55
"2023-01-21",-55.9
"2023-01-28",-67.6
"2023-02-04",-55.4
"2023-02-11",-57.6
"2023-02-18",-56.3
"2023-02-25",-58.9
"2023-03-04",-63.1
"2023-03-11",-58.4
"2023-03-18",-62.5
"2023-03-25",-43.6
"2023-04-01",-48
"2023-04-08",-51.4
"2023-04-15",-49.9
"2023-04-22",-39.4
"2023-04-29",-42
"2023-05-06",-64.4
"2023-05-13",-41.2
"2023-05-20",-48.3
"2023-05-27",-52.2
"2023-06-03",-53.6
"2023-06-10",-61.9
"2023-06-17",-47.2
"2023-06-24",-39.4
"2023-07-01",-42.5
"2023-07-08",-47.2
"2023-07-15",-51.9
"2023-07-22",-44.3
"2023-07-29",-56.8
"2023-08-05",-52.9
"2023-08-12",-51.5
"2023-08-19",-44.3
"2023-08-26",-39
"2023-09-02",-49.1
"2023-09-09",-36.3
"2023-09-16",-42.1
"2023-09-23",-48.8
"2023-09-30",-72.4
"2023-10-07",-58.1
"2023-10-14",-51.9
"2023-10-21",-50.3
"2023-10-28",-51.8
"2023-11-04",-51.6
"2023-11-11",-53.6
"2023-11-18",-49.6
"2023-11-25",-49.2
"2023-12-02",-49.9
"2023-12-09",-48.3
"2023-12-16",-50.6
"2023-12-23",-57
"2023-12-30",-74.8
"2024-01-06",-73.5
"2024-01-13",-65.3
"2024-01-20",-72
"2024-01-27",-66.9
"2024-02-03",-67
"2024-02-10",-74.6
"2024-02-17",-73.5
"2024-02-24",-71.5
"2024-03-02",-70
"2024-03-09",-62.4
"2024-03-16",-69.2
"2024-03-23",-66
"2024-03-30",-69.8
"2024-04-06",-68
"2024-04-13",-68.6
"2024-04-20",-62.2
"2024-04-27",-63.9
"2024-05-04",-66.2
"2024-05-11",-62
"2024-05-18",-65.4
"2024-05-25",-64.5
"2024-06-01",-64.2
"2024-06-08",-69.7
"2024-06-15",-65.9
"2024-06-22",-64
"2024-06-29",-67.2
"2024-07-06",-63.1
"2024-07-13",-63
"2024-07-20",-62.7
"2024-07-27",-66.7
"2024-08-03",-64.2
"2024-08-10",-61
"2024-08-17",-65.4
"2024-08-24",-56.3
"2024-08-31",-59.4
"2024-09-07",-77.2
"2024-09-14",-64.9
"2024-09-21",-83.2
"2024-09-28",-67.6
"2024-10-05",-73.6
"2024-10-12",-72.4
"2024-10-19",-74.6
"2024-10-26",-74.6
"2024-11-02",-73.9
"2024-11-09",-77.6
"2024-11-16",-77.5
"2024-11-23",-79.9
"2024-11-30",-75.1
"2024-12-07",-75.2
"2024-12-14",-74.7
"2024-12-21",-74.4
"2024-12-28",-81.2
"2025-01-04",-92.8
"2025-01-11",-89.5
"2025-01-18",-81.7
"2025-01-25",-79.1
"2025-02-01",-93.7
"2025-02-08",-79.1
"2025-02-15",-79.7
"2025-02-22",-80.7
"2025-03-01",-81.4
"2025-03-08",-82.7
"2025-03-15",-80.5
"2025-03-22",-80.4
"2025-03-29",-81.8
"2025-04-05",-80.3
"2025-04-12",-77.7
"2025-04-19",-81.4
"2025-04-26",-78.9
"2025-05-03",-88.2
"2025-05-10",-84.1
"2025-05-17",-73.8
"2025-05-24",-80.3
"2025-05-31",-80.6
"2025-06-07",-85.6
