"Date","전체"
"2020-01-11",-5.5
"2020-01-18",8.1
"2020-01-25",-2.6
"2020-02-01",0.4
"2020-02-08",4.5
"2020-02-15",6.3
"2020-02-22",23.2
"2020-02-29",-0.1
"2020-03-07",6.1
"2020-03-14",10.5
"2020-03-21",-8.3
"2020-03-28",-19.2
"2020-04-04",-14.3
"2020-04-11",5.4
"2020-04-18",9.3
"2020-04-25",-10.7
"2020-05-02",-17
"2020-05-09",-6.7
"2020-05-16",-0.8
"2020-05-23",2.7
"2020-05-30",10.3
"2020-06-06",-7
"2020-06-13",-0.8
"2020-06-20",-10.9
"2020-06-27",-12.1
"2020-07-04",-6.4
"2020-07-11",-11.3
"2020-07-18",-8.2
"2020-07-25",-0.9
"2020-08-01",-3.8
"2020-08-08",-12.8
"2020-08-15",-10.2
"2020-08-22",-20.9
"2020-08-29",-7.1
"2020-09-05",-18
"2020-09-12",-16.4
"2020-09-19",-8.8
"2020-09-26",-10.4
"2020-10-03",-42.8
"2020-10-10",-11.8
"2020-10-17",42.5
"2020-10-24",33.7
"2020-10-31",54.2
"2020-11-07",54.1
"2020-11-14",37
"2020-11-21",30.6
"2020-11-28",65.3
"2020-12-05",40.8
"2020-12-12",39
"2020-12-19",41.4
"2020-12-26",0.7
"2021-01-02",-28.2
"2021-01-09",-13.8
"2021-01-16",-13.9
"2021-01-23",0.4
"2021-01-30",14.4
"2021-02-06",15
"2021-02-13",-22.5
"2021-02-20",25.5
"2021-02-27",9.1
"2021-03-06",-11.1
"2021-03-13",-4.4
"2021-03-20",9
"2021-03-27",8.3
"2021-04-03",19.5
"2021-04-10",13.6
"2021-04-17",26
"2021-04-24",21.5
"2021-05-01",13.8
"2021-05-08",20.4
"2021-05-15",29.8
"2021-05-22",21.3
"2021-05-29",15.8
"2021-06-05",20.2
"2021-06-12",27.5
"2021-06-19",44.2
"2021-06-26",48.5
"2021-07-03",24.6
"2021-07-10",14
"2021-07-17",11.4
"2021-07-24",24.8
"2021-07-31",45.6
"2021-08-07",40.6
"2021-08-14",105.5
"2021-08-21",119
"2021-08-28",129.1
"2021-09-04",134.7
"2021-09-11",81
"2021-09-18",78.2
"2021-09-25",74.7
"2021-10-02",94
"2021-10-09",70.5
"2021-10-16",89.5
"2021-10-23",108.9
"2021-10-30",178.2
"2021-11-06",170.7
"2021-11-13",124.7
"2021-11-20",112.7
"2021-11-27",138.2
"2021-12-04",137.3
"2021-12-11",128
"2021-12-18",108.7
"2021-12-25",102.3
"2022-01-01",95.4
"2022-01-08",131.4
"2022-01-15",92.9
"2022-01-22",69.3
"2022-01-29",90.4
"2022-02-05",16.2
"2022-02-12",96
"2022-02-19",94
"2022-02-26",88.7
"2022-03-05",90.7
"2022-03-12",212.3
"2022-03-19",134.1
"2022-03-26",146.8
"2022-04-02",132.5
"2022-04-09",183.5
"2022-04-16",176.9
"2022-04-23",173.7
"2022-04-30",169.2
"2022-05-07",167
"2022-05-14",145.1
"2022-05-21",180.4
"2022-05-28",179.8
"2022-06-04",135.9
"2022-06-11",123.8
"2022-06-18",142.9
"2022-06-25",100.6
"2022-07-02",82.7
"2022-07-09",117.1
"2022-07-16",72.6
"2022-07-23",48.9
"2022-07-30",45.9
"2022-08-06",41.6
"2022-08-13",53.2
"2022-08-20",40.1
"2022-08-27",46.7
"2022-09-03",52
"2022-09-10",29.9
"2022-09-17",38.2
"2022-09-24",86.2
"2022-10-01",62.7
"2022-10-08",34.6
"2022-10-15",47.6
"2022-10-22",57.2
"2022-10-29",58.6
"2022-11-05",38.9
"2022-11-12",18.6
"2022-11-19",-1.8
"2022-11-26",-10.5
"2022-12-03",-7.7
"2022-12-10",-1.7
"2022-12-17",11.7
"2022-12-24",18.3
"2022-12-31",-3
"2023-01-07",-0.9
"2023-01-14",2.9
"2023-01-21",1.3
"2023-01-28",-20.5
"2023-02-04",24.7
"2023-02-11",11
"2023-02-18",11.2
"2023-02-25",6.7
"2023-03-04",-13.3
"2023-03-11",5.1
"2023-03-18",7.2
"2023-03-25",85.7
"2023-04-01",62.7
"2023-04-08",32.8
"2023-04-15",51.3
"2023-04-22",71.7
"2023-04-29",69.1
"2023-05-06",6.5
"2023-05-13",65.8
"2023-05-20",56.9
"2023-05-27",61.6
"2023-06-03",54.1
"2023-06-10",7.1
"2023-06-17",71.4
"2023-06-24",56.1
"2023-07-01",57.3
"2023-07-08",59.4
"2023-07-15",38.4
"2023-07-22",69.2
"2023-07-29",25
"2023-08-05",33.7
"2023-08-12",18
"2023-08-19",28.8
"2023-08-26",59.6
"2023-09-02",61.9
"2023-09-09",78.9
"2023-09-16",52.5
"2023-09-23",37
"2023-09-30",-24.2
"2023-10-07",3.3
"2023-10-14",37.6
"2023-10-21",13.9
"2023-10-28",19
"2023-11-04",5
"2023-11-11",-4.2
"2023-11-18",12.6
"2023-11-25",20.9
"2023-12-02",26.8
"2023-12-09",35.7
"2023-12-16",28.3
"2023-12-23",7.4
"2023-12-30",-47.6
"2024-01-06",-60.5
"2024-01-13",-28.7
"2024-01-20",-53
"2024-01-27",-38.3
"2024-02-03",-38.7
"2024-02-10",-57.1
"2024-02-17",-52.2
"2024-02-24",-38.5
"2024-03-02",-32.8
"2024-03-09",-26.2
"2024-03-16",-35.6
"2024-03-23",-29.3
"2024-03-30",-34.8
"2024-04-06",-34.1
"2024-04-13",-32.3
"2024-04-20",-19.7
"2024-04-27",-19.3
"2024-05-04",-36.1
"2024-05-11",-36.7
"2024-05-18",-23.9
"2024-05-25",-23.1
"2024-06-01",-20.7
"2024-06-08",-37
"2024-06-15",-41.7
"2024-06-22",-45.5
"2024-06-29",-43
"2024-07-06",-42.5
"2024-07-13",-41.9
"2024-07-20",-39
"2024-07-27",-44.6
"2024-08-03",-54.4
"2024-08-10",-29.4
"2024-08-17",-42.9
"2024-08-24",-48.4
"2024-08-31",-36.4
"2024-09-07",-66.5
"2024-09-14",-47.7
"2024-09-21",-79.3
"2024-09-28",-55.8
"2024-10-05",-57.8
"2024-10-12",-60.6
"2024-10-19",-64.7
"2024-10-26",-49.9
"2024-11-02",-51.1
"2024-11-09",-60
"2024-11-16",-58.9
"2024-11-23",-64.2
"2024-11-30",-49
"2024-12-07",-48.9
"2024-12-14",-60.8
"2024-12-21",-37.4
"2024-12-28",-60.1
"2025-01-04",-79.8
"2025-01-11",-78.9
"2025-01-18",-74.4
"2025-01-25",-76.1
"2025-02-01",-89.5
"2025-02-08",-66.9
"2025-02-15",-73.1
"2025-02-22",-69
"2025-03-01",-65.9
"2025-03-08",-74.6
"2025-03-15",-72.8
"2025-03-22",-68.9
"2025-03-29",-73.1
"2025-04-05",-68.3
"2025-04-12",-69.5
"2025-04-19",-73.2
"2025-04-26",-67.2
"2025-05-03",-81.2
"2025-05-10",-80
"2025-05-17",-67.4
"2025-05-24",-73.5
"2025-05-31",-78.6
"2025-06-07",-76.8
