"Date","전체"
"2020-01-11",0.4
"2020-01-18",4.6
"2020-01-25",-5
"2020-02-01",-3.7
"2020-02-08",-15.5
"2020-02-15",-14.9
"2020-02-22",-18.3
"2020-02-29",-34.2
"2020-03-07",-41.8
"2020-03-14",-54.1
"2020-03-21",-52.7
"2020-03-28",-53.2
"2020-04-04",-54.4
"2020-04-11",-58.7
"2020-04-18",-59.5
"2020-04-25",-56.1
"2020-05-02",-64.3
"2020-05-09",-60.5
"2020-05-16",-50.8
"2020-05-23",-53.1
"2020-05-30",-52.4
"2020-06-06",-52.7
"2020-06-13",-51.7
"2020-06-20",-51.4
"2020-06-27",-56.9
"2020-07-04",-54.2
"2020-07-11",-56.2
"2020-07-18",-55.1
"2020-07-25",-51.6
"2020-08-01",-51.3
"2020-08-08",-41.8
"2020-08-15",-40.3
"2020-08-22",-51.3
"2020-08-29",-46.3
"2020-09-05",-50
"2020-09-12",-49.3
"2020-09-19",-47.6
"2020-09-26",-51.6
"2020-10-03",-73.8
"2020-10-10",-56.6
"2020-10-17",-46.8
"2020-10-24",-45.5
"2020-10-31",-51.9
"2020-11-07",-55.9
"2020-11-14",-58.9
"2020-11-21",-59.2
"2020-11-28",-56.2
"2020-12-05",-61.7
"2020-12-12",-55.6
"2020-12-19",-59.7
"2020-12-26",-65.7
"2021-01-02",-67.5
"2021-01-09",-59.3
"2021-01-16",-57.6
"2021-01-23",-51.9
"2021-01-30",-51.3
"2021-02-06",-14.1
"2021-02-13",-35.2
"2021-02-20",-5.3
"2021-02-27",-8.1
"2021-03-06",-24.7
"2021-03-13",-19.9
"2021-03-20",-24.4
"2021-03-27",-18.3
"2021-04-03",-13
"2021-04-10",-7.4
"2021-04-17",-11.8
"2021-04-24",-26.6
"2021-05-01",-25
"2021-05-08",-31.9
"2021-05-15",-24.4
"2021-05-22",-26.1
"2021-05-29",-24.3
"2021-06-05",-28.5
"2021-06-12",-27.1
"2021-06-19",-24.1
"2021-06-26",-12.1
"2021-07-03",-18.5
"2021-07-10",-22.5
"2021-07-17",-28.4
"2021-07-24",-23.1
"2021-07-31",32.7
"2021-08-07",40.4
"2021-08-14",1
"2021-08-21",-32.4
"2021-08-28",-38.9
"2021-09-04",-43.8
"2021-09-11",-43.7
"2021-09-18",-46.2
"2021-09-25",-70.9
"2021-10-02",-42.3
"2021-10-09",-50.8
"2021-10-16",-50.2
"2021-10-23",-24.7
"2021-10-30",-34.1
"2021-11-06",-47.7
"2021-11-13",-48.9
"2021-11-20",-46
"2021-11-27",-44.5
"2021-12-04",-44
"2021-12-11",-46.5
"2021-12-18",-49.1
"2021-12-25",-35.9
"2022-01-01",-40.2
"2022-01-08",-45.9
"2022-01-15",-49.4
"2022-01-22",-46.8
"2022-01-29",-51.8
"2022-02-05",-72.1
"2022-02-12",-48.1
"2022-02-19",-27
"2022-02-26",-11
"2022-03-05",-43.3
"2022-03-12",-45.9
"2022-03-19",-34.6
"2022-03-26",-41.8
"2022-04-02",-45.9
"2022-04-09",-42.5
"2022-04-16",-45.7
"2022-04-23",-40.4
"2022-04-30",-41.8
"2022-05-07",-50.8
"2022-05-14",-40.5
"2022-05-21",-39.9
"2022-05-28",-33.5
"2022-06-04",-42.3
"2022-06-11",-39.4
"2022-06-18",-31.5
"2022-06-25",-34.8
"2022-07-02",-33.4
"2022-07-09",-32
"2022-07-16",-30.5
"2022-07-23",-31.6
"2022-07-30",-33.4
"2022-08-06",-42.7
"2022-08-13",-40.1
"2022-08-20",-44.5
"2022-08-27",-38.7
"2022-09-03",-40.3
"2022-09-10",-49.6
"2022-09-17",-39.8
"2022-09-24",-22.8
"2022-10-01",-37.3
"2022-10-08",-46.6
"2022-10-15",-40.8
"2022-10-22",-34.1
"2022-10-29",-33.4
"2022-11-05",-36
"2022-11-12",-42.5
"2022-11-19",-49.3
"2022-11-26",-52.5
"2022-12-03",-45.4
"2022-12-10",-47
"2022-12-17",-44.3
"2022-12-24",-50.3
"2022-12-31",-47.2
"2023-01-07",-44.7
"2023-01-14",-53.4
"2023-01-21",-52.3
"2023-01-28",-65.6
"2023-02-04",-45
"2023-02-11",-41.9
"2023-02-18",-44.4
"2023-02-25",-52.7
"2023-03-04",-58.1
"2023-03-11",-53.7
"2023-03-18",-48.5
"2023-03-25",-30
"2023-04-01",-28
"2023-04-08",-28.6
"2023-04-15",-22.6
"2023-04-22",-2.7
"2023-04-29",-9.7
"2023-05-06",-47.9
"2023-05-13",-9
"2023-05-20",-5
"2023-05-27",-11.2
"2023-06-03",-13.3
"2023-06-10",-37.4
"2023-06-17",-7.8
"2023-06-24",-9.5
"2023-07-01",-7.8
"2023-07-08",-17.3
"2023-07-15",-21.7
"2023-07-22",-2.3
"2023-07-29",-30.6
"2023-08-05",-36.4
"2023-08-12",-33.3
"2023-08-19",-31.8
