"Date","전체"
"2020-01-11",-1.3
"2020-01-18",9.6
"2020-01-25",-8.3
"2020-02-01",-13.4
"2020-02-08",-0.7
"2020-02-15",12.1
"2020-02-22",10
"2020-02-29",3.8
"2020-03-07",25.5
"2020-03-14",37.7
"2020-03-21",19.4
"2020-03-28",-5.7
"2020-04-04",2.1
"2020-04-11",-12.1
"2020-04-18",-18.6
"2020-04-25",-8
"2020-05-02",-26.1
"2020-05-09",-23.1
"2020-05-16",-2.2
"2020-05-23",-12.9
"2020-05-30",-15.4
"2020-06-06",-4.1
"2020-06-13",-4.3
"2020-06-20",-13.1
"2020-06-27",-11.9
"2020-07-04",-17.3
"2020-07-11",-14.3
"2020-07-18",-15.3
"2020-07-25",-20
"2020-08-01",-17.3
"2020-08-08",-1
"2020-08-15",-22
"2020-08-22",-41
"2020-08-29",-24.6
"2020-09-05",-22
"2020-09-12",0.8
"2020-09-19",-3.9
"2020-09-26",7.4
"2020-10-03",-35.8
"2020-10-10",-13.2
"2020-10-17",6.8
"2020-10-24",13.7
"2020-10-31",1.2
"2020-11-07",16
"2020-11-14",-5.8
"2020-11-21",-16.6
"2020-11-28",18.1
"2020-12-05",14
"2020-12-12",5
"2020-12-19",-9.5
"2020-12-26",-23.8
"2021-01-02",-40.4
"2021-01-09",-23.7
"2021-01-16",-20
"2021-01-23",-17.8
"2021-01-30",-5.5
"2021-02-06",-1.6
"2021-02-13",-31.4
"2021-02-20",15.1
"2021-02-27",13.4
"2021-03-06",-18.8
"2021-03-13",3.6
"2021-03-20",9.2
"2021-03-27",-4.9
"2021-04-03",-1.3
"2021-04-10",4
"2021-04-17",20.7
"2021-04-24",12.9
"2021-05-01",1.3
"2021-05-08",17.1
"2021-05-15",6.7
"2021-05-22",-5.7
"2021-05-29",4.4
"2021-06-05",13.2
"2021-06-12",30.8
"2021-06-19",54.6
"2021-06-26",36.9
"2021-07-03",35.3
"2021-07-10",51.4
"2021-07-17",36.7
"2021-07-24",20.6
"2021-07-31",19.3
"2021-08-07",8.7
"2021-08-14",21.2
"2021-08-21",37.8
"2021-08-28",43.2
"2021-09-04",37.1
"2021-09-11",8.6
"2021-09-18",10.3
"2021-09-25",-16.4
"2021-10-02",20.5
"2021-10-09",-0.8
"2021-10-16",-8.1
"2021-10-23",2.8
"2021-10-30",71.6
"2021-11-06",99.5
"2021-11-13",89.9
"2021-11-20",87.3
"2021-11-27",74.7
"2021-12-04",78.9
"2021-12-11",75.4
"2021-12-18",81.7
"2021-12-25",69.3
"2022-01-01",58.1
"2022-01-08",64.9
"2022-01-15",57.5
"2022-01-22",46.8
"2022-01-29",51.5
"2022-02-05",-7.4
"2022-02-12",61.3
"2022-02-19",43.4
"2022-02-26",22.8
"2022-03-05",10.1
"2022-03-12",35
"2022-03-19",36.7
"2022-03-26",25.1
"2022-04-02",37.4
"2022-04-09",55
"2022-04-16",53.3
"2022-04-23",24.5
"2022-04-30",19.7
"2022-05-07",0.2
"2022-05-14",8.6
"2022-05-21",9.1
"2022-05-28",33
"2022-06-04",10.3
"2022-06-11",11.5
"2022-06-18",24.8
"2022-06-25",18.1
"2022-07-02",2.4
"2022-07-09",19.5
"2022-07-16",21.5
"2022-07-23",25.9
"2022-07-30",20.3
"2022-08-06",13.2
"2022-08-13",30.6
"2022-08-20",8.8
"2022-08-27",9.4
"2022-09-03",8.2
"2022-09-10",6.1
"2022-09-17",5.1
"2022-09-24",27.5
"2022-10-01",9.4
"2022-10-08",-7.2
"2022-10-15",-10.7
"2022-10-22",7.9
"2022-10-29",21.8
"2022-11-05",15.2
"2022-11-12",-2.7
"2022-11-19",-3.7
"2022-11-26",-12.8
"2022-12-03",-17.4
"2022-12-10",-26.3
"2022-12-17",-16
"2022-12-24",-4.2
"2022-12-31",-27.7
"2023-01-07",-28.7
"2023-01-14",-24.6
"2023-01-21",-33.9
"2023-01-28",-55.4
"2023-02-04",-27.7
"2023-02-11",-26.5
"2023-02-18",-30.7
"2023-02-25",-44.5
"2023-03-04",-40.9
"2023-03-11",-36.3
"2023-03-18",-43.9
"2023-03-25",8
"2023-04-01",3.7
"2023-04-08",8.1
"2023-04-15",6.5
"2023-04-22",53
"2023-04-29",69.2
"2023-05-06",-22.9
"2023-05-13",29.8
"2023-05-20",39.3
"2023-05-27",29.5
"2023-06-03",21.2
"2023-06-10",-2.2
"2023-06-17",32.1
"2023-06-24",31
"2023-07-01",10.5
"2023-07-08",3.8
"2023-07-15",-11.9
"2023-07-22",14.7
"2023-07-29",-13.3
"2023-08-05",-5.1
"2023-08-12",9.4
"2023-08-19",27
"2023-08-26",48.3
"2023-09-02",10.1
"2023-09-09",31.6
"2023-09-16",49.4
"2023-09-23",28.6
"2023-09-30",-28.9
"2023-10-07",5.5
"2023-10-14",34.4
"2023-10-21",29.2
"2023-10-28",35.3
"2023-11-04",21.8
"2023-11-11",45.2
"2023-11-18",66.6
"2023-11-25",20.1
"2023-12-02",40.3
