"Date","전체"
"2020-01-11",12.4
"2020-01-18",8.3
"2020-01-25",-20.7
"2020-02-01",-15.3
"2020-02-08",-12.4
"2020-02-15",-13.5
"2020-02-22",-11.3
"2020-02-29",-17
"2020-03-07",-25.9
"2020-03-14",-22.7
"2020-03-21",-26.5
"2020-03-28",-37.8
"2020-04-04",-38.7
"2020-04-11",-44.4
"2020-04-18",-51.1
"2020-04-25",-44.4
"2020-05-02",-53.8
"2020-05-09",-49.4
"2020-05-16",-37.1
"2020-05-23",-38.4
"2020-05-30",-41.7
"2020-06-06",-39.4
"2020-06-13",-33.6
"2020-06-20",-35.8
"2020-06-27",-33.2
"2020-07-04",-39.5
"2020-07-11",-42.3
"2020-07-18",-42.1
"2020-07-25",-42.9
"2020-08-01",-39.1
"2020-08-08",-30.7
"2020-08-15",-38.2
"2020-08-22",-48.9
"2020-08-29",-42.7
"2020-09-05",-37.3
"2020-09-12",-32.6
"2020-09-19",-33
"2020-09-26",-32.9
"2020-10-03",-61.3
"2020-10-10",-37.2
"2020-10-17",-19.3
"2020-10-24",-18
"2020-10-31",-26.8
"2020-11-07",-27.2
"2020-11-14",-34.1
"2020-11-21",-36.6
"2020-11-28",-31.9
"2020-12-05",-35.1
"2020-12-12",-37
"2020-12-19",-34.3
"2020-12-26",-44.6
"2021-01-02",-55.7
"2021-01-09",-40.3
"2021-01-16",-36.1
"2021-01-23",-37.5
"2021-01-30",-35.5
"2021-02-06",-29.7
"2021-02-13",-55.6
"2021-02-20",-31.3
"2021-02-27",-32.4
"2021-03-06",-45.4
"2021-03-13",-30.7
"2021-03-20",-30.9
"2021-03-27",-32.3
"2021-04-03",-24.8
"2021-04-10",-24.8
"2021-04-17",-13.2
"2021-04-24",-16.8
"2021-05-01",-23
"2021-05-08",-24
"2021-05-15",-16.8
"2021-05-22",-25.2
"2021-05-29",-17
"2021-06-05",-10.7
"2021-06-12",-9.1
"2021-06-19",0
"2021-06-26",1.8
"2021-07-03",3.1
"2021-07-10",4.3
"2021-07-17",-5.8
"2021-07-24",-11.7
"2021-07-31",7.8
"2021-08-07",-2.8
"2021-08-14",10.4
"2021-08-21",9.8
"2021-08-28",12
"2021-09-04",8.9
"2021-09-11",-2.6
"2021-09-18",-1.4
"2021-09-25",-31.2
"2021-10-02",4
"2021-10-09",-6.2
"2021-10-16",-8.4
"2021-10-23",4.4
"2021-10-30",8.5
"2021-11-06",13.8
"2021-11-13",12.8
"2021-11-20",16.8
"2021-11-27",9.5
"2021-12-04",9.1
"2021-12-11",5.3
"2021-12-18",6.8
"2021-12-25",-0.1
"2022-01-01",-2.6
"2022-01-08",-0.6
"2022-01-15",-4.5
"2022-01-22",-5.7
"2022-01-29",-14.1
"2022-02-05",-41.1
"2022-02-12",5.3
"2022-02-19",8.9
"2022-02-26",8.5
"2022-03-05",-9
"2022-03-12",5
"2022-03-19",3.1
"2022-03-26",-2.1
"2022-04-02",-2.3
"2022-04-09",16.7
"2022-04-16",13.1
"2022-04-23",2.5
"2022-04-30",-2
"2022-05-07",-10.8
"2022-05-14",-6
"2022-05-21",-4
"2022-05-28",10.1
"2022-06-04",-4.3
"2022-06-11",-2.8
"2022-06-18",8
"2022-06-25",-1
"2022-07-02",1
"2022-07-09",10.9
"2022-07-16",2.3
"2022-07-23",8.3
"2022-07-30",-1.2
"2022-08-06",0.2
"2022-08-13",0.6
"2022-08-20",-3.7
"2022-08-27",-5
"2022-09-03",-7.7
"2022-09-10",-11.6
"2022-09-17",-9.5
"2022-09-24",15.9
"2022-10-01",-6.7
"2022-10-08",-19.3
"2022-10-15",-19.7
"2022-10-22",-7.2
"2022-10-29",-7.7
"2022-11-05",-14.3
"2022-11-12",-19.7
"2022-11-19",-19.1
"2022-11-26",-29.5
"2022-12-03",-29.2
"2022-12-10",-31.7
"2022-12-17",-28.1
"2022-12-24",-26.2
"2022-12-31",-35.4
"2023-01-07",-34.6
"2023-01-14",-33.2
"2023-01-21",-33.4
"2023-01-28",-50.7
"2023-02-04",-35.2
"2023-02-11",-29.3
"2023-02-18",-27.8
"2023-02-25",-38.6
"2023-03-04",-43.7
"2023-03-11",-40
"2023-03-18",-26.6
"2023-03-25",-6.2
"2023-04-01",-15.7
"2023-04-08",-8.8
"2023-04-15",-4.4
"2023-04-22",19
"2023-04-29",18.8
"2023-05-06",-32.9
"2023-05-13",-1.2
"2023-05-20",5.4
"2023-05-27",-2
"2023-06-03",-13.3
"2023-06-10",-30.5
"2023-06-17",-7.4
"2023-06-24",-5.8
"2023-07-01",-9.3
"2023-07-08",-22.9
"2023-07-15",-19.9
"2023-07-22",-7.3
"2023-07-29",-26.8
"2023-08-05",-26.5
"2023-08-12",-21.8
"2023-08-19",-7.1
"2023-08-26",10.1
"2023-09-02",-15.2
"2023-09-09",3.7
"2023-09-16",11
"2023-09-23",-0.8
"2023-09-30",-49.1
"2023-10-07",-22
"2023-10-14",0.5
"2023-10-21",-10.5
"2023-10-28",-18.3
"2023-11-04",-12.4
"2023-11-11",-6.4
"2023-11-18",21.7
"2023-11-25",-3.3
"2023-12-02",1.3
"2023-12-09",2.9
"2023-12-16",5.6
"2023-12-23",-15.5
"2023-12-30",-63.9
"2024-01-06",-64.5
"2024-01-13",-52.7
"2024-01-20",-63.7
"2024-01-27",-53.7
"2024-02-03",-56.1
"2024-02-10",-71.9
"2024-02-17",-65
"2024-02-24",-57.3
"2024-03-02",-54.1
"2024-03-09",-44.4
"2024-03-16",-55.5
"2024-03-23",-49.8
"2024-03-30",-59.7
"2024-04-06",-59.9
"2024-04-13",-56.4
"2024-04-20",-46.2
"2024-04-27",-43.4
"2024-05-04",-54.9
"2024-05-11",-46.5
"2024-05-18",-46
"2024-05-25",-43.7
"2024-06-01",-51.7
"2024-06-08",-56.1
"2024-06-15",-53
"2024-06-22",-51.7
"2024-06-29",-55.2
"2024-07-06",-55.2
"2024-07-13",-60.1
"2024-07-20",-54.8
"2024-07-27",-58.2
"2024-08-03",-50.2
"2024-08-10",-41
"2024-08-17",-44.3
"2024-08-24",-29.5
"2024-08-31",-45
"2024-09-07",-67.2
"2024-09-14",-55.7
"2024-09-21",-78.7
"2024-09-28",-59.5
"2024-10-05",-69.7
"2024-10-12",-69.9
"2024-10-19",-66.7
"2024-10-26",-68.8
"2024-11-02",-66.9
"2024-11-09",-74.2
"2024-11-16",-73.9
"2024-11-23",-77.1
"2024-11-30",-72.2
"2024-12-07",-72.1
"2024-12-14",-66.1
"2024-12-21",-62.5
"2024-12-28",-76.5
"2025-01-04",-89.6
"2025-01-11",-86.1
"2025-01-18",-82.7
"2025-01-25",-80.4
"2025-02-01",-94.3
"2025-02-08",-79.5
"2025-02-15",-81.5
"2025-02-22",-80.5
"2025-03-01",-80.6
"2025-03-08",-81.2
"2025-03-15",-79.6
"2025-03-22",-79
"2025-03-29",-81.6
"2025-04-05",-79.7
"2025-04-12",-80.5
"2025-04-19",-83.1
"2025-04-26",-79.3
"2025-05-03",-88.9
"2025-05-10",-86
"2025-05-17",-74.7
"2025-05-24",-83.2
"2025-05-31",-76.1
"2025-06-07",-85.6
