"Date","전체"
"2020-01-11",12.6
"2020-01-18",3.9
"2020-01-25",-16.5
"2020-02-01",-22.4
"2020-02-08",-23.7
"2020-02-15",-19.2
"2020-02-22",-17.4
"2020-02-29",-22.6
"2020-03-07",-28.6
"2020-03-14",-35.1
"2020-03-21",-44.2
"2020-03-28",-38
"2020-04-04",-36.3
"2020-04-11",-35.3
"2020-04-18",-35.9
"2020-04-25",-37.1
"2020-05-02",-49.7
"2020-05-09",-46.1
"2020-05-16",-21.3
"2020-05-23",-21.8
"2020-05-30",-29.2
"2020-06-06",-30.3
"2020-06-13",-27.8
"2020-06-20",-20.2
"2020-06-27",-36.2
"2020-07-04",-40.9
"2020-07-11",-46.9
"2020-07-18",-46.8
"2020-07-25",-38.4
"2020-08-01",-43.5
"2020-08-08",-28.8
"2020-08-15",-41.7
"2020-08-22",-39.4
"2020-08-29",-12.6
"2020-09-05",-14.4
"2020-09-12",-19.8
"2020-09-19",-25.9
"2020-09-26",-34.3
"2020-10-03",-64.1
"2020-10-10",-36.5
"2020-10-17",11.9
"2020-10-24",4.2
"2020-10-31",16.3
"2020-11-07",5.2
"2020-11-14",1.2
"2020-11-21",-5.9
"2020-11-28",6.2
"2020-12-05",-12.3
"2020-12-12",8.3
"2020-12-19",-6.3
"2020-12-26",-41.1
"2021-01-02",-42.7
"2021-01-09",-29.5
"2021-01-16",-40.8
"2021-01-23",-36.2
"2021-01-30",-50.6
"2021-02-06",-37
"2021-02-13",-61.9
"2021-02-20",-30.6
"2021-02-27",-37.9
"2021-03-06",-52.9
"2021-03-13",-44.9
"2021-03-20",-33.6
"2021-03-27",-44.4
"2021-04-03",-37.6
"2021-04-10",-23
"2021-04-17",-23.9
"2021-04-24",-41.5
"2021-05-01",-29.8
"2021-05-08",-29.6
"2021-05-15",-21.6
"2021-05-22",-38.2
"2021-05-29",-30.3
"2021-06-05",-31
"2021-06-12",-25.3
"2021-06-19",-23
"2021-06-26",-32
"2021-07-03",-46.2
"2021-07-10",-47.3
"2021-07-17",-41.3
"2021-07-24",-42.1
"2021-07-31",-15.3
"2021-08-07",50.5
"2021-08-14",81.7
"2021-08-21",50.4
"2021-08-28",3.9
"2021-09-04",6.9
"2021-09-11",-14.1
"2021-09-18",-28.1
"2021-09-25",-40.4
"2021-10-02",-15.3
"2021-10-09",-26
"2021-10-16",-23.2
"2021-10-23",-3
"2021-10-30",18.5
"2021-11-06",-24.2
"2021-11-13",-30
"2021-11-20",-23.3
"2021-11-27",-31.3
"2021-12-04",-30.4
"2021-12-11",-17.1
"2021-12-18",-39.1
"2021-12-25",-38.1
"2022-01-01",-41.9
"2022-01-08",-31.3
"2022-01-15",-42.5
"2022-01-22",-40.8
"2022-01-29",-40.5
"2022-02-05",-65.3
"2022-02-12",-46.4
"2022-02-19",-48.1
"2022-02-26",-44.8
"2022-03-05",-48.7
"2022-03-12",-26.8
"2022-03-19",-20.8
"2022-03-26",-29.7
"2022-04-02",-42.3
"2022-04-09",-34.2
"2022-04-16",-29.4
"2022-04-23",-26.7
"2022-04-30",-10.8
"2022-05-07",-31.1
"2022-05-14",-39.9
"2022-05-21",-26.7
"2022-05-28",-20.6
"2022-06-04",-31.8
"2022-06-11",-25.1
"2022-06-18",-17.1
"2022-06-25",-22.4
"2022-07-02",-27.5
"2022-07-09",-33.6
"2022-07-16",-19.7
"2022-07-23",-33.5
"2022-07-30",-20.3
"2022-08-06",-18.1
"2022-08-13",-25.1
"2022-08-20",-33.9
"2022-08-27",-30.1
"2022-09-03",-26.1
"2022-09-10",-41.4
"2022-09-17",-43.5
"2022-09-24",-15.7
"2022-10-01",-41.6
"2022-10-08",-57.5
"2022-10-15",-45.8
"2022-10-22",-43.5
"2022-10-29",-40.1
"2022-11-05",-29.8
"2022-11-12",-41.6
"2022-11-19",-41.2
"2022-11-26",-41.4
"2022-12-03",-38.1
"2022-12-10",-33.2
"2022-12-17",-42.3
"2022-12-24",-28.4
"2022-12-31",-40.9
"2023-01-07",-37.4
"2023-01-14",-45.3
"2023-01-21",-47.4
"2023-01-28",-56.5
"2023-02-04",-29.4
"2023-02-11",-26.7
"2023-02-18",-28
"2023-02-25",-46.1
"2023-03-04",-32.1
"2023-03-11",-5.6
"2023-03-18",-18.2
"2023-03-25",-17.2
"2023-04-01",-9
"2023-04-08",-10.2
"2023-04-15",-21.6
"2023-04-22",-26.1
"2023-04-29",-19
"2023-05-06",-46.6
"2023-05-13",-3.4
"2023-05-20",-5.1
"2023-05-27",-12.9
"2023-06-03",-26.7
"2023-06-10",-32.9
"2023-06-17",-14.6
"2023-06-24",-22.9
"2023-07-01",-17.3
"2023-07-08",-28.2
"2023-07-15",-24.5
"2023-07-22",-8.6
"2023-07-29",-36.7
"2023-08-05",-31.3
"2023-08-12",-29.8
"2023-08-19",-23.5
"2023-08-26",-21.8
"2023-09-02",-32.5
"2023-09-09",-27.5
"2023-09-16",-5.7
"2023-09-23",-26.7
"2023-09-30",-62.4
"2023-10-07",-37.7
"2023-10-14",-22.4
"2023-10-21",-18.6
"2023-10-28",-31
"2023-11-04",-31.8
"2023-11-11",-30.5
"2023-11-18",-10.1
"2023-11-25",-31.9
"2023-12-02",-22.2
"2023-12-09",-15.7
"2023-12-16",-5.9
"2023-12-23",-26.4
"2023-12-30",-65.7
"2024-01-06",-69.8
"2024-01-13",-55
"2024-01-20",-71.5
"2024-01-27",-63.6
"2024-02-03",-66.7
"2024-02-10",-75.8
"2024-02-17",-67
"2024-02-24",-64.9
"2024-03-02",-59.7
"2024-03-09",-51.3
"2024-03-16",-64.2
"2024-03-23",-46
"2024-03-30",-59.7
"2024-04-06",-53.3
"2024-04-13",-50
"2024-04-20",-46.8
"2024-04-27",-42.5
"2024-05-04",-53.7
"2024-05-11",-21.9
"2024-05-18",-41.1
"2024-05-25",-47.9
"2024-06-01",-42.6
"2024-06-08",-59.4
"2024-06-15",-68.8
"2024-06-22",-67.5
"2024-06-29",-72.3
"2024-07-06",-63.3
"2024-07-13",-70.3
"2024-07-20",-66.6
"2024-07-27",-77.1
"2024-08-03",-62.2
"2024-08-10",-70.5
"2024-08-17",-71.2
"2024-08-24",-62
"2024-08-31",-55.5
"2024-09-07",-78.3
"2024-09-14",-75
"2024-09-21",-89.7
"2024-09-28",-75.4
"2024-10-05",-81.4
"2024-10-12",-80.7
"2024-10-19",-78.4
"2024-10-26",-75.6
"2024-11-02",-75.5
"2024-11-09",-77.7
"2024-11-16",-77.3
"2024-11-23",-86.4
"2024-11-30",-82.1
"2024-12-07",-82.1
"2024-12-14",-72.9
"2024-12-21",-68.1
"2024-12-28",-79.2
"2025-01-04",-89.2
"2025-01-11",-90.4
"2025-01-18",-90.3
"2025-01-25",-86.3
"2025-02-01",-96.4
"2025-02-08",-82.3
"2025-02-15",-82.7
"2025-02-22",-85.9
"2025-03-01",-87.5
"2025-03-08",-87.6
"2025-03-15",-88.5
"2025-03-22",-86.9
"2025-03-29",-88.4
"2025-04-05",-88.4
"2025-04-12",-84.6
"2025-04-19",-87.2
"2025-04-26",-86
"2025-05-03",-88.6
"2025-05-10",-91.6
"2025-05-17",-80.4
"2025-05-24",-81.4
"2025-05-31",-76.9
"2025-06-07",-86.4
