"Date","전체"
"2020-01-11",4.4
"2020-01-18",2.7
"2020-01-25",-7
"2020-02-01",-4.4
"2020-02-08",-1.9
"2020-02-15",6.6
"2020-02-22",20.4
"2020-02-29",9.9
"2020-03-07",-1.4
"2020-03-14",-11.8
"2020-03-21",-27.4
"2020-03-28",-29
"2020-04-04",-35
"2020-04-11",-34.2
"2020-04-18",-31.7
"2020-04-25",-32.4
"2020-05-02",-44.4
"2020-05-09",-42.1
"2020-05-16",-23.9
"2020-05-23",-22.2
"2020-05-30",-23.7
"2020-06-06",-30.8
"2020-06-13",-25.1
"2020-06-20",-27
"2020-06-27",-32.6
"2020-07-04",-24.2
"2020-07-11",-31.5
"2020-07-18",-34.5
"2020-07-25",-32.1
"2020-08-01",-31.9
"2020-08-08",-21.7
"2020-08-15",-33.8
"2020-08-22",-35
"2020-08-29",-13.5
"2020-09-05",-14.1
"2020-09-12",-12.4
"2020-09-19",-16.5
"2020-09-26",-12.8
"2020-10-03",-57.6
"2020-10-10",-26.1
"2020-10-17",4
"2020-10-24",3.9
"2020-10-31",4.5
"2020-11-07",6.3
"2020-11-14",-8.5
"2020-11-21",-8.4
"2020-11-28",9.5
"2020-12-05",-6.1
"2020-12-12",2.6
"2020-12-19",-10.4
"2020-12-26",-36.5
"2021-01-02",-40.2
"2021-01-09",-25.3
"2021-01-16",-25.8
"2021-01-23",-21.1
"2021-01-30",-26.2
"2021-02-06",-21.8
"2021-02-13",-46.3
"2021-02-20",-7.6
"2021-02-27",-13
"2021-03-06",-31.8
"2021-03-13",-20.3
"2021-03-20",-18.6
"2021-03-27",-21.7
"2021-04-03",-20.7
"2021-04-10",-10.6
"2021-04-17",-9.7
"2021-04-24",-17
"2021-05-01",-16.2
"2021-05-08",-18.6
"2021-05-15",-13.4
"2021-05-22",-18.8
"2021-05-29",-10.5
"2021-06-05",-15.7
"2021-06-12",-8.7
"2021-06-19",1.1
"2021-06-26",-4.7
"2021-07-03",-4
"2021-07-10",-4.7
"2021-07-17",-12.4
"2021-07-24",-20.7
"2021-07-31",-12.8
"2021-08-07",-1.9
"2021-08-14",11.7
"2021-08-21",11.1
"2021-08-28",16.5
"2021-09-04",19.6
"2021-09-11",-10.6
"2021-09-18",-22.5
"2021-09-25",-45
"2021-10-02",-5.3
"2021-10-09",-22.4
"2021-10-16",-20.3
"2021-10-23",-4.2
"2021-10-30",21.4
"2021-11-06",15.8
"2021-11-13",8.3
"2021-11-20",8
"2021-11-27",5
"2021-12-04",11.9
"2021-12-11",21.6
"2021-12-18",3.4
"2021-12-25",2.8
"2022-01-01",-2.6
"2022-01-08",8.1
"2022-01-15",4.2
"2022-01-22",0.3
"2022-01-29",1.1
"2022-02-05",-44.5
"2022-02-12",-1.4
"2022-02-19",1.8
"2022-02-26",0.8
"2022-03-05",-13.1
"2022-03-12",12.7
"2022-03-19",21.2
"2022-03-26",34.1
"2022-04-02",25.4
"2022-04-09",43.2
"2022-04-16",42.8
"2022-04-23",54.1
"2022-04-30",66.7
"2022-05-07",45.3
"2022-05-14",35.3
"2022-05-21",53.8
"2022-05-28",54.9
"2022-06-04",27.4
"2022-06-11",32.2
"2022-06-18",30.4
"2022-06-25",15.3
"2022-07-02",9.2
"2022-07-09",18.8
"2022-07-16",4.3
"2022-07-23",-4.6
"2022-07-30",-6.6
"2022-08-06",-4.7
"2022-08-13",3.2
"2022-08-20",-10.6
"2022-08-27",-3.9
"2022-09-03",-6.3
"2022-09-10",-14.7
"2022-09-17",-9.1
"2022-09-24",14
"2022-10-01",-6.3
"2022-10-08",-19.6
"2022-10-15",-22.1
"2022-10-22",-5.6
"2022-10-29",-3.1
"2022-11-05",-4.8
"2022-11-12",-13.8
"2022-11-19",-21.5
"2022-11-26",-24
"2022-12-03",-23.7
"2022-12-10",-23.8
"2022-12-17",-18.2
"2022-12-24",-10
"2022-12-31",-26.9
"2023-01-07",-28.6
"2023-01-14",-29.6
"2023-01-21",-35.3
"2023-01-28",-49.8
"2023-02-04",-21.5
"2023-02-11",-21.7
"2023-02-18",-19.9
"2023-02-25",-18.5
"2023-03-04",-21.9
"2023-03-11",-8.9
"2023-03-18",-12.5
"2023-03-25",7
"2023-04-01",5.8
