"Date","전체"
"2020-01-11",-1
"2020-01-18",10
"2020-01-25",-9
"2020-02-01",-3.2
"2020-02-08",-14.8
"2020-02-15",-14.3
"2020-02-22",-15.8
"2020-02-29",-23.5
"2020-03-07",-30.8
"2020-03-14",-35
"2020-03-21",-41.8
"2020-03-28",-45
"2020-04-04",-50.3
"2020-04-11",-54
"2020-04-18",-57.5
"2020-04-25",-57.1
"2020-05-02",-64
"2020-05-09",-60.3
"2020-05-16",-50.6
"2020-05-23",-44.7
"2020-05-30",-48.1
"2020-06-06",-52.2
"2020-06-13",-48.6
"2020-06-20",-52
"2020-06-27",-56.5
"2020-07-04",-54.7
"2020-07-11",-54.5
"2020-07-18",-62.7
"2020-07-25",-59.6
"2020-08-01",-54
"2020-08-08",-45.8
"2020-08-15",-56.7
"2020-08-22",-59.5
"2020-08-29",-51.4
"2020-09-05",-48.4
"2020-09-12",-44.4
"2020-09-19",-45
"2020-09-26",-43.8
"2020-10-03",-72.3
"2020-10-10",-50.3
"2020-10-17",-39.8
"2020-10-24",-41.7
"2020-10-31",-45.3
"2020-11-07",-43.9
"2020-11-14",-51.3
"2020-11-21",-54.4
"2020-11-28",-45
"2020-12-05",-52.5
"2020-12-12",-50
"2020-12-19",-51.5
"2020-12-26",-54.3
"2021-01-02",-62
"2021-01-09",-49.3
"2021-01-16",-48.6
"2021-01-23",-47.3
"2021-01-30",-52
"2021-02-06",-49.9
"2021-02-13",-64
"2021-02-20",-40
"2021-02-27",-42.8
"2021-03-06",-52.2
"2021-03-13",-43.3
"2021-03-20",-41.6
"2021-03-27",-45.9
"2021-04-03",-46.1
"2021-04-10",-35.2
"2021-04-17",-29.2
"2021-04-24",-36.3
"2021-05-01",-36.5
"2021-05-08",-38.3
"2021-05-15",-36
"2021-05-22",-38.4
"2021-05-29",-30.2
"2021-06-05",-30.8
"2021-06-12",-28.1
"2021-06-19",-24.6
"2021-06-26",-27.5
"2021-07-03",-32.6
"2021-07-10",-26.5
"2021-07-17",-31.9
"2021-07-24",-36.8
"2021-07-31",-16.9
"2021-08-07",-4.2
"2021-08-14",-9.7
"2021-08-21",-23.7
"2021-08-28",-28.3
"2021-09-04",-27.9
"2021-09-11",-36.7
"2021-09-18",-38.2
"2021-09-25",-61.4
"2021-10-02",-29.5
"2021-10-09",-43
"2021-10-16",-39
"2021-10-23",-31.6
"2021-10-30",-30.6
"2021-11-06",-35.6
"2021-11-13",-34.1
"2021-11-20",-32.7
"2021-11-27",-32
"2021-12-04",-28.3
"2021-12-11",-30.2
"2021-12-18",-35.6
"2021-12-25",-33.4
"2022-01-01",-34.9
"2022-01-08",-31.8
"2022-01-15",-34.4
"2022-01-22",-29.3
"2022-01-29",-32
"2022-02-05",-61.6
"2022-02-12",-31.8
"2022-02-19",-24.4
"2022-02-26",-28.9
"2022-03-05",-42.7
"2022-03-12",-33.5
"2022-03-19",-26.1
"2022-03-26",-31.9
"2022-04-02",-33.6
"2022-04-09",-21.5
"2022-04-16",-23.3
"2022-04-23",-20.7
"2022-04-30",-17.6
"2022-05-07",-32
"2022-05-14",-29.2
"2022-05-21",-21.8
"2022-05-28",-18.6
"2022-06-04",-34
"2022-06-11",-31.7
"2022-06-18",-31
"2022-06-25",-29
"2022-07-02",-26.4
"2022-07-09",-18.1
"2022-07-16",-18.2
"2022-07-23",-26.2
"2022-07-30",-28.5
"2022-08-06",-25.9
"2022-08-13",-18
"2022-08-20",-28.3
"2022-08-27",-27.4
"2022-09-03",-28.2
"2022-09-10",-34.6
"2022-09-17",-35.1
"2022-09-24",-17.1
"2022-10-01",-25.6
"2022-10-08",-35
"2022-10-15",-39.1
"2022-10-22",-30.2
"2022-10-29",-24.8
"2022-11-05",-31.7
"2022-11-12",-34.5
"2022-11-19",-37.8
"2022-11-26",-41.8
"2022-12-03",-41.1
"2022-12-10",-43
"2022-12-17",-38.1
"2022-12-24",-35.1
"2022-12-31",-47.3
"2023-01-07",-45.8
"2023-01-14",-49.7
"2023-01-21",-50.2
"2023-01-28",-64.3
"2023-02-04",-48.2
"2023-02-11",-43.9
"2023-02-18",-40.1
"2023-02-25",-39.3
"2023-03-04",-39.4
"2023-03-11",-39.3
"2023-03-18",-34.3
"2023-03-25",-28.9
"2023-04-01",-25.9
"2023-04-08",-23.4
"2023-04-15",-27.1
"2023-04-22",-15.7
"2023-04-29",-16.4
"2023-05-06",-51.1
"2023-05-13",-17.7
"2023-05-20",-21.2
"2023-05-27",-24.8
"2023-06-03",-36.1
"2023-06-10",-52.1
"2023-06-17",-30.2
"2023-06-24",-31.1
"2023-07-01",-24.5
"2023-07-08",-34.6
"2023-07-15",-33.8
"2023-07-22",-23.8
"2023-07-29",-41.5
"2023-08-05",-34.9
"2023-08-12",-31.4
"2023-08-19",-27.5
"2023-08-26",-19.8
"2023-09-02",-29.6
"2023-09-09",-18.1
"2023-09-16",-21.2
"2023-09-23",-21.1
"2023-09-30",-55.7
"2023-10-07",-37.7
"2023-10-14",-28.9
"2023-10-21",-29.7
"2023-10-28",-34.4
"2023-11-04",-36.9
"2023-11-11",-29.9
"2023-11-18",-15.6
"2023-11-25",-26.1
"2023-12-02",-3.1
"2023-12-09",-15
"2023-12-16",-16.5
"2023-12-23",-31.4
"2023-12-30",-64.6
"2024-01-06",-67.8
"2024-01-13",-60.9
"2024-01-20",-65.9
"2024-01-27",-56.6
"2024-02-03",-59.6
"2024-02-10",-72.2
"2024-02-17",-67.7
"2024-02-24",-63.8
"2024-03-02",-58.2
"2024-03-09",-51
"2024-03-16",-60.9
"2024-03-23",-50.8
"2024-03-30",-59.5
"2024-04-06",-62.3
"2024-04-13",-60.9
"2024-04-20",-50.4
"2024-04-27",-53.9
"2024-05-04",-61.9
"2024-05-11",-55.1
"2024-05-18",-56
"2024-05-25",-50.4
"2024-06-01",-54.1
"2024-06-08",-61.9
"2024-06-15",-57.6
"2024-06-22",-58.6
"2024-06-29",-59
"2024-07-06",-60.4
"2024-07-13",-63.9
"2024-07-20",-57.6
"2024-07-27",-58.5
"2024-08-03",-48.8
"2024-08-10",-44.8
"2024-08-17",-49.2
"2024-08-24",-37.5
"2024-08-31",-44.6
"2024-09-07",-70
"2024-09-14",-60.2
"2024-09-21",-83.3
"2024-09-28",-63.4
"2024-10-05",-72.2
"2024-10-12",-71.1
"2024-10-19",-69.9
"2024-10-26",-68.1
"2024-11-02",-64.5
"2024-11-09",-74.2
"2024-11-16",-76.4
"2024-11-23",-80.5
"2024-11-30",-71.5
"2024-12-07",-71.6
"2024-12-14",-76.4
"2024-12-21",-67.6
"2024-12-28",-78.5
"2025-01-04",-90.8
"2025-01-11",-88.4
"2025-01-18",-85.1
"2025-01-25",-85.5
"2025-02-01",-95.5
"2025-02-08",-84.3
"2025-02-15",-85
"2025-02-22",-84.5
"2025-03-01",-81.9
"2025-03-08",-84.1
"2025-03-15",-83.3
"2025-03-22",-82.6
"2025-03-29",-83.6
"2025-04-05",-81.6
"2025-04-12",-80.4
"2025-04-19",-85.5
"2025-04-26",-80.3
"2025-05-03",-88.8
"2025-05-10",-87.3
"2025-05-17",-73.8
"2025-05-24",-81.4
"2025-05-31",-79.6
"2025-06-07",-86.1
