"Date","전체"
"2020-01-11",-8.2
"2020-01-18",12.7
"2020-01-25",-4.5
"2020-02-01",5
"2020-02-08",-8.3
"2020-02-15",-9
"2020-02-22",-2.5
"2020-02-29",-28.3
"2020-03-07",-36.8
"2020-03-14",-50.9
"2020-03-21",-58.1
"2020-03-28",-65.3
"2020-04-04",-65.1
"2020-04-11",-60.8
"2020-04-18",-63.3
"2020-04-25",-61.1
"2020-05-02",-71.6
"2020-05-09",-69.6
"2020-05-16",-64.9
"2020-05-23",-61.6
"2020-05-30",-60.3
"2020-06-06",-65.6
"2020-06-13",-65.4
"2020-06-20",-67.5
"2020-06-27",-65.6
"2020-07-04",-66.5
"2020-07-11",-69.8
"2020-07-18",-65.2
"2020-07-25",-62.7
"2020-08-01",-64.6
"2020-08-08",-69.4
"2020-08-15",-71.1
"2020-08-22",-73.3
"2020-08-29",-68.4
"2020-09-05",-67.6
"2020-09-12",-66.5
"2020-09-19",-65.5
"2020-09-26",-65.3
"2020-10-03",-81.2
"2020-10-10",-63.5
"2020-10-17",-55.9
"2020-10-24",-55.9
"2020-10-31",-56.2
"2020-11-07",-54.2
"2020-11-14",-55.8
"2020-11-21",-59.7
"2020-11-28",-58.3
"2020-12-05",-56.1
"2020-12-12",-61.4
"2020-12-19",-57
"2020-12-26",-65.6
"2021-01-02",-73.8
"2021-01-09",-64.5
"2021-01-16",-61.9
"2021-01-23",-62.8
"2021-01-30",-60.5
"2021-02-06",-55.6
"2021-02-13",-69.6
"2021-02-20",-50.9
"2021-02-27",-59.2
"2021-03-06",-64.8
"2021-03-13",-61.2
"2021-03-20",-55.6
"2021-03-27",-58.7
"2021-04-03",-57.8
"2021-04-10",-58.7
"2021-04-17",-51.2
"2021-04-24",-54.1
"2021-05-01",-55.4
"2021-05-08",-58.1
"2021-05-15",-52.6
"2021-05-22",-57.8
"2021-05-29",-52.5
"2021-06-05",-49.4
"2021-06-12",-51.1
"2021-06-19",-49.5
"2021-06-26",-51
"2021-07-03",-48.9
"2021-07-10",-51
"2021-07-17",-53.1
"2021-07-24",-52
"2021-07-31",-28
"2021-08-07",-6.5
"2021-08-14",-20.9
"2021-08-21",-23.3
"2021-08-28",-24.5
"2021-09-04",-26.7
"2021-09-11",-38.3
"2021-09-18",-33.9
"2021-09-25",-45
"2021-10-02",-28.2
"2021-10-09",-39.7
"2021-10-16",-38
"2021-10-23",-30.9
"2021-10-30",-12.8
"2021-11-06",-16.1
"2021-11-13",-28.2
"2021-11-20",-25.3
"2021-11-27",-14.2
"2021-12-04",-18.9
"2021-12-11",-21.7
"2021-12-18",-24.8
"2021-12-25",-28.9
"2022-01-01",-29.7
"2022-01-08",-15.8
"2022-01-15",-27.9
"2022-01-22",-30.3
"2022-01-29",-29.2
"2022-02-05",-58.2
"2022-02-12",-26.9
"2022-02-19",-14.7
"2022-02-26",-23
"2022-03-05",-33.8
"2022-03-12",-6
"2022-03-19",-21.6
"2022-03-26",-19.7
"2022-04-02",-28.1
"2022-04-09",-5.3
"2022-04-16",-6.8
"2022-04-23",-4.7
"2022-04-30",-5.7
"2022-05-07",-13.5
"2022-05-14",-20.4
"2022-05-21",-9.1
"2022-05-28",-8
"2022-06-04",-21.9
"2022-06-11",-22.7
"2022-06-18",-22.6
"2022-06-25",-34.6
"2022-07-02",-34.1
"2022-07-09",-24.3
"2022-07-16",-35.8
"2022-07-23",-40.7
"2022-07-30",-43.6
"2022-08-06",-44.9
"2022-08-13",-46.7
"2022-08-20",-50.6
"2022-08-27",-46.2
"2022-09-03",-47
"2022-09-10",-56.5
"2022-09-17",-55.2
"2022-09-24",-39
"2022-10-01",-47.7
"2022-10-08",-55.3
"2022-10-15",-52.9
"2022-10-22",-48.1
"2022-10-29",-41.9
"2022-11-05",-47.2
"2022-11-12",-52.4
"2022-11-19",-57.2
"2022-11-26",-58.3
"2022-12-03",-58.1
"2022-12-10",-58.1
"2022-12-17",-58.6
"2022-12-24",-51.5
"2022-12-31",-59.1
"2023-01-07",-57.9
"2023-01-14",-62.8
"2023-01-21",-62.6
"2023-01-28",-72.1
"2023-02-04",-58.6
"2023-02-11",-60.8
"2023-02-18",-63.5
"2023-02-25",-66.3
"2023-03-04",-69.5
"2023-03-11",-61.7
"2023-03-18",-64.9
"2023-03-25",-45.2
"2023-04-01",-49.5
"2023-04-08",-55.9
"2023-04-15",-50.5
"2023-04-22",-45.1
"2023-04-29",-46.6
"2023-05-06",-62.4
"2023-05-13",-42.8
"2023-05-20",-46.1
"2023-05-27",-46.6
"2023-06-03",-47.2
"2023-06-10",-62.6
"2023-06-17",-43.7
"2023-06-24",-47.9
"2023-07-01",-44.5
"2023-07-08",-40
"2023-07-15",-50.8
"2023-07-22",-37.6
"2023-07-29",-56.9
"2023-08-05",-52.5
"2023-08-12",-55.1
"2023-08-19",-50.9
"2023-08-26",-39.2
"2023-09-02",-44.3
"2023-09-09",-39.2
"2023-09-16",-42.2
"2023-09-23",-47.3
"2023-09-30",-69.9
"2023-10-07",-60.3
"2023-10-14",-45.4
"2023-10-21",-45.6
"2023-10-28",-50.4
"2023-11-04",-51.9
"2023-11-11",-52.5
"2023-11-18",-51.2
"2023-11-25",-55.4
"2023-12-02",-53.8
"2023-12-09",-49.1
"2023-12-16",-50.8
"2023-12-23",-57.5
"2023-12-30",-79.9
"2024-01-06",-79.9
"2024-01-13",-70.9
"2024-01-20",-77.7
"2024-01-27",-71.4
"2024-02-03",-71.2
"2024-02-10",-80.4
"2024-02-17",-75.5
"2024-02-24",-74.8
"2024-03-02",-73.8
"2024-03-09",-68.4
"2024-03-16",-75
"2024-03-23",-71.4
"2024-03-30",-77.2
"2024-04-06",-75.3
"2024-04-13",-75.2
"2024-04-20",-69.1
"2024-04-27",-66
"2024-05-04",-70
"2024-05-11",-60
"2024-05-18",-63.1
"2024-05-25",-63
"2024-06-01",-69.7
"2024-06-08",-72.7
"2024-06-15",-66.7
"2024-06-22",-66.1
"2024-06-29",-61.6
"2024-07-06",-62.1
"2024-07-13",-60.7
"2024-07-20",-57
"2024-07-27",-67
"2024-08-03",-69.3
"2024-08-10",-59.2
"2024-08-17",-67.1
"2024-08-24",-64.6
"2024-08-31",-59
"2024-09-07",-81.8
"2024-09-14",-74.2
"2024-09-21",-88.8
"2024-09-28",-73.1
"2024-10-05",-78.2
"2024-10-12",-80.4
"2024-10-19",-75.9
"2024-10-26",-75
"2024-11-02",-73.7
