"Date","전체"
"2020-01-11",8.9
"2020-01-18",8
"2020-01-25",-16.9
"2020-02-01",-5.2
"2020-02-08",15.4
"2020-02-15",6.5
"2020-02-22",8.7
"2020-02-29",2
"2020-03-07",12.9
"2020-03-14",-1.7
"2020-03-21",4.3
"2020-03-28",-5.5
"2020-04-04",-19
"2020-04-11",-22.8
"2020-04-18",-14.2
"2020-04-25",8.4
"2020-05-02",-13
"2020-05-09",-27.9
"2020-05-16",15.5
"2020-05-23",15.6
"2020-05-30",2
"2020-06-06",6
"2020-06-13",-4.1
"2020-06-20",-2.2
"2020-06-27",-13.7
"2020-07-04",-5.9
"2020-07-11",-11.7
"2020-07-18",2.6
"2020-07-25",7.4
"2020-08-01",-5
"2020-08-08",-9.2
"2020-08-15",8.1
"2020-08-22",-24.6
"2020-08-29",-15.3
"2020-09-05",-23.9
"2020-09-12",-12.7
"2020-09-19",-12.7
"2020-09-26",-17.8
"2020-10-03",-52.7
"2020-10-10",-27.2
"2020-10-17",-0.9
"2020-10-24",3.4
"2020-10-31",-8
"2020-11-07",-2.5
"2020-11-14",-5.7
"2020-11-21",-1.5
"2020-11-28",-3.5
"2020-12-05",7.7
"2020-12-12",-1.7
"2020-12-19",-2.8
"2020-12-26",-17.4
"2021-01-02",-20.4
"2021-01-09",-6.5
"2021-01-16",12.2
"2021-01-23",22.3
"2021-01-30",42.7
"2021-02-06",228.5
"2021-02-13",232.5
"2021-02-20",316.4
"2021-02-27",406.9
"2021-03-06",280.5
"2021-03-13",316.4
"2021-03-20",280.1
"2021-03-27",357.1
"2021-04-03",403.1
"2021-04-10",403.6
"2021-04-17",382
"2021-04-24",246.3
"2021-05-01",220.8
"2021-05-08",209.3
"2021-05-15",240.7
"2021-05-22",278.2
"2021-05-29",303
"2021-06-05",267.7
"2021-06-12",297.4
"2021-06-19",300
"2021-06-26",329.3
"2021-07-03",301.6
"2021-07-10",290.9
"2021-07-17",267.5
"2021-07-24",278.5
"2021-07-31",642.2
"2021-08-07",645.1
"2021-08-14",476.7
"2021-08-21",438.1
"2021-08-28",424.8
"2021-09-04",378.3
"2021-09-11",228
"2021-09-18",221
"2021-09-25",296.7
"2021-10-02",241.1
"2021-10-09",255.6
"2021-10-16",270.5
"2021-10-23",360.6
"2021-10-30",366.9
"2021-11-06",323.7
"2021-11-13",280.6
"2021-11-20",271
"2021-11-27",276.8
"2021-12-04",268
"2021-12-11",273.7
"2021-12-18",241.2
"2021-12-25",275.4
"2022-01-01",251.6
"2022-01-08",357.3
"2022-01-15",232.1
"2022-01-22",176.3
"2022-01-29",143.4
"2022-02-05",126.9
"2022-02-12",173.9
"2022-02-19",226
"2022-02-26",253.8
"2022-03-05",194
"2022-03-12",290.1
"2022-03-19",253.6
"2022-03-26",204.8
"2022-04-02",206.6
"2022-04-09",346.3
"2022-04-16",316.5
"2022-04-23",305.6
"2022-04-30",312.7
"2022-05-07",275.5
"2022-05-14",210.6
"2022-05-21",271.1
"2022-05-28",344.3
"2022-06-04",299.2
"2022-06-11",294.7
"2022-06-18",292.9
"2022-06-25",236.5
"2022-07-02",223.2
"2022-07-09",317
"2022-07-16",311.3
"2022-07-23",286.3
"2022-07-30",258.8
"2022-08-06",222.8
"2022-08-13",245.6
"2022-08-20",211
"2022-08-27",212.2
"2022-09-03",229.3
"2022-09-10",211.3
"2022-09-17",207.9
"2022-09-24",264.1
"2022-10-01",215.9
"2022-10-08",188.4
"2022-10-15",176
"2022-10-22",208.1
"2022-10-29",298.1
"2022-11-05",205.8
"2022-11-12",165.5
"2022-11-19",146.5
"2022-11-26",136
"2022-12-03",140.5
"2022-12-10",121
"2022-12-17",93.8
"2022-12-24",55.9
"2022-12-31",61.1
"2023-01-07",77.9
"2023-01-14",50.9
"2023-01-21",57
"2023-01-28",2.9
"2023-02-04",41.5
"2023-02-11",35.8
"2023-02-18",41.3
"2023-02-25",16.9
"2023-03-04",8.2
"2023-03-11",24
"2023-03-18",32.6
"2023-03-25",71.3
"2023-04-01",62.9
"2023-04-08",58.7
"2023-04-15",52.4
"2023-04-22",95.2
"2023-04-29",71.5
"2023-05-06",-9.7
"2023-05-13",69.2
"2023-05-20",105.1
"2023-05-27",65.1
"2023-06-03",61.1
"2023-06-10",12.9
"2023-06-17",93.5
"2023-06-24",84.8
"2023-07-01",110.6
"2023-07-08",83.6
"2023-07-15",42.3
