"Date","전체"
"2020-01-11",9.2
"2020-01-18",9.1
"2020-01-25",-18.3
"2020-02-01",-13.3
"2020-02-08",6
"2020-02-15",6.8
"2020-02-22",7.7
"2020-02-29",-2.9
"2020-03-07",-4.1
"2020-03-14",2.5
"2020-03-21",-3.4
"2020-03-28",18.5
"2020-04-04",-4.5
"2020-04-11",-19.1
"2020-04-18",-11.8
"2020-04-25",-23.8
"2020-05-02",-37.6
"2020-05-09",-28.3
"2020-05-16",-13.7
"2020-05-23",6.4
"2020-05-30",-4.7
"2020-06-06",-8.4
"2020-06-13",25.3
"2020-06-20",-4.1
"2020-06-27",-22.1
"2020-07-04",-6.2
"2020-07-11",-19.3
"2020-07-18",-26.4
"2020-07-25",-20.3
"2020-08-01",-13.5
"2020-08-08",2.9
"2020-08-15",3.9
"2020-08-22",-2.7
"2020-08-29",14.6
"2020-09-05",15.1
"2020-09-12",2.6
"2020-09-19",13.8
"2020-09-26",1.5
"2020-10-03",-51.1
"2020-10-10",13.6
"2020-10-17",37.1
"2020-10-24",23.3
"2020-10-31",28.5
"2020-11-07",38.3
"2020-11-14",27.1
"2020-11-21",17.7
"2020-11-28",25.2
"2020-12-05",2.9
"2020-12-12",-1.2
"2020-12-19",1.9
"2020-12-26",-9.1
"2021-01-02",-18.8
"2021-01-09",6.6
"2021-01-16",1.8
"2021-01-23",0.5
"2021-01-30",-13.7
"2021-02-06",0.6
"2021-02-13",-36.1
"2021-02-20",9
"2021-02-27",11.3
"2021-03-06",9.9
"2021-03-13",12
"2021-03-20",6.5
"2021-03-27",10.4
"2021-04-03",22.2
"2021-04-10",13.8
"2021-04-17",20.1
"2021-04-24",8.5
"2021-05-01",1.9
"2021-05-08",-5.7
"2021-05-15",-6.1
"2021-05-22",-21.3
"2021-05-29",-1.3
"2021-06-05",-2.1
"2021-06-12",10
"2021-06-19",7.2
"2021-06-26",34.7
"2021-07-03",7.3
"2021-07-10",-3.6
"2021-07-17",-2
"2021-07-24",-5.1
"2021-07-31",6.1
"2021-08-07",44.6
"2021-08-14",18.7
"2021-08-21",33.2
"2021-08-28",29.8
"2021-09-04",37.2
"2021-09-11",3.6
"2021-09-18",-8.4
"2021-09-25",-47.5
"2021-10-02",-3.7
"2021-10-09",-14.9
"2021-10-16",-8.7
"2021-10-23",7.3
"2021-10-30",21.2
"2021-11-06",7.3
"2021-11-13",16.3
"2021-11-20",24
"2021-11-27",25.4
