"Date","전체"
"2020-01-11",6.4
"2020-01-18",14.2
"2020-01-25",-20.6
"2020-02-01",-4.1
"2020-02-08",21
"2020-02-15",21.5
"2020-02-22",17.5
"2020-02-29",13
"2020-03-07",18.7
"2020-03-14",8.6
"2020-03-21",7.4
"2020-03-28",8.9
"2020-04-04",-7.7
"2020-04-11",-16.6
"2020-04-18",-29.7
"2020-04-25",-19.2
"2020-05-02",-42.3
"2020-05-09",-26.4
"2020-05-16",-17.4
"2020-05-23",-19.5
"2020-05-30",-11.2
"2020-06-06",-11.3
"2020-06-13",-20.1
"2020-06-20",-14.8
"2020-06-27",-8
"2020-07-04",-9.4
"2020-07-11",-7.1
"2020-07-18",-4.4
"2020-07-25",-10.6
"2020-08-01",-13
"2020-08-08",-16.1
"2020-08-15",-0.5
"2020-08-22",-5.3
"2020-08-29",4.6
"2020-09-05",-4.6
"2020-09-12",0.4
"2020-09-19",15.3
"2020-09-26",9.3
"2020-10-03",-28.5
"2020-10-10",12.5
"2020-10-17",31.7
"2020-10-24",30.1
"2020-10-31",15.5
"2020-11-07",20.8
"2020-11-14",11.9
"2020-11-21",23.5
"2020-11-28",4.9
"2020-12-05",-10.8
"2020-12-12",9.1
"2020-12-19",10.7
"2020-12-26",1.1
"2021-01-02",-3.8
"2021-01-09",25.9
"2021-01-16",16.5
"2021-01-23",23.5
"2021-01-30",0.4
"2021-02-06",16.7
"2021-02-13",-30.3
"2021-02-20",19.9
"2021-02-27",18.4
"2021-03-06",7.3
"2021-03-13",15.6
"2021-03-20",25.5
"2021-03-27",29.7
"2021-04-03",32.4
"2021-04-10",24.5
"2021-04-17",39
"2021-04-24",28.1
"2021-05-01",28.6
"2021-05-08",1
"2021-05-15",14.6
"2021-05-22",5.2
"2021-05-29",13.6
"2021-06-05",20.1
"2021-06-12",2.5
"2021-06-19",3.5
"2021-06-26",7.5
"2021-07-03",1.7
"2021-07-10",3.3
"2021-07-17",2.5
"2021-07-24",2.5
"2021-07-31",25.2
"2021-08-07",29.2
"2021-08-14",36.6
"2021-08-21",25.3
"2021-08-28",24.6
"2021-09-04",27.4
"2021-09-11",21.2
"2021-09-18",12.1
"2021-09-25",-31.6
"2021-10-02",31.6
"2021-10-09",12.1
"2021-10-16",11.6
"2021-10-23",35.8
"2021-10-30",16.5
"2021-11-06",7.8
"2021-11-13",5.4
"2021-11-20",17.1
"2021-11-27",10.3
"2021-12-04",6.6
"2021-12-11",10.1
"2021-12-18",1.7
"2021-12-25",-4.6
"2022-01-01",5.6
"2022-01-08",20.7
"2022-01-15",-0.3
"2022-01-22",5.4
"2022-01-29",-3.6
"2022-02-05",-49.1
"2022-02-12",7.3
"2022-02-19",40.9
"2022-02-26",49
"2022-03-05",21.6
"2022-03-12",30.2
"2022-03-19",53.1
"2022-03-26",63.2
"2022-04-02",58.1
"2022-04-09",49.4
"2022-04-16",35
"2022-04-23",40.7
"2022-04-30",45.5
"2022-05-07",36.2
"2022-05-14",23.9
"2022-05-21",25.7
"2022-05-28",27.4
"2022-06-04",32.4
"2022-06-11",26.6
"2022-06-18",44
"2022-06-25",29.6
"2022-07-02",32.6
"2022-07-09",26.3
"2022-07-16",34.8
"2022-07-23",31.2
"2022-07-30",22
"2022-08-06",13.5
"2022-08-13",20.7
"2022-08-20",17
"2022-08-27",15.3
"2022-09-03",18.9
"2022-09-10",12
"2022-09-17",14.6
"2022-09-24",47.4
"2022-10-01",24.4
"2022-10-08",8.7
"2022-10-15",15.3
"2022-10-22",19.3
"2022-10-29",14.3
"2022-11-05",23.2
"2022-11-12",7.6
"2022-11-19",10.9
"2022-11-26",-0.5
"2022-12-03",10.9
"2022-12-10",-2.6
"2022-12-17",6.8
"2022-12-24",-2.8
"2022-12-31",3.6
"2023-01-07",11.2
"2023-01-14",-8.5
"2023-01-21",-23.4
"2023-01-28",-35.4
"2023-02-04",1.6
"2023-02-11",6.2
"2023-02-18",-1.3
"2023-02-25",7.6
"2023-03-04",-4.1
"2023-03-11",3.5
"2023-03-18",4.2
"2023-03-25",46.6
"2023-04-01",38.3
"2023-04-08",23.7
"2023-04-15",48.7
"2023-04-22",61.3
"2023-04-29",67
"2023-05-06",-0.9
"2023-05-13",81.4
"2023-05-20",74.9
"2023-05-27",67.1
"2023-06-03",38.5
"2023-06-10",21.3
"2023-06-17",51.8
"2023-06-24",58.5
"2023-07-01",57
"2023-07-08",29.5
"2023-07-15",24.3
"2023-07-22",53.5
"2023-07-29",17.8
"2023-08-05",2.9
"2023-08-12",23.1
"2023-08-19",37.2
"2023-08-26",64.9
"2023-09-02",23.7
"2023-09-09",48.8
"2023-09-16",51.8
"2023-09-23",48.9
"2023-09-30",-26.5
"2023-10-07",14.3
"2023-10-14",59.8
"2023-10-21",47.6
"2023-10-28",25.9
"2023-11-04",17.4
"2023-11-11",29.6
"2023-11-18",52.7
"2023-11-25",41.4
"2023-12-02",55.6
"2023-12-09",50.9
"2023-12-16",41.9
"2023-12-23",21.3
"2023-12-30",-41.2
"2024-01-06",-47.5
"2024-01-13",-29.9
"2024-01-20",-33.1
"2024-01-27",-26.9
"2024-02-03",-20.6
"2024-02-10",-50.3
"2024-02-17",-38
"2024-02-24",-15.5
"2024-03-02",-15.6
"2024-03-09",-5.5
"2024-03-16",-32.4
"2024-03-23",-13.6
"2024-03-30",-33.7
"2024-04-06",-22.7
"2024-04-13",-27.1
"2024-04-20",1.2
"2024-04-27",8.2
"2024-05-04",-18.7
"2024-05-11",-11.7
"2024-05-18",8.6
"2024-05-25",7.1
"2024-06-01",2
"2024-06-08",-11.4
"2024-06-15",-31
"2024-06-22",-20.5
"2024-06-29",-27.1
"2024-07-06",-23.3
"2024-07-13",-28.2
"2024-07-20",-21.8
"2024-07-27",-20.6
"2024-08-03",6.6
"2024-08-10",1.1
"2024-08-17",16.2
"2024-08-24",32.6
"2024-08-31",16.9
"2024-09-07",-38.5
"2024-09-14",-11.5
"2024-09-21",-68
"2024-09-28",-21.8
"2024-10-05",-40.7
"2024-10-12",-35.3
"2024-10-19",-48.9
"2024-10-26",-33.8
"2024-11-02",-36.5
"2024-11-09",-51
"2024-11-16",-56.1
"2024-11-23",-64.1
"2024-11-30",-46.8
"2024-12-07",-46.8
"2024-12-14",-45.4
"2024-12-21",-32
"2024-12-28",-52
"2025-01-04",-76.5
"2025-01-11",-77.2
"2025-01-18",-65
"2025-01-25",-74.2
"2025-02-01",-87.2
"2025-02-08",-65.5
"2025-02-15",-59.3
"2025-02-22",-67.4
"2025-03-01",-70.6
"2025-03-08",-71.3
"2025-03-15",-67.9
"2025-03-22",-68.6
"2025-03-29",-66.7
"2025-04-05",-60.7
"2025-04-12",-46.2
"2025-04-19",-69.7
"2025-04-26",-57.5
"2025-05-03",-74.1
"2025-05-10",-70.1
"2025-05-17",-53.9
"2025-05-24",-64.5
"2025-05-31",-65.9
"2025-06-07",-56.2
