"Date","전체"
"2020-01-11",12.3
"2020-01-18",7.5
"2020-01-25",-19.8
"2020-02-01",-3.6
"2020-02-08",19.8
"2020-02-15",16.3
"2020-02-22",9.6
"2020-02-29",-3.8
"2020-03-07",6.5
"2020-03-14",0.3
"2020-03-21",4.9
"2020-03-28",6.2
"2020-04-04",-18.5
"2020-04-11",-29
"2020-04-18",-42.6
"2020-04-25",-28.7
"2020-05-02",-46.5
"2020-05-09",-31.3
"2020-05-16",-20.3
"2020-05-23",-27.4
"2020-05-30",-26.6
"2020-06-06",-25.9
"2020-06-13",-22.4
"2020-06-20",-21.6
"2020-06-27",-18.8
"2020-07-04",-16
"2020-07-11",-12.1
"2020-07-18",7.6
"2020-07-25",-7.1
"2020-08-01",-9.9
"2020-08-08",-21.7
"2020-08-15",7.6
"2020-08-22",-8.2
"2020-08-29",7
"2020-09-05",-9.4
"2020-09-12",16.8
"2020-09-19",16.2
"2020-09-26",2.3
"2020-10-03",-29.7
"2020-10-10",6.2
"2020-10-17",41.6
"2020-10-24",4
"2020-10-31",2.9
"2020-11-07",4.4
"2020-11-14",-1.4
"2020-11-21",4.8
"2020-11-28",27.2
"2020-12-05",-1.1
"2020-12-12",-4.5
"2020-12-19",-6.7
"2020-12-26",-18.9
"2021-01-02",-26.9
"2021-01-09",-0.2
"2021-01-16",12.9
"2021-01-23",39.8
"2021-01-30",19.6
"2021-02-06",32.1
"2021-02-13",-12.2
"2021-02-20",31.2
"2021-02-27",31.3
"2021-03-06",13.9
"2021-03-13",22.4
"2021-03-20",37.8
"2021-03-27",33.2
"2021-04-03",43.9
"2021-04-10",42
"2021-04-17",78
"2021-04-24",58
"2021-05-01",44.4
"2021-05-08",18.5
"2021-05-15",38.3
"2021-05-22",11.8
"2021-05-29",26.5
"2021-06-05",32.9
"2021-06-12",27.8
"2021-06-19",26.5
"2021-06-26",30.3
"2021-07-03",24.9
"2021-07-10",24
"2021-07-17",20.8
"2021-07-24",13
"2021-07-31",0.3
"2021-08-07",25.3
"2021-08-14",19.1
"2021-08-21",24.1
"2021-08-28",13.3
"2021-09-04",29.6
"2021-09-11",18.6
"2021-09-18",9
"2021-09-25",-27.5
"2021-10-02",30.2
"2021-10-09",16.5
"2021-10-16",11.3
"2021-10-23",24.1
"2021-10-30",22.5
"2021-11-06",28.8
"2021-11-13",27.6
"2021-11-20",28.9
"2021-11-27",24.1
"2021-12-04",27.2
"2021-12-11",21.5
"2021-12-18",14.9
"2021-12-25",4.1
"2022-01-01",9.5
"2022-01-08",40.2
"2022-01-15",6.7
"2022-01-22",12.7
"2022-01-29",-6.8
"2022-02-05",-43.2
"2022-02-12",5.9
"2022-02-19",23.3
"2022-02-26",15
"2022-03-05",13.9
"2022-03-12",30.5
"2022-03-19",50.3
"2022-03-26",91.9
"2022-04-02",94.5
"2022-04-09",107.1
"2022-04-16",80.3
"2022-04-23",115.6
"2022-04-30",106.7
"2022-05-07",82
"2022-05-14",44.2
"2022-05-21",61
"2022-05-28",46.9
"2022-06-04",64.6
"2022-06-11",53.4
"2022-06-18",58.4
"2022-06-25",39.6
"2022-07-02",31.1
"2022-07-09",34.4
"2022-07-16",38.9
"2022-07-23",44.9
"2022-07-30",32.1
"2022-08-06",27.6
"2022-08-13",30.1
"2022-08-20",31.4
"2022-08-27",15.1
"2022-09-03",35.2
"2022-09-10",23.1
"2022-09-17",30.4
"2022-09-24",62.5
"2022-10-01",39.1
"2022-10-08",20.4
"2022-10-15",31.9
"2022-10-22",38.9
"2022-10-29",28.4
"2022-11-05",31.6
"2022-11-12",20.7
"2022-11-19",22.4
"2022-11-26",3.3
"2022-12-03",22.4
"2022-12-10",9.6
"2022-12-17",24.8
"2022-12-24",6.4
"2022-12-31",16
"2023-01-07",26.5
"2023-01-14",7
"2023-01-21",-19.3
"2023-01-28",-16.2
"2023-02-04",12.8
"2023-02-11",23
"2023-02-18",16.7
"2023-02-25",20.6
"2023-03-04",7.9
"2023-03-11",21.2
"2023-03-18",18.3
"2023-03-25",61.4
"2023-04-01",58.4
"2023-04-08",45.4
"2023-04-15",45.6
"2023-04-22",72.7
"2023-04-29",83.8
"2023-05-06",-0.8
"2023-05-13",71.2
"2023-05-20",76.8
"2023-05-27",59.6
"2023-06-03",53.1
"2023-06-10",21.7
"2023-06-17",58.2
"2023-06-24",46.7
"2023-07-01",29.5
"2023-07-08",11
"2023-07-15",7.5
"2023-07-22",36.4
"2023-07-29",13
"2023-08-05",5.6
"2023-08-12",13.6
"2023-08-19",38.4
"2023-08-26",47.7
"2023-09-02",11.4
"2023-09-09",41.7
"2023-09-16",31.8
"2023-09-23",45.4
"2023-09-30",-37.4
"2023-10-07",10.2
"2023-10-14",44.2
"2023-10-21",15.8
"2023-10-28",8.2
"2023-11-04",3.8
"2023-11-11",14.8
"2023-11-18",28.1
"2023-11-25",15.7
"2023-12-02",34.5
"2023-12-09",38
"2023-12-16",27.9
"2023-12-23",4.9
"2023-12-30",-36.5
"2024-01-06",-43.2
"2024-01-13",-15.9
"2024-01-20",-24.5
"2024-01-27",-10.1
"2024-02-03",-3.8
"2024-02-10",-35.7
"2024-02-17",-38.2
"2024-02-24",-3.6
"2024-03-02",-6.6
"2024-03-09",3.4
"2024-03-16",-31.1
"2024-03-23",-10.1
"2024-03-30",-21.9
"2024-04-06",-28.2
"2024-04-13",-23.8
"2024-04-20",-4.1
"2024-04-27",7.3
"2024-05-04",-8.5
"2024-05-11",-8.3
"2024-05-18",-5.6
"2024-05-25",10.6
"2024-06-01",-2.9
"2024-06-08",-27
"2024-06-15",-34
"2024-06-22",-27
"2024-06-29",-34.9
"2024-07-06",-23.7
"2024-07-13",-40.8
"2024-07-20",-38.1
"2024-07-27",-46.8
"2024-08-03",-22.8
"2024-08-10",-27.5
"2024-08-17",-36.2
"2024-08-24",-19.4
"2024-08-31",-35
"2024-09-07",-50.6
"2024-09-14",-45.2
"2024-09-21",-68.6
"2024-09-28",-45.6
"2024-10-05",-56.8
"2024-10-12",-46.4
"2024-10-19",-59.3
"2024-10-26",-49.3
"2024-11-02",-50.4
"2024-11-09",-61.2
"2024-11-16",-62.9
"2024-11-23",-69.7
"2024-11-30",-57.4
"2024-12-07",-57.4
"2024-12-14",-49.5
"2024-12-21",-49.9
"2024-12-28",-44.5
"2025-01-04",-81.9
"2025-01-11",-81.4
"2025-01-18",-65.4
"2025-01-25",-64.3
"2025-02-01",-87.9
"2025-02-08",-59.6
"2025-02-15",-57.2
"2025-02-22",-65.4
"2025-03-01",-71.3
"2025-03-08",-72.8
"2025-03-15",-68.3
"2025-03-22",-71.8
"2025-03-29",-69.7
"2025-04-05",-61.3
"2025-04-12",-54
"2025-04-19",-65
"2025-04-26",-58.9
"2025-05-03",-75.6
"2025-05-10",-75.8
