"Date","전체"
"2020-01-11",14.9
"2020-01-18",7.5
"2020-01-25",-22.5
"2020-02-01",-8.1
"2020-02-08",23.3
"2020-02-15",14.9
"2020-02-22",21.2
"2020-02-29",12.5
"2020-03-07",18.7
"2020-03-14",27.4
"2020-03-21",31.6
"2020-03-28",21
"2020-04-04",-7.4
"2020-04-11",-20.5
"2020-04-18",-40
"2020-04-25",-22
"2020-05-02",-35.3
"2020-05-09",-25.8
"2020-05-16",2.5
"2020-05-23",0.2
"2020-05-30",2.4
"2020-06-06",-5.6
"2020-06-13",-11.2
"2020-06-20",14.6
"2020-06-27",27.2
"2020-07-04",2.4
"2020-07-11",-4.3
"2020-07-18",-4.2
"2020-07-25",-9
"2020-08-01",-13.1
"2020-08-08",1.4
"2020-08-15",0.7
"2020-08-22",3.9
"2020-08-29",0.9
"2020-09-05",12.3
"2020-09-12",8.5
"2020-09-19",17
"2020-09-26",11.6
"2020-10-03",-29.6
"2020-10-10",13.2
"2020-10-17",35.5
"2020-10-24",74
"2020-10-31",40.3
"2020-11-07",47.3
"2020-11-14",46.2
"2020-11-21",38.3
"2020-11-28",39
"2020-12-05",12.2
"2020-12-12",26.6
"2020-12-19",29.2
"2020-12-26",12.5
"2021-01-02",-23.6
"2021-01-09",9.2
"2021-01-16",20.1
"2021-01-23",22.2
"2021-01-30",4.5
"2021-02-06",25.1
"2021-02-13",-23.6
"2021-02-20",-0.2
"2021-02-27",6.1
"2021-03-06",-1.2
"2021-03-13",25.7
"2021-03-20",25.4
"2021-03-27",30
"2021-04-03",28
"2021-04-10",26.6
"2021-04-17",45.9
"2021-04-24",49.7
"2021-05-01",51.3
"2021-05-08",40.4
"2021-05-15",45.3
"2021-05-22",30.4
"2021-05-29",28.2
"2021-06-05",56.7
"2021-06-12",48.3
"2021-06-19",52.3
"2021-06-26",60.9
"2021-07-03",46.2
"2021-07-10",65.8
"2021-07-17",48.7
"2021-07-24",44.8
"2021-07-31",40.1
"2021-08-07",64.5
"2021-08-14",49.7
"2021-08-21",57.5
"2021-08-28",73.2
"2021-09-04",65.8
"2021-09-11",50.1
"2021-09-18",38.1
"2021-09-25",-13.7
"2021-10-02",81
"2021-10-09",45.5
"2021-10-16",40.2
"2021-10-23",70
"2021-10-30",26.7
"2021-11-06",20.4
"2021-11-13",39.4
"2021-11-20",29.4
"2021-11-27",30
"2021-12-04",30.9
"2021-12-11",4.6
"2021-12-18",16.9
"2021-12-25",0
"2022-01-01",8.5
"2022-01-08",8.5
"2022-01-15",3
"2022-01-22",11.4
"2022-01-29",1.1
"2022-02-05",-32.5
"2022-02-12",70.8
"2022-02-19",36.8
"2022-02-26",23.8
"2022-03-05",22.1
"2022-03-12",22.2
