"Date","전체"
"2020-01-11",5.7
"2020-01-18",15.6
"2020-01-25",-21.3
"2020-02-01",-1.2
"2020-02-08",44.1
"2020-02-15",26.3
"2020-02-22",31.7
"2020-02-29",23.2
"2020-03-07",53.5
"2020-03-14",34.9
"2020-03-21",28.4
"2020-03-28",39.3
"2020-04-04",13.5
"2020-04-11",-6.8
"2020-04-18",-14.4
"2020-04-25",10
"2020-05-02",-24.6
"2020-05-09",-5.8
"2020-05-16",5.7
"2020-05-23",13.9
"2020-05-30",8.1
"2020-06-06",9.4
"2020-06-13",16.8
"2020-06-20",22.2
"2020-06-27",12.4
"2020-07-04",15.3
"2020-07-11",3.2
"2020-07-18",17.6
"2020-07-25",8.9
"2020-08-01",12.9
"2020-08-08",6.6
"2020-08-15",29.5
"2020-08-22",14.9
"2020-08-29",36.3
"2020-09-05",19.1
"2020-09-12",27.6
"2020-09-19",37.5
"2020-09-26",30.1
"2020-10-03",-18.2
"2020-10-10",29.1
"2020-10-17",71.4
"2020-10-24",53.6
"2020-10-31",27.5
"2020-11-07",29.2
"2020-11-14",23.3
"2020-11-21",25.4
"2020-11-28",24.5
"2020-12-05",10.5
"2020-12-12",31
"2020-12-19",23.4
"2020-12-26",9.5
"2021-01-02",13
"2021-01-09",39.2
"2021-01-16",45.3
"2021-01-23",62.6
"2021-01-30",32.4
"2021-02-06",36.6
"2021-02-13",-21.6
"2021-02-20",34.9
"2021-02-27",28.7
"2021-03-06",47.2
"2021-03-13",45.7
"2021-03-20",37.7
"2021-03-27",47.7
"2021-04-03",48.9
"2021-04-10",64.4
"2021-04-17",42.5
"2021-04-24",37.3
"2021-05-01",44.4
"2021-05-08",15.5
"2021-05-15",41.9
"2021-05-22",18.3
"2021-05-29",35.4
"2021-06-05",52.5
"2021-06-12",39.4
"2021-06-19",25.8
"2021-06-26",31.5
"2021-07-03",52.5
"2021-07-10",40
"2021-07-17",37.7
"2021-07-24",27.7
"2021-07-31",33.4
"2021-08-07",35
"2021-08-14",52.3
"2021-08-21",59.6
"2021-08-28",69.1
"2021-09-04",89.4
"2021-09-11",67.5
"2021-09-18",45.6
"2021-09-25",-10.5
"2021-10-02",73.5
"2021-10-09",45.6
"2021-10-16",48.4
"2021-10-23",61.3
"2021-10-30",33.2
"2021-11-06",40.3
"2021-11-13",40.4
"2021-11-20",31.5
"2021-11-27",26.8
"2021-12-04",42.1
"2021-12-11",40.7
"2021-12-18",28.1
"2021-12-25",11.6
"2022-01-01",12.1
"2022-01-08",29.9
"2022-01-15",19.6
"2022-01-22",38
"2022-01-29",14.8
"2022-02-05",-31.9
"2022-02-12",34.7
"2022-02-19",81.5
"2022-02-26",96.8
"2022-03-05",46
"2022-03-12",46.3
"2022-03-19",79
"2022-03-26",94.4
"2022-04-02",90.1
"2022-04-09",95
"2022-04-16",66.3
"2022-04-23",72.9
"2022-04-30",74.6
"2022-05-07",60.8
"2022-05-14",54.8
"2022-05-21",41.6
"2022-05-28",68.7
"2022-06-04",57.8
"2022-06-11",50.3
"2022-06-18",65.6
"2022-06-25",45.9
"2022-07-02",63.6
"2022-07-09",52.3
"2022-07-16",79.8
"2022-07-23",52.6
"2022-07-30",43.8
"2022-08-06",25.6
"2022-08-13",53.2
"2022-08-20",49.8
"2022-08-27",37.6
"2022-09-03",38
"2022-09-10",22.8
"2022-09-17",39.1
"2022-09-24",69.5
"2022-10-01",48.6
