번호,지역명,정책명,정책유형,정책소개,사업운영기간,사업신청기간,주관기관
1,경기,2025년 화성시 청년정책 아이디어 공모전,참여.권리,"청년정책에 대한 사회적 관심을 제고하고, 실효성 있는 아이디어 발굴",,20250602 ~ 20250620,복지국
2,경기,경기도 청년기본소득,복지.문화,"행복추구, 삶의 질 향상 등 청년의 사회적 기본권 보장을 지원하는 경기도형 기본소득제도",연중,20250701 ~ 20250731\N20251015 ~ 20251114,경기도
3,경기,「광명시 청년위원회」 4기 위원 모집,참여.권리,광명시 청년정책에 관한 주요사항 심의·자문을 위한 광명시 청년위원회 4기 위원 모집,,20250415 ~ 20250514,광명시
4,경기,육아나눔터 운영,복지.문화,지역사회가 참여하는 돌봄공동체 조성을 통한 양육친화적인 사회환경 구축,,,의왕시
5,경기,아이돌봄서비스 신규 및 월120시간 이용자 본인부담금 확대지원,복지.문화,아이돌봄서비스 정부지원(시간) 소진 후 발생하는 경제적 부담 경감을 위하여 지원기준 충족 시 서비스 이용 본인부담금 전액지원,,,의왕시
6,경기,아픈아이홈케어,복지.문화,아이돌봄지원사업의 질병감염아동서비스 질병범위(법정 전염병 및 유행성 질병)를 모든 질병으로 확대하고 서비스 이용에 따른 본인부담금을 전액 지원하여 서비스 이용부담을 경감하고 보호자의 일·가정 양립 및 아동의 건강하고 안전한 성장에 기여,,,의왕시
7,경기,경기도 반도체 산업 전문인력 양성사업,교육,"반도체 중소, 중견기업 수요중심 실무형 기술인력 양성",,,경기도
8,경기,경기청년 해외진출(일본) 사업,일자리,도내 청년들의 글로벌 역량강화 및 해외진출 지원,연중,20250401 ~ 20250415,재단법인경기도일자리재단
9,경기,AI 면접체험실 운영,일자리,"AI 면접체험을 통해 면접을 가상 체험하면서, 면접에 대핸 불안감 해소 및 면접 역량 강화 등 취업지원",,,의왕시
10,경기,청년 직무멘토링 사업(의왕시),일자리,직무전문성을 가진 현직자와의 멘토링을 통한 지역 청년들의 취업 역량 강화,,20250201 ~ 20250430,의왕시
11,경기,(의왕시)청년 인턴사업,일자리,취업 준비 청년을 대상으로 의왕시 산하 행정기관에서 시정체험 및 직무경험 기회를 제공함,,20250203 ~ 20250214,의왕시
12,경기,경기청년 기회사다리금융,복지.문화,"ㅇ (목적) 청년들에게 최소한의 금융기회를 제공함으로써 청년층의 경제적 자립과 안정적 금융생활 지원
ㅇ (대상) 도내 주민등록을 둔 25 ~ 39세 청년
ㅇ (주요내용) 소액·저리·장기 대출 및 수시입출식 특별예금 지원
ㅇ (전달체계) 민원접수 및 요건심사(도) → 대출심사 및 실행(은행)",한도 소진시까지,20250421 ~ 20251231,경기도
13,경기,모자건강증진 사업,복지.문화,임산부와 태아의 건강증진 도모,상시,,보건소
14,경기,임신축하금 지원,복지.문화,임신부의 건강관리 지원 및 경제적부담 경감,상시,,보건소
15,경기,의왕시 산모건강관리사 본인부담금 지원,복지.문화,산모회복과 신생아 양육 지원으로 모자건강증진 및 출산가정 경제적 부담 경감,상시,,보건소
16,경기,출산장려금 지원,복지.문화,출산 가정에 출산장려금 지원으로 경제적 부담 경감 및 출산 장려 분위기 조성,상시,,의왕시
17,경기,의왕시 산후조리비 지원,복지.문화,출산가정에 산후조리비 지원으로 산후 건강보호 및 건전한 출산·양육 환경 조성,상시,,의왕시
18,경기,공유물품 대여사업 운영,복지.문화,청년에게 일상생활에 필요한 물품을 지원하여 안정적인 경제활동과 공유경제 할성화 도모,,,의왕시
19,경기,청년 재능자판기 운영,일자리,관내 청년공예가의 공예품을 판매할 수 있는 장을 마련하여 청년공예가의 판로지원 및 커뮤니티 활성화에 기여함,,,의왕시
20,경기,청년공간 운영사업,복지.문화,"청년들의 취업 및 다양한 활동을 지원하고, 힐링과 소통의 역할을 수행할 수 있는 청년 전용 공간
운영",,,의왕시
21,경기,의왕시 청년옷장(면접정장 무료대여서비스),일자리,의왕시 거주 청년(19세~39세) 면접용 정장 무료 대여 서비스,,,의왕시
22,경기,청년 융합기술 창업지원,일자리,"○ 사업목적 : 도내 청년들의 창의적 아이디어 발굴 및 우수 청년스타트업으로 성장할 수 있는 기회 제공 등을 통한 청년창업 저변 확대
○ 사업대상 : 39세 이하 도에 거주하는 예비ㆍ3년이내 청년창업자
* 기존 「대학생 융합기술 창업지원」 사업과의 연속성을 위해 도 소재 대학(원)에 재학중인 청년도 사업대상에 포함",,20250331 ~ 20250418,경기도
23,경기,경기도 청년 푸드창업 허브,일자리,도내 청년(만 39세 이하) 대상 원-스톱 외식업 창업지원 프로그램 운영,상시(기수별 4개월/ 연간 3기수 운영),,경기도
24,경기,청년 행정체험 인턴,일자리,사회진입 이행기 청년에게 일경험 제공을 통한 취업역량 강화,,20250101 ~ 20251231,시흥시
25,경기,경기청년 해외 취·창업 기회 확충 사업,일자리,해외 취·창업을 꿈꾸는 도내 미취업 청년에게 해외기업 현장체험 및 실무멘토링 기회 제공을 통한 취·창업 역량 향상,,20250414 ~ 20250502,국제통상과
26,경기,부천시 청년정책협의체 위원 모집(기간 연장),참여.권리,"부천시 청년의 더 나은 미래를 위해, 함께 청년 문제를 고민하고 정책을 만들어 나갈 청년정책협의체 신규위원 모집",,20250305 ~ 20250410,부천시
27,경기,부천 청년 사진 Dream(드림),일자리,부천시 청년 구직자의 고용 촉진을 위하여 청년의 자격증 시험·취업에 필요한 증명사진 지원,,20250301 ~ 20251130,부천시
28,경기,「제4기 화성시 청년정책협의체」 위원 모집,참여.권리,"청년정책 발굴 및 제안, 청년의견 수렴, 청년 참여를 통한 네트워크 활성화 등 활동을 하는 화성시 청년정책협의체 위원 모집",2025년 1월 ~ 12월,20250120 ~ 20250207,복지국
29,경기,2025년 화성시 청년활동포인트제(1차),참여.권리,시정 및 지역사회 참여 활동을 청년활동으로 지정하고 조건에 따라 참여를 증빙하는 경우 인센티브(포인트) 제공,2025년 1월 ~ 12월,20250303 ~ 20250711,복지국
30,인천,「2025년 제3기 계양구 청년네트워크 위원」모집,참여.권리,「인천광역시 계양구 청년 기본 조례」 제20조(청년네트워크)에 따라 청년의 능동적인 구정참여 기회를 보장하고 청년 맞춤형 정책 발굴에 참여할 「2025년 제3기 계양구 청년네트워크」위원을 붙임과 같이 모집 공고하오니 청년 여러분의 많은 관심과 참여 바랍니다.,,20250123 ~ 20250205,재정경제국
31,경기,2025년 제1단계 의정부 행복드림 일자리사업 참여자 모집 공고,일자리,"2025년 제1단계 의정부 행복드림 일자리사업 참여자를 아래와 같이 모집, 공고 하고자 합니다.",,"2024-12-04~2024-12-06
2024-12-04~2024-12-06",의정부시
32,경기,2025년 장애인일자리사업(전일제시간제) 참여자 모집 재공고,일자리,"용인시에서는 장애인의 사회참여 확대와 소득보장을 도모하기 위하여, 장애인일자리사업에 참여할 분을 아래와 같이 모집하오니 많은 지원 바랍니다.",,"2024-11-28~2024-12-02
2024-11-28~2024-12-02",용인시
33,경기,2025년 남양주시 장애인일자리사업 일반형참여자 모집 공고,일자리,우리 시에서는 장애인의 사회참여 확대와 소득보장을 도모하기 위하여 장애인일자리 사업에 참여하실 장애인을 모집하오니 많은 지원 바랍니다.,,"2024-11-25~2024-12-02
2024-11-25~2024-12-02",남양주시
34,경기,경기도 여성비전센터 2025년 상반기 경기도 커뮤니티 모집 공고,참여.권리,지역사회 커뮤니티 활동 공간 지원을 통한 자발적 학습 기회 마련 및 여성의 사회참여와 복지증진을 위해 2025년도 상반기 「경기도 커뮤니티」를 모집하오니 많은 관심과 참여를 바랍니다.,,"2024-11-27~2024-12-15
2024-11-27~2024-12-15",경기도 여성비전센터
35,경기,2025년 겨울방학 대학생 행정체험 아르바이트 참여자 모집 공고,일자리,2025년 겨울방학 대학생 행정체험 아르바이트 참여자 모집 공고,,"2024-12-02~2024-12-08
2024-12-02~2024-12-08",의왕시
36,경기,경기 의왕시 제1회 내손愛 Fun 장학금,교육,내손1동에서는 「제1회 내손愛 Fun! Fun! Fun! 페스티벌」추진결과 발생한 수익금을 지역 내 도움이 필요한 청소년들의 꿈과 희망을 지원하는 장학금으로 사용하고자 장학금지원계획을 알려드립니다.,,"2024-11-21~2024-12-06
2024-11-21~2024-12-06",의왕시 내손1동주민센터 복지팀
37,경기,경기 성남시 1인가구 간병비 지원,복지.문화,1인가구 간병비 지원,,상시신청,성남시청 복지정책과
38,경기,「2025년 광주시 동계 대학생 일자리 DREAM-UP」참여자 모집 공고,일자리,"광주시에서 대학생(예비 취업자)의 현장실무 경험과 진로탐색, 취업역량 향상, 행정실무 등 다양한 체험 기회를 제공하기 위하여 추진하는 「2025년 광주시 동계 대학생 일자리 DREAM-UP」 참여자를 다음과 같이 모집 공고합니다.",,"2024-12-02~2024-12-06
2024-12-02~2024-12-06",광주시청 지역경제과
39,인천,「2025년 동계 공공기관 청년 아르바이트」 모집,일자리,청년들에게 공공기관의 다양한 직무체험을 통해 인천시정의 이해 및 행정체험의 기회를 제공하고자 ｢2025년 동계 공공기관 청년 아르바이트｣ 참여자를 공개모집하오니 많은 신청 바랍니다.,,"2024-11-25~2024-12-06
2024-11-25~2024-12-06",인천시청 자치행정과
40,경기,2025년 동계 대학생 군정체험활동 참여자 모집 공고,일자리,지역 대학생들의 행정 체험 및 관내 복지시설 지원 등 다양한 부업활동을 통해 사회경험 및 학비마련의 기회를 제공하고자 대학재학생을 대상으로 하는 「2025년 동계 가평군 대학생 군정체험활동」의 참여자를 다음과 같이 공개 모집합니다.,,"2024-12-03~2024-12-10
2024-12-03~2024-12-10",가평군 평생교육사업소 인재양성팀
41,경기,2025년 상반기 청년인턴사업 참여자 모집공고,일자리,2025년 상반기 청년인턴사업 참여자 모집을 위하여 붙임과 같이 공고하오니 많은 관심 바랍니다.,,"2024-12-09~2024-12-13
2024-12-09~2024-12-13",오산시청 지역경제과
42,경기,2025년 광명청년인턴 뉴스타트 사업 참여자 모집 공고,일자리,광명시에서는 청년 미취업자에게 직무체험 기회를 제공하고 취업을 지원하기 위하여 『광명청년인턴 뉴스타트』사업에 참여할 취업 의지가 강하고 역량 있는 참여자를 다음과 같이 모집합니다.,,"2024-12-10~2024-12-13
2024-12-10~2024-12-13",광명시 일자리창출과
43,경기,2025년도 동계 대학생 시정업무 체험사업,일자리,2025년도 동계 대학생 시정업무 체험사업,,"2024-12-13~2024-12-20
2024-12-13~2024-12-20",남양주시청
44,경기,2025년 동계 1기 시정참여 대학생 모집 공고,일자리,2025년 동계 1기 시정참여 대학생을 아래와 같이 모집 공고합니다.,,"2024-12-02~2024-12-08
2024-12-02~2024-12-08",하남시청 청년일자리과
45,경기,「2025년도 1단계」대학생(주말) 일자리사업 참여자 모집공고,일자리,「2025년도 1단계」대학생(주말) 일자리사업 참여자 모집공고,,"2024-12-16~2024-12-20
2024-12-16~2024-12-20",오산시청
46,경기,2024년 신혼부부 및 청년 전월세 대출이자 지원사업 공고(11차),주거,광명시에서 2024년 신혼부부 및 청년 전월세 대출 이자 지원계획을 아래와 같이 공고합니다.,,"2024-12-09~2024-12-20
2024-12-09~2024-12-20",광명시청
47,경기,2025년 동계 대학생 시정업무체험 참여자 모집공고,일자리,"2025년 동계 대학생 시정업무체험 참여자를 모집하고자 아래와 같이 공고하오니, 관심있는 대학생들의 많은 참여 바랍니다.",,"2024-12-13~2024-12-20
2024-12-13~2024-12-20",남양주시
48,경기,2025년 동계 부업대학생 모집공고,일자리,연천군에서 2024. 12. 23.(월) ~ 2025. 02. 21.(금)까지 운영하는 『2025년 동계 부업대학생』참여자를 다음과 같이 모집하오니 성실하고 책임감 있는 연천군 관내 거주 대학생 여러분들의 많은 신청 바랍니다.,,"2024-12-04~2024-12-11
2024-12-04~2024-12-11",연천군청
49,경기,『2025년 상반기 청년행정체험』 참여자 모집,일자리,양주시 모든 청년에게 사회 경험을 쌓는 기회를 제공하기 위해 『2025년 상반기 청년행정체험』에 참여할 청년 25명을 오는 17일까지 모집합니다.,,"2024-12-10~2024-12-17
2024-12-10~2024-12-17",양주시
50,경기,2024년 안양시 청년 월세 지원사업 대상자 모집 공고(기간연장),주거,안양시에서는 '2024년 안양시 청년 월세 지원사업' 대상자 모집(기간연장)을 아래와 같이 공고합니다.,,"2024-09-19~2024-12-18
2024-09-19~2024-12-18",안양시
51,경기,2025년 대학생 행정체험연수 1기 모집 공고,일자리,겨울방학기간 동안 과천시 거주 대학생들에게 행정체험연수를 통한 시정이해의 기회와 일자리를제공하기 위하여 다음과 같이 과천시 동계 행정체험연수생을 모집합니다.,,"2024-12-10~2024-12-13
2024-12-10~2024-12-13",과천시
52,경기,2025년 상반기 청년(구.대학생) 아르바이트 모집,일자리,2025년 상반기 청년(구.대학생) 아르바이트 모집,,"2024-12-09~2024-12-13
2024-12-09~2024-12-13",광명시청
53,경기,2024년 신혼부부 및 청년 전월세 대출이자 지원사업 공고(11차),주거,광명시에서 2024년 신혼부부 및 청년 전월세 대출 이자 지원계획을 아래와 같이 공고합니다.,,"2024-12-09~2024-12-20
2024-12-09~2024-12-20",광명시청
54,경기,2025년 동계 부업대학생 모집공고,일자리,연천군에서 2024. 12. 23.(월) ~ 2025. 02. 21.(금)까지 운영하는 『2025년 동계 부업대학생』참여자를 다음과 같이 모집하오니 성실하고 책임감 있는 연천군 관내 거주 대학생 여러분들의 많은 신청 바랍니다.,,"2024-12-04~2024-12-11
2024-12-04~2024-12-11",연천군청
55,인천,남동구 청년참여단 운영,참여.권리,"청년의 소통과 참여를 확대하고 청책수요 발굴 및 청년당사자 의견수렴으로
청년의 능동적인 사회 참여 및 청년활동 지원",,,남동구
56,인천,남동구 청년공간 청년꿈터 운영,참여.권리,"남동구 청년의 소통공간인 ""청년꿈터"" 운영을 통한 청년 네트워크 활성화",,,남동구
57,인천,청년월세 한시 지원사업,주거,청년기본법」및 「인천광역시 청년 기본 조례」에 따른 청년으로 19 ~ 39세 이하인 부모님과 별도 거주하는 무주택자에게 1일 월 20만원까지 최대24개월 월세지원,2022년~2027년,20240226 ~ 20250225,남동구
58,인천,청년미디어타워 운영,복지.문화,청년 미디어 타워를 운영하여 청년 미디어 창작활동 지원,2025.1월~12월,,남동구
59,인천,남동형 청년재직자 내일채움공제 플러스 사업,일자리,"중소기업 사업주와 청년 근로자, 정부가 3년간 공동으로 적립한 공제금을 3년 만기 시 장기 재직한 청년 근로자에게 성과보상금 형태로 지급",2024년~2028년,,남동구
60,인천,청년창업지원센터 운영,일자리,스타트업 청년 창업자에 대한 체계적인 지원을 통한 창업 성공 및 남동구 우수한 청년 기업 육성,2025.1월~12월,,남동구
61,인천,2025년 청년도전지원사업,일자리,"구직단념청년 등을 대상으로 맞춤형 프로그램을 제공하고, 청년의 구직의욕 고취, 노동시장 참여 및 취업촉진을 지원하는 사업",,20250210 ~ 20250328,고용노동부
62,경기,꿈이룸 프로젝트,일자리,"광주시에 주민등록을 둔 18~39세 청년 구직자(고교졸업예정자포함) 또는
광주시 소재 대학교에 재학(휴학)중인 취업준비생의 면접 준비 부담 해소 및 구직비용 절감을 위해 면접정장을 횟수 제한 없이 대여해주며 연간 1회에 한하여 증명사진 촬영을 지원",,,기획재정국
63,경기,2025년 상반기 경기도 학자금 대출이자 지원,교육,한국장학재단에서 대출받은 학자금의 직전 6개월간 발생한 이자 지원,2025년 상반기,20250102 ~ 20250214,미래평생교육국
64,경기,용인청년 창업지원주택,주거,경기주택도시공사가 신축 주택을 매입하여 용인청년 1인 창조기업인에게 직‧주 혼합 소호(SOHO)형 주택을 주변시세의 30~50% 이하로 임대,,20250113 ~ 20250124,용인시
65,인천,청년센터 서구1939,복지.문화,"청년활동, 커뮤니티 지원, 역량강화 등 청년의 삶 전반을 아우르는 프로그램 및 청년정책정보를 지원하는 종합지원, 활동거점 공간",상시,,서구
66,인천,정서진 아라뱃길 청년창업공간 지원사업,일자리,- 서구에서 창업에 도전하는 청년에게 다양한 지원을 통한 자생력 강화,,20250201 ~ 20250331,서구
67,인천,중소기업 재직청년 복지공유제,복지.문화,중소기업 재직 중인 인천광역시 서구 청년들에게 대기업 및 유관기관의 시설 · 복지 공유,,20250301 ~ 20251231,서구
68,인천,취업성공 디딤돌 청년인턴 사업,일자리,인천광역시 서구 관내 19-34세 미취업 청년들에게 공공기관 행정인턴 업무 경험 제공 및 취업역량강화 교육 지원,신청기간은 내부사정에 따라 변경 가능,20250601 ~ 20251130,서구
69,경기,청년 면접 지원 사업,일자리,청년 실업률 및 구직기간 장기화로 어려움을 겪는 지역 청년들에게 면접 지원을 통해 취업부담 경감 및 적극적 구직활동 지원,,,가평군
70,인천,청년의 사회적 고립 해소를 위한 지원사업,복지.문화,지역 자원을 활용하여 사회적 고립 청년의 사회 복귀를 지원하고 청년 정책의 사각지대를 해소하고자 함,,20250501 ~ 20250531,서구
71,경기,청년층 정신건강 서비스 강화,복지.문화,정신질환 조기발견 및 개입을 통한 만성화 방지,연중,,경기도
72,경기,2025년도 장애인일자리(일반형) 참여자 모집 공고,일자리,2025년도 장애인일자리(일반형) 참여자 모집을 아래와 같이 공고합니다.,,"2024-12-02~2024-12-04
2024-12-02~2024-12-04",시흥시청
73,경기,2025년 장애인 일반형일자리사업 참여자 모집,일자리,"우리 시에서는 장애인의 사회참여 확대와 자립을 지원하기 위하여
2025년도 장애인 일반형일자리사업 참여자를 모집하오니 많은 신청 바랍니다.",,"2024-11-25~2024-11-29
2024-11-25~2024-11-29",양주시
