번호,정책유형,정책명,정책 요약,주관기관
1,일자리,산림산업 창업지원_청년 산림인 성장지원,산림 분야 취·창업을 준비하는 청년들을 대상으로 실무강화 및 현장인재 양성을 지원하는 교육 프로그램 20종 공모·운영,산림청
2,교육,주거안정장학금,원거리 대학 진학으로 인해 주거 관련 비용 부담이 큰 저소득 대학생을 대상으로 주거 부담 경감을 위한 ‘주거안정장학금＇ 지원,교육부
3,일자리,맞춤형화장품조제관리사 자격 역량강화,맞춤형화장품조제관리사 자격증 취득 후 실제 활용을 위해 식품의약품안전처와 성신여자대학교가 함께하는 맞춤형화장품조제관리사 자격 역량강화 교육입니다.,화장품정책과
4,참여.권리,유엔참전국 교류캠프,유엔참전용사 후손 및 유엔참전국 우수 인재 간 교류캠프를 통해 대한민국에 대한 국제사회의 지지를 강화하고 참전으로 맺어진 연대를 미래세대로 계승,국가보훈부
5,복지.문화,청년내일저축계좌,일하는 저소득층 청년들이 안정적으로 자산을 형성해 나갈 수 있도록 지원하는 청년자산형성 지원사업,보건복지부
6,주거,청년 주택드림 디딤돌 대출,청년의 주거사다리 지원을 위해 청년 주택드림 통장으로 청약 당첨 시 주택구입자금을 대출,국토교통부
7,일자리,해외조달 전문인력 양성,"청년(학생 및 조달기업 재직자) 대상 해외조달시장에 대한 이론, 실무교육 실시 및 채용 연계",조달청
8,교육,규제과학 인재양성 및 글로벌 협력연구,"식의약 규제과학 분야 석박사 (비)학위과정, 취업 연계 프로그램, 현장체험 등 운영 및 글로벌 우수 대학, 연구소 등과의 교류",기획조정과
9,일자리,산림산업 창업지원_청년 산림창업 마중물 지원,청년법인 도약 및 사업성공을 위한 청년 산림창업 마중물 지원하여 열악한 청년 창업 여건을 개선하여 산촌 정착 저변 확대,산림청
10,교육,사회복무요원의 안정적 사회진출 지원,o 사회복무요원 장병내일준비적금 가입 시 사회복귀준비금 지원 - 연도별 매칭비율에 해당하는 금액을 사회복무요원 복무만료 시 국가가 추가로 지원하는 자산형 지원금 o 복무 중 자기개발 기회 확대로 경력단절 최소화 - 원격강좌 학점 취득 수강료 지원 - 사회복무경험 학점 인정,병무청
11,교육,의약품 규제업무 전문가 양성교육,의약품 안전관리 전주기의 법적·과학적 규제기준에 대한 종합적 지식을 갖춘 '의약품 규제업무 전문가' 양성·배출,식품의약품안전처
12,일자리,해양경찰청 청년인턴 채용,"ㅇ 청년의 일경험 기회를 확대하고, 정책과정 경험 및 참여를 통해 청년의 다양한 시각을 반영하기 위한 2025년 해양경찰청 청년인턴 채용",해양경찰청
13,교육,예비청년 대상 발명교육 지원,발명/특허 특성화고 지원,특허청
14,교육,체계적인 지식재산 인재 및 리더 양성,지식재산 전문인력 양성 중점대학 운영 및 산학협동현 캠퍼스특허유니버시아드 운영,특허청
15,일자리,지식재산 기반 창업촉진(IP 디딤돌 프로그램),"개인 및 예비창업자를 대상으로 창의적 아이디어를 기술적으로 발전시켜 사업아이템을 도출하고, 이에 대한 지식재산 컨설팅 및 권리화 지원",특허청
16,복지.문화,서울시 청년수당,"서울에 거주하고 있는 만 19세~34세 미취업 또는 단기 근로 청년에게 활동지원금(월 50만원 최대 6개월)을 지급하고, 강점진단 종합지원, 멘토링, 취업지원 프로그램 제공 등 청년 니즈에 맞게 프로그램 연계를 지속 지원하는 사업",서울특별시
17,교육,AI 보안관제 전문인력 양성(5기) 교육,사이버보안 분야(보안관제) 취업을 희망하는 청년 구직자 대상 정보보호 기초 및 보안관제 직무 교육(총 200시간) 운영,과학기술정보통신부
18,교육,K-Shield 주니어 14기 정규과정,사이버보안 분야 입문 및 진출을 희망하는 청년 대상 정보보호 기초 교육(80시간 이상)과 직무 교육(300시간 이상) 운영,과학기술정보통신부
19,복지.문화,청년문화예술패스,사회에 첫 발을 내딛는 대한민국 19세 청년에게 공연(연극·뮤지컬·클래식·콘서트·음악 페스티벌 등) ·전시 관람비를 지원하여 청년의 문화향유 기회를 제공하고 품격있는 문화시민이자 적극적 문화소비 주체로 성장할 수 있도록 지원하는 사업,문화체육관광부
20,교육,마이스터대 지원,고숙련 전문기술인재 양성을 위해 직무 중심 고도화된 교육과정을 운영하는 '마이스터대' 지원,교육부
21,주거,청년주택드림청약통장,무주택 청년의 주택구입과 자산형성을 지원,국토교통부
22,일자리,창업도약패키지(투자병행형) 창업기업 모집,도약기 창업기업의 비즈니스 모델 혁신 및 제품·서비스 고도화 지원,중소벤처기업부
23,일자리,창업도약패키지(대기업협업형) 창업기업 모집,도약기 창업기업의 비즈니스 모델 혁신 및 제품·서비스 고도화 지원,중소벤처기업부
24,일자리,창업도약패키지(일반형) 창업기업 모집,도약기 창업기업의 비즈니스 모델 혁신 및 제품·서비스 고도화 지원,중소벤처기업부
25,일자리,스타트업 해외전시회 참가기업 모집,유망 창업기업의 인도 시장 진출 지원과 글로벌 경쟁력 강화 도모를 위한 전시회 참가 지원,중소벤처기업부
26,일자리,초기창업패키지 창업기업 모집,창업 후 3년 이내 초기창업기업의 사업 안정화 및 성장 지원,중소벤처기업부
27,일자리,재도전성공패키지 IP전략형 (예비) 재창업기업 지원,"특허, 실용신안, 디자인 중 1건 이상 출원 또는 등록한 폐업이력을 보유한 (예비)재창업자의 성공적인 재창업 지원",중소벤처기업부
28,일자리,예비창업패키지 창업기업 모집,혁신적인 기술과 사업모델을 보유한 예비창업자의 성공적인 창업 지원,중소벤처기업부
29,일자리,글로벌 기업 협업 프로그램 창업기업 모집,"정부와 글로벌 기업이 협업하여 창업기업의 성장을 지원하고, 글로벌시장 진입 기회 마련",중소벤처기업부
30,일자리,재도전성공패키지 일반형 (예비) 재창업기업 지원,성실한 실패 경험과 우수한 아이템을 보유한 (예비)재창업자의 성공적인 재창업 지원,중소벤처기업부
31,일자리,고교생 맞춤형 고용서비스,"대학의 우수 인프라를 활용하여 취업을 희망하는 고교 재학생을 대상으로 진로 설계, 희망직업 포트폴리오 작성 및 취업활동계획 수립 지원, 직업훈련·일경험 연계 등 맞춤형 고용서비스를 제공하여 졸업 후 원활한 노동시장 진입 촉진",고용노동부
32,일자리,직장적응 지원,산업단지 입주기업 등의 CEO‧중간관리자‧인사담당자 대상 청년친화 조직문화 교육‧컨설팅 및 신입직원 대상 직장적응 지원 프로그램(on-borarding)을 제공합니다.,고용노동부
33,교육,대학일자리플러스센터,"학내 취업지원 인프라 구축과 기초 취업지원 프로그램 운영을 위한 운영비·프로그램비를 지원하여, 대학 내 흩어져 있는 청년 취업지원 인프라를 통합하고 청년에게 원스톱 서비스 제공할 수 있는 기반을 마련",고용노동부
34,일자리,취업희망프로그램,"나의 긍정적인 측면을 찾도록 하여 자신감 회복과 인간관계 향상과 취업, 원만한 사회생활 적응 등을 돕는 집단상담 프로그램",고용노동부
35,교육,NCS 기반 능력중심 채용,"NCS 기반으로 분석한 직무의 상세 내용 및 직무능력 평가 기준을 바탕으로, 학벌 등 불필요한 스펙(Over-spec)이 아닌, 직무 수행 현장에서 원하는 직업능력, 즉 해당 직무에 맞는 스펙(On-spec)을 갖추었는지 평가하여 직무에 적합한 인재를 선발하는 채용 방식",고용노동부
36,일자리,청년일자리 강소기업 선정,중소·중견기업에 대한 인식개선 등을 위해 청년고용 및 기업경쟁력이 우수한 '청년일자리 강소기업'을 선정하여 기업정보 제공 및 홍보 등 지원,고용노동부
37,일자리,K-Move 스쿨,"청년과 구인기업이 요구하는 어학 및 직무능력, 생활문화 등에 대한 맞춤형 교육(연수)과정 제공 후 해외취업 연계",고용노동부
