지자체명,행정코드,광역코드,시군구_청년인구,광역_청년인구,청년비율
서울특별시 종로구,11010,11,36509,2428240,0.015035169505485455
서울특별시 중구,11020,11,31227,2428240,0.012859931473001022
서울특별시 용산구,11030,11,55691,2428240,0.02293471814977103
서울특별시 성동구,11040,11,75400,2428240,0.031051296412216257
서울특별시 광진구,11050,11,100430,2428240,0.04135917372253155
서울특별시 동대문구,11060,11,91544,2428240,0.03769973314005205
서울특별시 중랑구,11070,11,93380,2428240,0.03845583632589859
서울특별시 성북구,11080,11,112713,2428240,0.04641756992719007
서울특별시 강북구,11090,11,68760,2428240,0.02831680558758607
서울특별시 도봉구,11100,11,71414,2428240,0.029409778275623497
서울특별시 노원구,11110,11,123045,2428240,0.0506725035416598
서울특별시 은평구,11120,11,110509,2428240,0.045509916647448356
서울특별시 서대문구,11130,11,83755,2428240,0.0344920600929068
서울특별시 마포구,11140,11,102672,2428240,0.04228247619675156
서울특별시 양천구,11150,11,102167,2428240,0.04207450663855303
서울특별시 강서구,11160,11,148991,2428240,0.06135760880308371
서울특별시 구로구,11170,11,95307,2428240,0.0392494152143116
서울특별시 금천구,11180,11,59971,2428240,0.02469731163311699
서울특별시 영등포구,11190,11,99085,2428240,0.040805274602181
서울특별시 동작구,11200,11,108211,2428240,0.04456355220241821
서울특별시 관악구,11210,11,165895,2428240,0.06831902942048562
서울특별시 서초구,11220,11,95865,2428240,0.039479211280598295
서울특별시 강남구,11230,11,127702,2428240,0.052590353507066846
서울특별시 송파구,11240,11,162361,2428240,0.06686365433400322
서울특별시 강동구,11250,11,105636,2428240,0.043503113366059366
부산광역시 중구,21010,21,8298,714858,0.011607899750719724
부산광역시 서구,21020,21,21196,714858,0.029650643904104032
부산광역시 동구,21030,21,17168,714858,0.024015958414118608
부산광역시 영도구,21040,21,21328,714858,0.029835295960876147
부산광역시 부산진구,21050,21,84425,714858,0.11810037797716469
부산광역시 동래구,21060,21,55086,714858,0.07705866060112637
부산광역시 남구,21070,21,57723,714858,0.08074750509891475
부산광역시 북구,21080,21,61693,714858,0.08630105559425788
부산광역시 해운대구,21090,21,79935,714858,0.11181941028847688
부산광역시 사하구,21100,21,66111,714858,0.09248130397925182
부산광역시 금정구,21110,21,54580,714858,0.07635082771683327
부산광역시 강서구,21120,21,25120,714858,0.035139845955420516
부산광역시 연제구,21130,21,44188,714858,0.061813674883683195
부산광역시 수영구,21140,21,38728,714858,0.05417579435356393
부산광역시 사상구,21150,21,47740,714858,0.06678249386591463
부산광역시 기장군,21310,21,31539,714858,0.04411925165557355
대구광역시 중구,22010,22,18589,537609,0.03457717411724878
대구광역시 동구,22020,22,69417,537609,0.12912172229259555
대구광역시 서구,22030,22,34188,537609,0.06359268539031154
대구광역시 남구,22040,22,32532,537609,0.06051237981507006
대구광역시 북구,22050,22,107017,537609,0.19906102762416553
대구광역시 수성구,22060,22,89694,537609,0.16683872479813397
대구광역시 달서구,22070,22,132217,537609,0.24593524289957944
대구광역시 달성군,22310,22,53955,537609,0.10036104306289516
인천광역시 중구,23010,23,31505,670090,0.04701607246787745
인천광역시 동구,23020,23,11265,670090,0.01681117461833485
인천광역시 연수구,23040,23,89830,670090,0.1340566192600994
인천광역시 남동구,23050,23,119273,670090,0.17799549314271218
인천광역시 부평구,23060,23,116174,670090,0.17337074124371354
인천광역시 계양구,23070,23,71197,670090,0.10624990672894685
인천광역시 서구,23080,23,124610,670090,0.1859600949126237
인천광역시 미추홀구,23090,23,95453,670090,0.1424480293691892
인천광역시 강화군,23310,23,8252,670090,0.012314763688459759
인천광역시 옹진군,23320,23,2531,670090,0.0037771045680430985
광주광역시 동구,24010,24,25612,352811,0.07259410846033712
광주광역시 서구,24020,24,72195,352811,0.20462797361760263
광주광역시 남구,24030,24,47095,352811,0.13348506707557303
광주광역시 북구,24040,24,105276,352811,0.29839205693700027
광주광역시 광산구,24050,24,102633,352811,0.290900793909487
대전광역시 동구,25010,25,56733,375632,0.15103345827831494
대전광역시 중구,25020,25,50584,375632,0.1346637134216467
대전광역시 서구,25030,25,127406,375632,0.33917770583975804
대전광역시 유성구,25040,25,99443,375632,0.26473516633300676
대전광역시 대덕구,25050,25,41466,375632,0.11038995612727351
울산광역시 중구,26010,26,44342,242309,0.1829977425518656
울산광역시 남구,26020,26,74998,242309,0.3095138851631594
울산광역시 동구,26030,26,30916,242309,0.12758915269346166
울산광역시 북구,26040,26,47789,242309,0.19722338006429807
울산광역시 울주군,26310,26,44264,242309,0.18267583952721525
세종특별자치시 세종특별자치시,29010,29,79243,79243,1.0
경기도 수원시 장안구,31011,31,68206,3040686,0.022431122450657516
경기도 수원시 권선구,31012,31,92044,3040686,0.030270800733781786
경기도 수원시 팔달구,31013,31,45377,3040686,0.014923277181530747
경기도 수원시 영통구,31014,31,103374,3040686,0.03399693358669721
경기도 성남시 수정구,31021,31,58205,3040686,0.019142062021530667
경기도 성남시 중원구,31022,31,51576,3040686,0.016961961873077327
경기도 성남시 분당구,31023,31,111895,3040686,0.03679926174554032
경기도 의정부시,31030,31,103863,3040686,0.034157752559784205
경기도 안양시 만안구,31041,31,57022,3040686,0.01875300507845927
경기도 안양시 동안구,31042,31,74398,3040686,0.024467505030114915
경기도 부천시,31050,31,195180,3040686,0.06418946250944688
경기도 광명시,31060,31,67398,3040686,0.02216539294093504
경기도 평택시,31070,31,124090,3040686,0.04080986987804726
경기도 동두천시,31080,31,18358,3040686,0.006037453390452023
경기도 안산시 상록구,31091,31,91786,3040686,0.030185951459637726
경기도 안산시 단원구,31092,31,79886,3040686,0.026272360908031936
