지자체명,행정코드,청년인구,전체인구,청년비율
강원특별자치도,32,274989.949,1446004,0.190172
강원특별자치도 강릉시,32030,41459.17599,201836,0.205410214
강원특별자치도 고성군,32600,3132.367818,25004,0.125274669
강원특별자치도 동해시,32040,13580.86114,83342,0.162953387
강원특별자치도 삼척시,32070,9882.916611,59085,0.167266085
강원특별자치도 속초시,32060,13736.14619,77754,0.176661602
강원특별자치도 양구군,32580,3661.715808,19226,0.190456455
강원특별자치도 양양군,32610,3111.595977,25625,0.121428136
강원특별자치도 영월군,32530,3725.591851,34209,0.108906775
강원특별자치도 원주시,32020,77244.43928,346855,0.222699512
강원특별자치도 인제군,32590,5003.561305,28971,0.172709306
강원특별자치도 정선군,32550,3618.671087,31531,0.114765503
강원특별자치도 철원군,32560,6834.867331,37854,0.180558655
강원특별자치도 춘천시,32010,63113.03745,274973,0.22952449
강원특별자치도 태백시,32050,4767.664827,37156,0.128314803
강원특별자치도 평창군,32540,3994.871466,37062,0.10778888
강원특별자치도 홍천군,32510,8849.710019,62050,0.14262224
강원특별자치도 화천군,32570,3895.066354,20954,0.18588653
강원특별자치도 횡성군,32520,5377.68858,42517,0.126483256
경기도,31,2965652.765,12964056,0.22876
경기도 가평군,31570,8983.357392,56116,0.160085491
경기도 고양시,311010,227578.5185,1013790,0.224482899
경기도 과천시,31110,16841.07904,75748,0.222330346
경기도 광명시,31060,59054.07813,267948,0.220393801
경기도 광주시,31250,74787.9921,372346,0.200856172
경기도 구리시,31120,40338.88613,178896,0.225487915
경기도 군포시,31160,59091.42541,251401,0.23504849
경기도 김포시,31230,91313.96461,461671,0.197790125
경기도 남양주시,31130,142984.0064,693990,0.206031796
경기도 동두천시,31080,15717.60075,83563,0.188092825
경기도 부천시,31050,172548.7321,751913,0.22947965
경기도 성남시,310210,199303.6548,867550,0.229731606
경기도 수원시,310110,303168.2658,1149558,0.263725941
경기도 시흥시,31150,117270.4697,501750,0.233722909
경기도 안산시,310910,161908.5447,608837,0.265930856
경기도 안성시,31220,39407.22675,180842,0.217909704
경기도 안양시,310410,122713.2272,520538,0.235743072
경기도 양주시,31260,52997.08643,251220,0.210958866
경기도 양평군,31580,15991.69968,112797,0.141774158
경기도 여주시,31280,19091.73091,106595,0.179105314
경기도 연천군,31550,6773.713974,38393,0.176430963
경기도 오산시,31140,54177.22532,223548,0.242351644
경기도 용인시,311910,224784.6959,1014424,0.221588503
경기도 의왕시,31170,35034.89995,150836,0.232271473
경기도 의정부시,31030,102549.5351,444578,0.230667138
경기도 이천시,31210,47431.59876,208133,0.227890814
경기도 파주시,31200,102191.8156,466690,0.218971513
경기도 평택시,31070,139531.5982,563004,0.247834115
경기도 포천시,31270,25610.96498,133025,0.192527457
경기도 하남시,31180,68676.50136,314122,0.218630027
경기도 화성시,31240,217798.6689,900234,0.241935618
경상남도,38,571370.494,3085359,0.185188
경상남도 거제시,38090,36279.88819,222916,0.162751387
경상남도 거창군,38590,7977.738973,55668,0.143309244
경상남도 고성군,38540,5125.589979,44969,0.113980519
경상남도 김해시,38070,106977.6404,508835,0.210240334
경상남도 남해군,38550,3603.552498,37458,0.09620248
경상남도 밀양시,38080,12308.78814,95098,0.129432671
경상남도 사천시,38060,16977.38453,101848,0.166693352
경상남도 산청군,38570,3089.038286,30666,0.100731699
경상남도 양산시,38100,66207.7953,339013,0.195295742
경상남도 의령군,38510,2157.772571,23105,0.093389854
경상남도 진주시,38030,72587.52883,330324,0.219746458
