지자체명,행정코드,청년인구,전체인구,청년비율
서울특별시 종로구,11010,32508,135582,0.23976634066469
서울특별시 중구,11020,28541,115067,0.24803809954200595
서울특별시 용산구,11030,50398,207039,0.24342273677906096
서울특별시 성동구,11040,68459,277120,0.24703738452655888
서울특별시 광진구,11050,90894,328366,0.2768069775798956
서울특별시 동대문구,11060,82289,325598,0.25273189638756993
서울특별시 중랑구,11070,82754,374271,0.22110716566338295
서울특별시 성북구,11080,98104,416155,0.23573908759957227
서울특별시 강북구,11090,60049,290437,0.20675396041138008
서울특별시 도봉구,11100,61053,308747,0.19774443152484072
서울특별시 노원구,11110,101929,497776,0.2047688116743274
서울특별시 은평구,11120,94853,450207,0.21068752818148095
서울특별시 서대문구,11130,73908,296599,0.249184926449516
서울특별시 마포구,11140,92444,349648,0.2643916167116643
서울특별시 양천구,11150,82643,429197,0.19255260404895655
서울특별시 강서구,11160,132450,551415,0.24020021218138787
서울특별시 구로구,11170,83813,386742,0.21671553645582844
서울특별시 금천구,11180,54388,220503,0.24665424053187485
서울특별시 영등포구,11190,90749,352157,0.2576947213884716
서울특별시 동작구,11200,97531,371853,0.2622837519127182
서울특별시 관악구,11210,155403,470469,0.3303150685805016
서울특별시 서초구,11220,79637,390747,0.20380706697684178
서울특별시 강남구,11230,105423,494125,0.21335289653427778
서울특별시 송파구,11240,141293,626201,0.22563521936247308
서울특별시 강동구,11250,91654,432784,0.21177769973011942
부산광역시 중구,21010,7419,38107,0.1946886398824363
부산광역시 서구,21020,18769,99811,0.1880454058169941
부산광역시 동구,21030,15087,82785,0.1822431599927523
부산광역시 영도구,21040,17937,107650,0.16662331630283325
부산광역시 부산진구,21050,74612,339749,0.21960918207264774
부산광역시 동래구,21060,46140,256518,0.17987041845016724
부산광역시 남구,21070,49275,256065,0.19243160916173627
부산광역시 북구,21080,52201,272055,0.19187664259065262
부산광역시 해운대구,21090,65903,378404,0.1741604211371973
부산광역시 사하구,21100,56570,297531,0.1901314484877206
부산광역시 금정구,21110,47935,223401,0.2145693170576676
부산광역시 강서구,21120,22280,129247,0.17238311140684118
부산광역시 연제구,21130,38046,199216,0.19097863625411612
부산광역시 수영구,21140,34384,165759,0.20743368384220465
부산광역시 사상구,21150,42124,204346,0.20614056551143647
부산광역시 기장군,21310,25138,163172,0.15405829431520113
대구광역시 중구,22010,16543,71890,0.23011545416608709
대구광역시 동구,22020,60233,325031,0.1853146315274543
대구광역시 서구,22030,29803,163232,0.18258062144677514
대구광역시 남구,22040,28707,139098,0.20637967476167882
대구광역시 북구,22050,90052,428130,0.2103379814542312
대구광역시 수성구,22060,70636,403427,0.17508991713494634
대구광역시 달서구,22070,110417,543177,0.2032799621486182
대구광역시 달성군,22310,46179,247178,0.18682487923682528
인천광역시 중구,23010,27150,129825,0.20912767186597342
인천광역시 동구,23020,9407,59346,0.15851110437097699
인천광역시 연수구,23040,74613,366201,0.2037487609263765
인천광역시 남동구,23050,100102,504424,0.1984481309374653
인천광역시 부평구,23060,99328,473608,0.20972618705765106
인천광역시 계양구,23070,60570,282902,0.21410241002184502
인천광역시 서구,23080,103761,517628,0.20045476674368465
인천광역시 미추홀구,23090,83815,385236,0.2175679323843047
인천광역시 강화군,23310,6858,61898,0.11079517916572426
인천광역시 옹진군,23320,2165,17281,0.12528210173022394
광주광역시 동구,24010,22731,99496,0.22846144568625876
광주광역시 서구,24020,59822,287381,0.20816268298878493
광주광역시 남구,24030,38716,207417,0.18665779564837984
광주광역시 북구,24040,88828,419799,0.21159650213554582
광주광역시 광산구,24050,83535,395885,0.21100824734455714
대전광역시 동구,25010,48881,219261,0.22293522331832838
대전광역시 중구,25020,42348,223981,0.18906960858287086
대전광역시 서구,25030,106675,465059,0.2293794980851892
대전광역시 유성구,25040,84640,346950,0.24395446029687276
대전광역시 대덕구,25050,34811,169572,0.20528742952845988
울산광역시 중구,26010,36589,208140,0.1757903334294225
울산광역시 남구,26020,63606,306729,0.207368719618947
울산광역시 동구,26030,25518,149795,0.17035281551453654
울산광역시 북구,26040,39849,209272,0.19041725601131543
울산광역시 울주군,26310,36392,209056,0.17407775906934028
세종특별자치시,29010,65539,340173,0.19266373286533617
경기도 수원시 장안구,31011,57104,260119,0.21953029190485893
경기도 수원시 권선구,31012,79885,354932,0.22507128125950887
경기도 수원시 팔달구,31013,39633,164863,0.24039960452011672
경기도 수원시 영통구,31014,87468,354488,0.24674460066349213
경기도 성남시 수정구,31021,50674,230064,0.22026044926629113
경기도 성남시 중원구,31022,44922,204660,0.21949574904720023
경기도 성남시 분당구,31023,92179,450862,0.20445058576682001
경기도 의정부시,31030,87235,434646,0.2007035610588847
경기도 안양시 만안구,31041,49096,228634,0.21473621596088072
경기도 안양시 동안구,31042,61713,295750,0.20866610312764158
경기도 부천시,31050,168487,782874,0.21521598622511412
경기도 광명시,31060,55878,287348,0.19446107159263332
경기도 평택시,31070,105221,503046,0.2091677500665943
경기도 동두천시,31080,15246,87373,0.17449326450963112
경기도 안산시 상록구,31091,77971,333869,0.2335377049082125
경기도 안산시 단원구,31092,67835,293003,0.23151640085596392
경기도 고양시 덕양구,31101,87969,447413,0.19661699592993498
경기도 고양시 일산동구,31103,58463,278183,0.2101602182735825
경기도 고양시 일산서구,31104,55181,283268,0.19480138949687223
경기도 과천시,31110,11442,56743,0.20164601801103219
경기도 구리시,31120,37859,187367,0.2020579931364648
경기도 남양주시,31130,115419,673308,0.17142080593131226
경기도 오산시,31140,48008,222130,0.21612569216224733
경기도 시흥시,31150,101151,477546,0.21181414984106242
경기도 군포시,31160,54835,261764,0.20948258736877493
경기도 의왕시,31170,33073,155654,0.21247767484292085
경기도 하남시,31180,53959,273722,0.19713066541965937
경기도 용인시 처인구,31191,49248,243036,0.2026366464227522
경기도 용인시 기흥구,31192,78091,417305,0.1871317142138244
경기도 용인시 수지구,31193,66128,354816,0.18637265512265513
경기도 파주시,31200,79603,432457,0.18407147993904596
경기도 이천시,31210,41040,203952,0.20122381736879266
경기도 안성시,31220,33526,177684,0.18868328043042706
경기도 김포시,31230,76176,443965,0.17158109310418615
경기도 화성시,31240,164439,815805,0.20156655083016162
경기도 광주시,31250,66337,361602,0.18345307824624862
경기도 양주시,31260,38418,216566,0.1773962671887554
경기도 포천시,31270,23355,135910,0.1718416599220072
경기도 여주시,31280,16685,103711,0.16087975238884977
경기도 연천군,31350,6404,39684,0.1613748614051003
경기도 가평군,31370,8078,55874,0.14457529441242797
경기도 양평군,31380,13714,107485,0.12758989626459505
강원특별자치도 춘천시,32010,53094,269567,0.19696031042375364
강원특별자치도 원주시,32020,65650,339476,0.19338627767500502
강원특별자치도 강릉시,32030,38228,207831,0.18393791109122315
강원특별자치도 동해시,32040,11681,84776,0.13778663772765878
강원특별자치도 태백시,32050,4691,39820,0.11780512305374184
강원특별자치도 속초시,32060,12075,77706,0.15539340591460118
