지자체명,행정코드,청년인구,전체인구,청년비율
강원특별자치도,32000,244894,1452695,0.1685790892100544
강원특별자치도 강릉시,32030,38228,207831,0.1839379110912231
강원특별자치도 고성군,32400,3274,24044,0.1361670271169522
강원특별자치도 동해시,32040,11681,84776,0.1377866377276587
강원특별자치도 삼척시,32070,10279,62456,0.1645798642244139
강원특별자치도 속초시,32060,12075,77706,0.1553934059146011
강원특별자치도 양구군,32380,3397,19722,0.1722441943007808
강원특별자치도 양양군,32410,3034,25673,0.1181786312468352
강원특별자치도 영월군,32330,3716,34669,0.1071850933110271
강원특별자치도 원주시,32020,65650,339476,0.193386277675005
강원특별자치도 인제군,32390,4428,28334,0.1562786757958636
강원특별자치도 정선군,32350,3573,33253,0.1074489519742579
강원특별자치도 철원군,32360,6284,40044,0.1569273798821296
강원특별자치도 춘천시,32010,53094,269567,0.1969603104237536
강원특별자치도 태백시,32050,4691,39820,0.1178051230537418
강원특별자치도 평창군,32340,4130,37937,0.1088646967340591
강원특별자치도 홍천군,32310,8592,63371,0.1355825219737735
강원특별자치도 화천군,32370,4033,21818,0.1848473737281144
강원특별자치도 횡성군,32320,4735,42198,0.1122091094364661
경기도,31000,2559148,12693481,0.2016112049956981
경기도 가평군,31370,8078,55874,0.1445752944124279
경기도 고양시,311010,201613,1008864,0.19984160402194945
경기도 과천시,31110,11442,56743,0.2016460180110321
경기도 광명시,31060,55878,287348,0.1944610715926333
경기도 광주시,31250,66337,361602,0.1834530782462486
경기도 구리시,31120,37859,187367,0.2020579931364648
경기도 군포시,31160,54835,261764,0.2094825873687749
경기도 김포시,31230,76176,443965,0.1715810931041861
경기도 남양주시,31130,115419,673308,0.1714208059313122
경기도 동두천시,31080,15246,87373,0.1744932645096311
경기도 부천시,31050,168487,782874,0.2152159862251141
경기도 성남시,310210,187775,885586,0.21203474309666143
경기도 수원시,310110,264090,1134402,0.2328010705199744
경기도 시흥시,31150,101151,477546,0.2118141498410624
경기도 안산시,310910,145806,626872,0.23259293763320105
경기도 안성시,31220,33526,177684,0.188683280430427
경기도 안양시,310410,110809,524384,0.21131270214194178
경기도 양주시,31260,38418,216566,0.1773962671887554
경기도 양평군,31380,13714,107485,0.127589896264595
경기도 여주시,31280,16685,103711,0.1608797523888497
경기도 연천군,31350,6404,39684,0.1613748614051003
경기도 오산시,31140,48008,222130,0.2161256921622473
경기도 용인시,311910,193467,1015157,0.19057840314355318
경기도 의왕시,31170,33073,155654,0.2124776748429208
경기도 의정부시,31030,87235,434646,0.2007035610588847
경기도 이천시,31210,41040,203952,0.2012238173687926
경기도 파주시,31200,79603,432457,0.1840714799390459
경기도 평택시,31070,105221,503046,0.2091677500665943
경기도 포천시,31270,23355,135910,0.1718416599220072
경기도 하남시,31180,53959,273722,0.1971306654196593
경기도 화성시,31240,164439,815805,0.2015665508301616
경상남도,38000,521162,3148113,0.1655474247588952
경상남도 거제시,38090,35302,232810,0.1516343799664962
경상남도 거창군,38390,7003,56297,0.1243938398138444
경상남도 고성군,38340,4727,46377,0.101925523427561
경상남도 김해시,38070,95602,515088,0.1856032367284813
경상남도 남해군,38350,3625,38951,0.0930656465816025
경상남도 밀양시,38080,12047,96523,0.1248096308651823
경상남도 사천시,38060,14160,103015,0.1374557103334465
경상남도 산청군,38370,2864,31082,0.0921433627179718
경상남도 양산시,38100,58738,334087,0.1758164789411141
경상남도 의령군,38310,2454,23996,0.1022670445074179
경상남도 진주시,38030,65097,335708,0.1939095880944153
경상남도 창녕군,38330,6455,55729,0.1158283837858206
경상남도 창원시,381110,179486,983764,0.1824482294534055
경상남도 통영시,38050,15207,120819,0.1258659647903061
경상남도 하동군,38360,3978,40028,0.0993804336964125
경상남도 함안군,38320,7268,59055,0.1230717128100922
경상남도 함양군,38380,3551,35371,0.1003929772977863
경상남도 합천군,38400,3598,39413,0.09128967599523
경상북도,37000,399228,2483041,0.1607818799609028
경상북도 경산시,37100,56492,257499,0.2193872597563485
경상북도 경주시,37020,39021,240040,0.1625604065989001
경상북도 고령군,37370,2991,28420,0.1052427867698803
경상북도 구미시,37050,82854,397907,0.2082245348787531
경상북도 군위군,37310,1946,20918,0.0930299263791949
경상북도 김천시,37030,20080,130514,0.1538532264737882
경상북도 문경시,37090,7278,64827,0.1122680364662871
경상북도 봉화군,37410,2456,28469,0.0862692753521374
경상북도 상주시,37080,11319,91046,0.1243217714122531
경상북도 성주군,37380,4387,38285,0.1145879587305733
경상북도 안동시,37040,23795,150382,0.1582303733159553
경상북도 영덕군,37350,2962,33150,0.0893514328808446
경상북도 영양군,37340,1295,15257,0.0848790719014223
경상북도 영주시,37060,13130,97646,0.1344653134793028
경상북도 영천시,37070,13323,93551,0.1424142980833983
경상북도 예천군,37400,5883,51583,0.1140492022565573
경상북도 울릉군,37430,956,8024,0.1191425722831505
경상북도 울진군,37420,5415,44266,0.1223286495278543
경상북도 의성군,37320,4120,46960,0.0877342419080068
경상북도 청도군,37360,3520,38110,0.0923642088690632
경상북도 청송군,37330,2261,22961,0.0984713209354993
경상북도 칠곡군,37390,17910,106986,0.1674050810386405
경상북도 포항시,370110,75834,476240,0.15923483957668402
광주광역시,24000,293632,1409978,0.208252894726017
광주광역시 광산구,24050,83535,395885,0.2110082473445571
광주광역시 남구,24030,38716,207417,0.1866577956483798
광주광역시 동구,24010,22731,99496,0.2284614456862587
광주광역시 북구,24040,88828,419799,0.2115965021355458
광주광역시 서구,24020,59822,287381,0.2081626829887849
대구광역시,22000,452570,2321163,0.1949755359705458
대구광역시 남구,22040,28707,139098,0.2063796747616788
대구광역시 달서구,22070,110417,543177,0.2032799621486182
대구광역시 달성군,22310,46179,247178,0.1868248792368252
대구광역시 동구,22020,60233,325031,0.1853146315274543
대구광역시 북구,22050,90052,428130,0.2103379814542312
대구광역시 서구,22030,29803,163232,0.1825806214467751
대구광역시 수성구,22060,70636,403427,0.1750899171349463
대구광역시 중구,22010,16543,71890,0.230115454166087
대전광역시,25000,317355,1424823,0.2227329289322252
대전광역시 대덕구,25050,34811,169572,0.2052874295284598
대전광역시 동구,25010,48881,219261,0.2229352233183283
대전광역시 서구,25030,106675,465059,0.2293794980851892
대전광역시 유성구,25040,84640,346950,0.2439544602968727
대전광역시 중구,25020,42348,223981,0.1890696085828708
부산광역시,21000,613820,3213816,0.1909941328315
부산광역시 강서구,21120,22280,129247,0.1723831114068411
부산광역시 금정구,21110,47935,223401,0.2145693170576676
부산광역시 기장군,21310,25138,163172,0.1540582943152011
부산광역시 남구,21070,49275,256065,0.1924316091617362
부산광역시 동구,21030,15087,82785,0.1822431599927523
부산광역시 동래구,21060,46140,256518,0.1798704184501672
부산광역시 부산진구,21050,74612,339749,0.2196091820726477
부산광역시 북구,21080,52201,272055,0.1918766425906526
부산광역시 사상구,21150,42124,204346,0.2061405655114364
부산광역시 사하구,21100,56570,297531,0.1901314484877206
부산광역시 서구,21020,18769,99811,0.1880454058169941
부산광역시 수영구,21140,34384,165759,0.2074336838422046
부산광역시 연제구,21130,38046,199216,0.1909786362541161
부산광역시 영도구,21040,17937,107650,0.1666233163028332
부산광역시 중구,21010,7419,38107,0.1946886398824363
부산광역시 해운대구,21090,65903,378404,0.1741604211371973
서울특별시,11000,2133167,9098805,0.2344447430184513
서울특별시 강남구,11230,105423,494125,0.2133528965342777
서울특별시 강동구,11250,91654,432784,0.2117776997301194
서울특별시 강북구,11090,60049,290437,0.20675396041138
서울특별시 강서구,11160,132450,551415,0.2402002121813878
서울특별시 관악구,11210,155403,470469,0.3303150685805016
서울특별시 광진구,11050,90894,328366,0.2768069775798956
서울특별시 구로구,11170,83813,386742,0.2167155364558284
서울특별시 금천구,11180,54388,220503,0.2466542405318748
서울특별시 노원구,11110,101929,497776,0.2047688116743274
서울특별시 도봉구,11100,61053,308747,0.1977444315248407
서울특별시 동대문구,11060,82289,325598,0.2527318963875699
서울특별시 동작구,11200,97531,371853,0.2622837519127182
서울특별시 마포구,11140,92444,349648,0.2643916167116643
서울특별시 서대문구,11130,73908,296599,0.249184926449516
서울특별시 서초구,11220,79637,390747,0.2038070669768417
서울특별시 성동구,11040,68459,277120,0.2470373845265588
서울특별시 성북구,11080,98104,416155,0.2357390875995722
서울특별시 송파구,11240,141293,626201,0.225635219362473
서울특별시 양천구,11150,82643,429197,0.1925526040489565
서울특별시 영등포구,11190,90749,352157,0.2576947213884716
서울특별시 용산구,11030,50398,207039,0.2434227367790609
서울특별시 은평구,11120,94853,450207,0.2106875281814809
서울특별시 종로구,11010,32508,135582,0.23976634066469
서울특별시 중구,11020,28541,115067,0.2480380995420059
서울특별시 중랑구,11070,82754,374271,0.2211071656633829
세종특별자치시,29010,65539,340173,0.1926637328653361
울산광역시,26000,201954,1082992,0.1864778317845376
울산광역시 남구,26020,63606,306729,0.207368719618947
울산광역시 동구,26030,25518,149795,0.1703528155145365
울산광역시 북구,26040,39849,209272,0.1904172560113154
울산광역시 울주군,26310,36392,209056,0.1740777590693402
울산광역시 중구,26010,36589,208140,0.1757903334294225
인천광역시,23000,567769,2798349,0.2028942780189318
인천광역시 강화군,23310,6858,61898,0.1107951791657242
인천광역시 계양구,23070,60570,282902,0.214102410021845
인천광역시 남동구,23050,100102,504424,0.1984481309374653
인천광역시 동구,23020,9407,59346,0.1585111043709769
인천광역시 미추홀구,23090,83815,385236,0.2175679323843047
인천광역시 부평구,23060,99328,473608,0.209726187057651
인천광역시 서구,23080,103761,517628,0.2004547667436846
인천광역시 연수구,23040,74613,366201,0.2037487609263765
인천광역시 옹진군,23320,2165,17281,0.1252821017302239
인천광역시 중구,23010,27150,129825,0.2091276718659734
전라남도,36000,253451,1685958,0.1503305539046643
전라남도 강진군,36390,3452,31036,0.1112256734115221
전라남도 고흥군,36350,4834,57508,0.0840578702093621
전라남도 곡성군,36320,2933,25151,0.1166156415251878
전라남도 광양시,36060,24020,138209,0.1737947601096889
전라남도 구례군,36330,2165,22688,0.0954248942172073
전라남도 나주시,36040,17390,104152,0.1669675090252707
전라남도 담양군,36310,5067,39499,0.1282817286513582
전라남도 목포시,36010,36562,214491,0.1704593665934701
전라남도 무안군,36420,13608,78997,0.1722597060647872
전라남도 보성군,36360,3539,35659,0.0992456322387055
전라남도 순천시,36030,47699,261869,0.1821483260714326
전라남도 신안군,36480,3030,33062,0.0916459984271973
전라남도 여수시,36020,42786,259115,0.1651235937711055
전라남도 영광군,36440,6208,47047,0.131953153229749
전라남도 영암군,36410,6901,49408,0.1396737370466321
전라남도 완도군,36460,4660,44852,0.1038972621064835
전라남도 장성군,36450,4625,37880,0.1220960929250264
전라남도 장흥군,36380,3646,33755,0.1080136276107243
전라남도 진도군,36470,2940,27148,0.1082952703698246
전라남도 함평군,36430,2800,27708,0.1010538472643279
전라남도 해남군,36400,6790,61222,0.1109078435856391
전라남도 화순군,36370,7796,55502,0.140463406724082
전라북도 고창군,35370,5160,49204,0.1048695228030241
전라북도 군산시,35020,42271,253208,0.1669418027866418
전라북도 김제시,35060,9411,74722,0.1259468429645887
전라북도 남원시,35050,9531,74465,0.1279930168535553
전라북도 무주군,35330,2232,21873,0.1020436154162666
전라북도 부안군,35380,5270,47108,0.1118705952279867
전라북도 순창군,35360,2557,25151,0.1016659377360741
전라북도 완주군,35310,14112,86160,0.1637883008356546
전라북도 익산시,35030,51350,267733,0.1917955575143893
전라북도 임실군,35350,3121,25050,0.1245908183632734
전라북도 장수군,35340,2150,20062,0.1071677798823646
전라북도 전주시,350110,131479,634395,0.20725100292404575
전라북도 정읍시,35040,13184,99560,0.1324226597026918
전라북도 진안군,35320,2278,22432,0.1015513552068473
전라북도,35000,294106,1701123,0.1728893207604623
제주특별자치도,39000,110867,632545,0.1752713245697934
충청남도,34000,364453,2016582,0.1807280834600328
충청남도 계룡시,34070,5851,39752,0.1471875628899175
충청남도 공주시,34020,16696,98780,0.1690220692447863
충청남도 금산군,34310,6428,48469,0.1326208504404877
충청남도 논산시,34060,16296,108517,0.150170019443958
충청남도 당진시,34080,25264,157012,0.1609048989886123
충청남도 보령시,34030,12758,93369,0.1366406408979425
충청남도 부여군,34330,6801,60083,0.1131934157748447
충청남도 서산시,34050,27958,166754,0.1676601460834522
충청남도 서천군,34340,5038,47559,0.1059315797220294
충청남도 아산시,34040,56355,302417,0.1863486510348294
충청남도 예산군,34370,9284,72748,0.1276186286908231
충청남도 천안시,340110,150685,639233,0.2357278175563527
충청남도 청양군,34350,3266,28432,0.1148705683736634
충청남도 태안군,34380,6825,57908,0.1178593631277198
충청남도 홍성군,34360,14948,95549,0.1564432908769322
충청북도,33000,288753,1525090,0.1893350556360608
충청북도 괴산군,33360,4499,35161,0.1279542675123005
충청북도 단양군,33380,2711,26165,0.1036116950124211
충청북도 보은군,33320,3049,29820,0.1022468142186452
충청북도 영동군,33340,5782,44191,0.1308411214953271
충청북도 옥천군,33330,5665,46292,0.122375356433077
충청북도 음성군,33370,13680,85441,0.160110485598249
충청북도 제천시,33030,21244,127752,0.166290938693719
충청북도 증평군,33390,6555,35245,0.1859838274932614
충청북도 진천군,33350,13784,79001,0.1744788040657713
충청북도 청주시,330410,174747,813331,0.21485348523540845
충청북도 충주시,33020,37037,202691,0.1827264160717545
