지자체명,행정코드,광역코드,시군구_청년인구,광역_청년인구,청년비율
서울특별시 종로구,11010,11,32508,2133167,0.015239313190200299
서울특별시 중구,11020,11,28541,2133167,0.013379636943567945
서울특별시 용산구,11030,11,50398,2133167,0.0236259045822479
서울특별시 성동구,11040,11,68459,2133167,0.03209265847446543
서울특별시 광진구,11050,11,90894,2133167,0.04260988473945078
서울특별시 동대문구,11060,11,82289,2133167,0.03857597647066545
서울특별시 중랑구,11070,11,82754,2133167,0.038793962216741584
서울특별시 성북구,11080,11,98104,2133167,0.045989835770007696
서울특별시 강북구,11090,11,60049,2133167,0.028150163583066868
서울특별시 도봉구,11100,11,61053,2133167,0.02862082527997105
서울특별시 노원구,11110,11,101929,2133167,0.04778294432644045
서울특별시 은평구,11120,11,94853,2133167,0.04446581069367752
서울특별시 서대문구,11130,11,73908,2133167,0.034647076389237225
서울특별시 마포구,11140,11,92444,2133167,0.04333650389303791
서울특별시 양천구,11150,11,82643,2133167,0.038741926909613734
서울특별시 강서구,11160,11,132450,2133167,0.062090778640397117
서울특별시 구로구,11170,11,83813,2133167,0.039290407173934346
서울특별시 금천구,11180,11,54388,2133167,0.025496362919546385
서울특별시 영등포구,11190,11,90749,2133167,0.04254191068959908
서울특별시 동작구,11200,11,97531,2133167,0.045721221076455806
서울특별시 관악구,11210,11,155403,2133167,0.07285083633864578
서울특별시 서초구,11220,11,79637,2133167,0.0373327545382054
서울특별시 강남구,11230,11,105423,2133167,0.04942088453459106
서울특별시 송파구,11240,11,141293,2133167,0.06623625810824937
서울특별시 강동구,11250,11,91654,2133167,0.042966162517983825
부산광역시 중구,21010,21,7419,613820,0.012086605193704995
부산광역시 서구,21020,21,18769,613820,0.0305773679580333
부산광역시 동구,21030,21,15087,613820,0.02457886676875957
부산광역시 영도구,21040,21,17937,613820,0.029221921736013814
부산광역시 부산진구,21050,21,74612,613820,0.12155354990062234
부산광역시 동래구,21060,21,46140,613820,0.07516861620670555
부산광역시 남구,21070,21,49275,613820,0.08027597667068521
부산광역시 북구,21080,21,52201,613820,0.08504284643706624
부산광역시 해운대구,21090,21,65903,613820,0.10736535140594963
부산광역시 사하구,21100,21,56570,613820,0.0921605682447623
부산광역시 금정구,21110,21,47935,613820,0.07809292626502884
부산광역시 강서구,21120,21,22280,613820,0.036297285849271776
부산광역시 연제구,21130,21,38046,613820,0.0619823400997035
부산광역시 수영구,21140,21,34384,613820,0.056016421752305236
부산광역시 사상구,21150,21,42124,613820,0.0686259815581115
부산광역시 기장군,21310,21,25138,613820,0.0409533739532762
대구광역시 중구,22010,22,16543,452570,0.03655346134299666
대구광역시 동구,22020,22,60233,452570,0.133091013544866
대구광역시 서구,22030,22,29803,452570,0.06585279625251342
대구광역시 남구,22040,22,28707,452570,0.06343107143646287
대구광역시 북구,22050,22,90052,452570,0.19897916344432906
대구광역시 수성구,22060,22,70636,452570,0.1560775128709371
대구광역시 달서구,22070,22,110417,452570,0.24397772720242172
대구광역시 달성군,22310,22,46179,452570,0.10203725390547319
인천광역시 중구,23010,23,27150,567769,0.047818743186049256
인천광역시 동구,23020,23,9407,567769,0.01656835790612027
인천광역시 연수구,23040,23,74613,567769,0.1314143604177051
인천광역시 남동구,23050,23,100102,567769,0.17630761806297984
인천광역시 부평구,23060,23,99328,567769,0.1749443875942505
인천광역시 계양구,23070,23,60570,567769,0.10668070993661155
인천광역시 서구,23080,23,103761,567769,0.1827521403951255
인천광역시 미추홀구,23090,23,83815,567769,0.14762165599037635
