지역명,전략적_강도_엔트로피,행정적_강도_최종지수2,총_정책수,청년정책_예산_백만원,지자체_전체예산_백만원,정책_분야수,청년인구,재정자립도,A_청년정책예산비율,B_청년인구비율,집중도지수,전략적_강도_정규화,행정적_강도_정규화,종합점수,전략적강도_순위,행정적강도_순위,종합점수_순위
군위군,0.7688,1.741228,5,55.19,508648.8,4,1946,0.074,0.0001085,0.000312,0.348122,0.7755472611721982,1.0,0.887773630586099,44.0,1.0,1.0
진안군,0.9913,0.943261,29,24.57,613399.7,5,2278,0.07,4.006e-05,0.000365,0.109784,1.0,0.5417101236859516,0.7708550618429758,1.0,2.0,2.0
거창군,0.9478,0.490183,29,55.58,921525.3,5,7003,0.085,6.031e-05,0.001122,0.053772,0.9561182285887219,0.281497532713372,0.618807880651047,15.0,8.0,3.0
의성군,0.9122,0.445479,11,25.88,751396.4,5,4120,0.093,3.444e-05,0.00066,0.052195,0.9202057903762736,0.2558230491435713,0.5880144197599224,20.0,9.0,4.0
부안군,0.8262,0.50659,18,41.56,848239.1,5,5270,0.088,4.9e-05,0.000844,0.058047,0.8334510239079996,0.29092043115489225,0.5621857275314459,35.0,7.0,5.0
김제시,0.961,0.221647,11,40.73,1078221.6,5,9411,0.101,3.778e-05,0.001507,0.025061,0.9694340764652477,0.127271442880247,0.5483527596727473,10.0,14.0,6.0
부산광역시,0.968,0.198097,121,1998.73,16690868.3,5,7419,0.46,0.00011975,0.001188,0.100777,0.9764955109452235,0.11374616353010365,0.5451208372376636,7.0,16.0,7.0
남해군,0.8274,0.4134,14,19.64,742417.3,5,3625,0.089,2.645e-05,0.000581,0.045563,0.8346615555331384,0.23739937881349701,0.5360304671733177,34.0,10.0,8.0
남원시,0.9675,0.146843,10,23.25,1119666.2,5,9531,0.086,2.077e-05,0.001527,0.013603,0.9759911227680824,0.08430987190325664,0.5301504973356695,8.0,20.0,9.0
대구광역시,0.9789,0.125828,75,1961.85,11649756.4,5,16543,0.474,0.0001684,0.00265,0.063557,0.9874911732069,0.0722404984194663,0.5298658358131831,5.0,24.0,10.0
